"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type"
"CHEMBL300555";"SPIROXATRINE";"-1.0";"379.46";"0";"2.25";"Spiroxatrine";"O=C1NCN(c2ccccc2)C12CCN(CC1COc3ccccc3O1)CC2";"EC50";"'='";"20000.0";"nM";"4.70";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL3531531";"Activation of human PXR expressed in human HepG2 (DPX-2) cells after 24 hrs by luciferase reporter gene based luminescent analysis";"A";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HepG2";"None";"";"";"";"CHEMBL3401";"Pregnane X receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3525965";"1";"Scientific Literature";"Drug Metab Dispos";"2011";"CHEMBL3307718";"";""
"CHEMBL1111";"AMBRISENTAN";"4.0";"378.43";"0";"3.52";"Ambrisentan";"COC(c1ccccc1)(c1ccccc1)[C@H](Oc1nc(C)cc(C)n1)C(=O)O";"EC50";"'='";"31600.0";"nM";"4.50";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL3531532";"Activation of human PXR expressed in human HepG2 (DPX-2) cells assessed as induction of CYP3A4 after 24 hrs by luminescent analysis";"A";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HepG2";"None";"";"";"";"CHEMBL3401";"Pregnane X receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3525965";"1";"Scientific Literature";"Drug Metab Dispos";"2011";"CHEMBL3307718";"";""
"CHEMBL1624";"LEVOTHYROXINE";"4.0";"776.87";"1";"4.56";"Levothyroxine";"N[C@@H](Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)O";"EC50";"'='";"100000.0";"nM";"4.00";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL3531532";"Activation of human PXR expressed in human HepG2 (DPX-2) cells assessed as induction of CYP3A4 after 24 hrs by luminescent analysis";"A";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HepG2";"None";"";"";"";"CHEMBL3401";"Pregnane X receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3525965";"1";"Scientific Literature";"Drug Metab Dispos";"2011";"CHEMBL3307718";"";""
"CHEMBL1318553";"";"None";"294.40";"0";"3.77";"(-)Eburnamonine";"CC[C@@]12CCCN3CCc4c(n(c5ccccc45)C(=O)C1)[C@H]32";"EC50";"'='";"14100.0";"nM";"4.85";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL3531531";"Activation of human PXR expressed in human HepG2 (DPX-2) cells after 24 hrs by luciferase reporter gene based luminescent analysis";"A";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HepG2";"None";"";"";"";"CHEMBL3401";"Pregnane X receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3525965";"1";"Scientific Literature";"Drug Metab Dispos";"2011";"CHEMBL3307718";"";""
"CHEMBL596";"FENTANYL";"4.0";"336.48";"0";"4.14";"Fentanyl";"CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1";"EC50";"'='";"31600.0";"nM";"4.50";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL3531531";"Activation of human PXR expressed in human HepG2 (DPX-2) cells after 24 hrs by luciferase reporter gene based luminescent analysis";"A";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HepG2";"None";"";"";"";"CHEMBL3401";"Pregnane X receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3525965";"1";"Scientific Literature";"Drug Metab Dispos";"2011";"CHEMBL3307718";"";""
"CHEMBL52606";"COLFORSIN";"-1.0";"410.51";"0";"1.52";"Colforsin";"C=C[C@@]1(C)CC(=O)[C@]2(O)[C@@]3(C)[C@@H](O)CCC(C)(C)[C@@H]3[C@H](O)[C@H](OC(C)=O)[C@@]2(C)O1";"EC50";"'='";"2700.0";"nM";"5.57";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL3531532";"Activation of human PXR expressed in human HepG2 (DPX-2) cells assessed as induction of CYP3A4 after 24 hrs by luminescent analysis";"A";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HepG2";"None";"";"";"";"CHEMBL3401";"Pregnane X receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3525965";"1";"Scientific Literature";"Drug Metab Dispos";"2011";"CHEMBL3307718";"";""
"CHEMBL1643732";"";"None";"483.60";"1";"5.69";"27";"CC(C)(C)NC(=O)Cn1c(-c2ccc(F)cc2F)cc2cc(C(C)(C)C(=O)NC(C)(C)C)ccc21";"EC50";"'='";"940.0";"nM";"6.03";"";"";"UO_0000065";"12.46";"0.24";"0.34";"9.55";"0";"CHEMBL1647982";"Activity at PXR by induction assay";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3401";"Pregnane X receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1641497";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2011";"None";"";""
"CHEMBL1643731";"";"None";"533.61";"2";"6.57";"26";"CC(C)(C)NC(=O)Cn1c(-c2cc(F)cc(C(F)(F)F)c2)cc2cc(C(C)(C)C(=O)NC(C)(C)C)ccc21";"EC50";"'>'";"30000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1647982";"Activity at PXR by induction assay";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3401";"Pregnane X receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1641497";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2011";"None";"";""
"CHEMBL1501549";"";"None";"295.64";"0";"2.69";"SID49641070";"O=[N+]([O-])c1cnc(Nc2ccc(Cl)cn2)c([N+](=O)[O-])c1";"EC50";"'>'";"116134.0";"nM";"";"Outside typical range";"Not Active";"UO_0000065";"";"";"";"";"0";"CHEMBL1613993";"PUBCHEM_BIOASSAY: Luminescence-based counterscreen for activators of the Aryl Hydrocarbon Receptor (AHR): cell-based high throughput dose response screening assay for activators of the Pregnane X Receptor (PXR). (Class of assay: confirmatory) [Related pubchem assays: 2796 (Primary screen (AHR activators in singlicate)), 2845 (Confirmation screen (AHR activators in triplicate)), 434939 (Counterscreen (PXR activators in triplicate)), 2804 (Summary (AHR activators))]";"A";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3401";"Pregnane X receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";""
"CHEMBL3195512";"";"None";"340.30";"0";"1.99";"SID24788098";"O=C(N/N=C/c1ccco1)c1ccc(C(=O)N/N=C/c2ccco2)o1";"EC50";"'>'";"116121.0";"nM";"";"Outside typical range";"Not Active";"UO_0000065";"";"";"";"";"0";"CHEMBL1613993";"PUBCHEM_BIOASSAY: Luminescence-based counterscreen for activators of the Aryl Hydrocarbon Receptor (AHR): cell-based high throughput dose response screening assay for activators of the Pregnane X Receptor (PXR). (Class of assay: confirmatory) [Related pubchem assays: 2796 (Primary screen (AHR activators in singlicate)), 2845 (Confirmation screen (AHR activators in triplicate)), 434939 (Counterscreen (PXR activators in triplicate)), 2804 (Summary (AHR activators))]";"A";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3401";"Pregnane X receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";""
"CHEMBL1402878";"";"None";"386.23";"1";"5.46";"SID17432651";"O=C(Nc1ccccc1OC(=O)c1ccc(Cl)cc1)c1ccc(Cl)cc1";"EC50";"'='";"68376.0";"nM";"4.17";"";"Not Active";"UO_0000065";"";"";"";"";"0";"CHEMBL1613993";"PUBCHEM_BIOASSAY: Luminescence-based counterscreen for activators of the Aryl Hydrocarbon Receptor (AHR): cell-based high throughput dose response screening assay for activators of the Pregnane X Receptor (PXR). (Class of assay: confirmatory) [Related pubchem assays: 2796 (Primary screen (AHR activators in singlicate)), 2845 (Confirmation screen (AHR activators in triplicate)), 434939 (Counterscreen (PXR activators in triplicate)), 2804 (Summary (AHR activators))]";"A";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3401";"Pregnane X receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";""
"CHEMBL1975888";"";"None";"340.41";"0";"3.14";"SID14744499";"CC(=O)n1cc(/C=N/NC(=O)c2sc(C)nc2C)c2ccccc21";"EC50";"'>'";"116147.0";"nM";"";"Outside typical range";"Not Active";"UO_0000065";"";"";"";"";"0";"CHEMBL1613993";"PUBCHEM_BIOASSAY: Luminescence-based counterscreen for activators of the Aryl Hydrocarbon Receptor (AHR): cell-based high throughput dose response screening assay for activators of the Pregnane X Receptor (PXR). (Class of assay: confirmatory) [Related pubchem assays: 2796 (Primary screen (AHR activators in singlicate)), 2845 (Confirmation screen (AHR activators in triplicate)), 434939 (Counterscreen (PXR activators in triplicate)), 2804 (Summary (AHR activators))]";"A";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3401";"Pregnane X receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";""
"CHEMBL998";"LORATADINE";"4.0";"382.89";"0";"4.89";"8";"CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1";"EC50";"'='";"3000.0";"nM";"5.52";"";"";"UO_0000065";"14.42";"0.28";"0.63";"13.02";"0";"CHEMBL2399371";"Agonist activity at PXR (unknown origin) expressed in human HepG2 cells assessed as induction of CYP3A4 transactivation after 16 hrs by luciferase reporter gene assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HepG2";"None";"";"";"";"CHEMBL3401";"Pregnane X receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2396543";"1";"Scientific Literature";"Bioorg Med Chem";"2013";"CHEMBL3307718";"";""
"CHEMBL464497";"";"None";"405.52";"0";"4.81";"6m";"Cc1cc(C)c(S(=O)(=O)Nc2ccc3c(c2)ncn3Cc2ccccc2)c(C)c1";"EC50";"'='";"1.5";"nM";"8.82";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL975041";"Agonist activity at human pregnane X receptor expressed in HGPXR reporter cells";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3401";"Pregnane X receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1157161";"1";"Scientific Literature";"Bioorg Med Chem";"2008";"None";"";""
"CHEMBL3318966";"";"None";"446.94";"1";"5.09";"3f";"Clc1ccc(C2(c3nnc4c(Oc5ccccc5N5CCOCC5)cccn34)CC2)cc1";"EC50";"'='";"400.0";"nM";"6.40";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL3364417";"Activation of PXR (unknown origin)";"A";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3401";"Pregnane X receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3351978";"1";"Scientific Literature";"ACS Med Chem Lett";"2014";"None";"";""
"CHEMBL3318962";"";"None";"396.28";"1";"5.91";"3b";"Clc1ccc(C2(c3nnc4c(Oc5ccccc5Cl)cccn34)CC2)cc1";"EC50";"'='";"970.0";"nM";"6.01";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL3364417";"Activation of PXR (unknown origin)";"A";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3401";"Pregnane X receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3351978";"1";"Scientific Literature";"ACS Med Chem Lett";"2014";"None";"";""
"CHEMBL3214386";"";"None";"268.74";"0";"4.38";"SID17509921";"C/C(=N/Nc1ccc(F)cc1)c1ccc(Cl)s1";"EC50";"'>'";"116193.0";"nM";"";"Outside typical range";"Not Active";"UO_0000065";"";"";"";"";"0";"CHEMBL1613993";"PUBCHEM_BIOASSAY: Luminescence-based counterscreen for activators of the Aryl Hydrocarbon Receptor (AHR): cell-based high throughput dose response screening assay for activators of the Pregnane X Receptor (PXR). (Class of assay: confirmatory) [Related pubchem assays: 2796 (Primary screen (AHR activators in singlicate)), 2845 (Confirmation screen (AHR activators in triplicate)), 434939 (Counterscreen (PXR activators in triplicate)), 2804 (Summary (AHR activators))]";"A";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3401";"Pregnane X receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";""
"CHEMBL1404230";"";"None";"285.35";"0";"2.47";"SID24802853";"COc1ccc(C)cc1N=C(N)Nc1nc(C)cc(C)n1";"EC50";"'>'";"116020.0";"nM";"";"Outside typical range";"Not Active";"UO_0000065";"";"";"";"";"0";"CHEMBL1613993";"PUBCHEM_BIOASSAY: Luminescence-based counterscreen for activators of the Aryl Hydrocarbon Receptor (AHR): cell-based high throughput dose response screening assay for activators of the Pregnane X Receptor (PXR). (Class of assay: confirmatory) [Related pubchem assays: 2796 (Primary screen (AHR activators in singlicate)), 2845 (Confirmation screen (AHR activators in triplicate)), 434939 (Counterscreen (PXR activators in triplicate)), 2804 (Summary (AHR activators))]";"A";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3401";"Pregnane X receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";""
"CHEMBL3197908";"";"None";"309.34";"0";"4.14";"SID47204727";"COc1ccc2nc(C)cc(N/N=C/c3ccc(F)cc3)c2c1";"EC50";"'>'";"116228.0";"nM";"";"Outside typical range";"Not Active";"UO_0000065";"";"";"";"";"0";"CHEMBL1613993";"PUBCHEM_BIOASSAY: Luminescence-based counterscreen for activators of the Aryl Hydrocarbon Receptor (AHR): cell-based high throughput dose response screening assay for activators of the Pregnane X Receptor (PXR). (Class of assay: confirmatory) [Related pubchem assays: 2796 (Primary screen (AHR activators in singlicate)), 2845 (Confirmation screen (AHR activators in triplicate)), 434939 (Counterscreen (PXR activators in triplicate)), 2804 (Summary (AHR activators))]";"A";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3401";"Pregnane X receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";""
"CHEMBL1506607";"";"None";"342.78";"0";"4.27";"SID4256024";"O=C(Nc1cccc(-c2nc3cc(Cl)ccc3o2)c1)C1CCCO1";"EC50";"'>'";"116193.0";"nM";"";"Outside typical range";"Not Active";"UO_0000065";"";"";"";"";"0";"CHEMBL1613993";"PUBCHEM_BIOASSAY: Luminescence-based counterscreen for activators of the Aryl Hydrocarbon Receptor (AHR): cell-based high throughput dose response screening assay for activators of the Pregnane X Receptor (PXR). (Class of assay: confirmatory) [Related pubchem assays: 2796 (Primary screen (AHR activators in singlicate)), 2845 (Confirmation screen (AHR activators in triplicate)), 434939 (Counterscreen (PXR activators in triplicate)), 2804 (Summary (AHR activators))]";"A";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3401";"Pregnane X receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";""
"CHEMBL1485041";"";"None";"270.21";"0";"2.26";"SID4241572";"Nc1[nH]ncc1C(=O)Nc1cccc(C(F)(F)F)c1";"EC50";"'>'";"116135.0";"nM";"";"Outside typical range";"Not Active";"UO_0000065";"";"";"";"";"0";"CHEMBL1613993";"PUBCHEM_BIOASSAY: Luminescence-based counterscreen for activators of the Aryl Hydrocarbon Receptor (AHR): cell-based high throughput dose response screening assay for activators of the Pregnane X Receptor (PXR). (Class of assay: confirmatory) [Related pubchem assays: 2796 (Primary screen (AHR activators in singlicate)), 2845 (Confirmation screen (AHR activators in triplicate)), 434939 (Counterscreen (PXR activators in triplicate)), 2804 (Summary (AHR activators))]";"A";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3401";"Pregnane X receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";""
"CHEMBL1510252";"";"None";"348.34";"0";"2.36";"SID22401667";"COC(=O)c1cc(C(=O)Nc2nnc(C3CC3)s2)cc([N+](=O)[O-])c1";"EC50";"'>'";"116135.0";"nM";"";"Outside typical range";"Not Active";"UO_0000065";"";"";"";"";"0";"CHEMBL1613993";"PUBCHEM_BIOASSAY: Luminescence-based counterscreen for activators of the Aryl Hydrocarbon Receptor (AHR): cell-based high throughput dose response screening assay for activators of the Pregnane X Receptor (PXR). (Class of assay: confirmatory) [Related pubchem assays: 2796 (Primary screen (AHR activators in singlicate)), 2845 (Confirmation screen (AHR activators in triplicate)), 434939 (Counterscreen (PXR activators in triplicate)), 2804 (Summary (AHR activators))]";"A";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3401";"Pregnane X receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";"";""
