comp_molregno,act_standard_units,act_standard_type,act_activity_comment,act_bao_endpoint,act_type,ass_assay_id,ass_description,ass_assay_type,ass_assay_category,ass_chembl_id,doc_doi,doc_pubmed_id,doc_chembl_id,doc_title,doc_doc_type,doc_abstract,doc_patent_id,coms_canonical_smiles,comp_full_molformula,mold_chembl_id,act_0,act_1,act_2,act_3,act_4,act_5,act_6,act_7,act_8
1426092,%,Activity,,BAO_0001103,Activity,854885,Antagonist activity at wild type human androgen receptor expressed in COS-1 cells co-transfected with pSG5 assessed as testosterone induced luciferase activity at 10 uM after 18 hrs relative untreated control,F,,CHEMBL2162622,10.1021/jm300233k,22746350,CHEMBL2157978,"Design, synthesis, and biological evaluation of nonsteroidal cycloalkane[d]isoxazole-containing androgen receptor modulators.",PUBLICATION,"We report here the design, preparation, and systematic evaluation of a novel cycloalkane[d]isoxazole pharmacophoric fragment-containing androgen receptor (AR) modulators. Cycloalkane[d]isoxazoles form new core structures that interact with the hydrophobic region of the AR ligand-binding domain. To systematize and rationalize the structure-activity relationship of the new fragment, we used molecular modeling to design a molecular library containing over 40 cycloalkane[d]isoxazole derivatives. The most potent compound, 4-(3a,4,5,6,7,7a-hexahydrobenzo[d]isoxazol-3-yl)-2-(trifluoromethyl)benzonitrile (6a), exhibits antiandrogenic activity significantly greater than that of the most widely used antiandrogenic prostate cancer drugs bicalutamide (1) and hydroxyflutamide (2) in reporter gene assays measuring the transcriptional activity of AR (decreasing approximately 90% of the total AR activity) and in competitive AR ligand-binding assays (showing over four times higher potency to inhibit radioligand binding in comparison to bicalutamide). Notably, 6a maintains its antiandrogenic activity with AR mutants W741L and T877A commonly observed and activated by bicalutamide and hydroxyflutamide, respectively, in prostate cancer patients.",,N#Cc1ccc(C2=NOC3CCCCCCC23)cc1C(F)(F)F,C17H17F3N2O,CHEMBL2159545,23.9,,,,,,,,
1426093,%,Activity,,"Entry 0: BAO_0001103, Entry 1: BAO_0001103, ",Activity,"Entry 0: 854885, Entry 1: 854885, ","Entry 0: Antagonist activity at wild type human androgen receptor expressed in COS-1 cells co-transfected with pSG5 assessed as testosterone induced luciferase activity at 10 uM after 18 hrs relative untreated control, Entry 1: Antagonist activity at wild type human androgen receptor expressed in COS-1 cells co-transfected with pSG5 assessed as testosterone induced luciferase activity at 10 uM after 18 hrs relative untreated control, ","Entry 0: F, Entry 1: F, ",,"Entry 0: CHEMBL2162622, Entry 1: CHEMBL2162622, ","Entry 0: 10.1021/jm300233k, Entry 1: 10.1021/jm300233k, ","Entry 0: 22746350, Entry 1: 22746350, ","Entry 0: CHEMBL2157978, Entry 1: CHEMBL2157978, ","Entry 0: Design, synthesis, and biological evaluation of nonsteroidal cycloalkane[d]isoxazole-containing androgen receptor modulators., Entry 1: Design, synthesis, and biological evaluation of nonsteroidal cycloalkane[d]isoxazole-containing androgen receptor modulators., ","Entry 0: PUBLICATION, Entry 1: PUBLICATION, ","Entry 0: We report here the design, preparation, and systematic evaluation of a novel cycloalkane[d]isoxazole pharmacophoric fragment-containing androgen receptor (AR) modulators. Cycloalkane[d]isoxazoles form new core structures that interact with the hydrophobic region of the AR ligand-binding domain. To systematize and rationalize the structure-activity relationship of the new fragment, we used molecular modeling to design a molecular library containing over 40 cycloalkane[d]isoxazole derivatives. The most potent compound, 4-(3a,4,5,6,7,7a-hexahydrobenzo[d]isoxazol-3-yl)-2-(trifluoromethyl)benzonitrile (6a), exhibits antiandrogenic activity significantly greater than that of the most widely used antiandrogenic prostate cancer drugs bicalutamide (1) and hydroxyflutamide (2) in reporter gene assays measuring the transcriptional activity of AR (decreasing approximately 90% of the total AR activity) and in competitive AR ligand-binding assays (showing over four times higher potency to inhibit radioligand binding in comparison to bicalutamide). Notably, 6a maintains its antiandrogenic activity with AR mutants W741L and T877A commonly observed and activated by bicalutamide and hydroxyflutamide, respectively, in prostate cancer patients., Entry 1: We report here the design, preparation, and systematic evaluation of a novel cycloalkane[d]isoxazole pharmacophoric fragment-containing androgen receptor (AR) modulators. Cycloalkane[d]isoxazoles form new core structures that interact with the hydrophobic region of the AR ligand-binding domain. To systematize and rationalize the structure-activity relationship of the new fragment, we used molecular modeling to design a molecular library containing over 40 cycloalkane[d]isoxazole derivatives. The most potent compound, 4-(3a,4,5,6,7,7a-hexahydrobenzo[d]isoxazol-3-yl)-2-(trifluoromethyl)benzonitrile (6a), exhibits antiandrogenic activity significantly greater than that of the most widely used antiandrogenic prostate cancer drugs bicalutamide (1) and hydroxyflutamide (2) in reporter gene assays measuring the transcriptional activity of AR (decreasing approximately 90% of the total AR activity) and in competitive AR ligand-binding assays (showing over four times higher potency to inhibit radioligand binding in comparison to bicalutamide). Notably, 6a maintains its antiandrogenic activity with AR mutants W741L and T877A commonly observed and activated by bicalutamide and hydroxyflutamide, respectively, in prostate cancer patients., ",,N#Cc1ccc(C2=NOC3CCCCCCC23)c(C(F)(F)F)c1,C17H17F3N2O,CHEMBL2159546,9.4,65.5,,,,,,,
1426094,%,Activity,,BAO_0001103,Activity,854885,Antagonist activity at wild type human androgen receptor expressed in COS-1 cells co-transfected with pSG5 assessed as testosterone induced luciferase activity at 10 uM after 18 hrs relative untreated control,F,,CHEMBL2162622,10.1021/jm300233k,22746350,CHEMBL2157978,"Design, synthesis, and biological evaluation of nonsteroidal cycloalkane[d]isoxazole-containing androgen receptor modulators.",PUBLICATION,"We report here the design, preparation, and systematic evaluation of a novel cycloalkane[d]isoxazole pharmacophoric fragment-containing androgen receptor (AR) modulators. Cycloalkane[d]isoxazoles form new core structures that interact with the hydrophobic region of the AR ligand-binding domain. To systematize and rationalize the structure-activity relationship of the new fragment, we used molecular modeling to design a molecular library containing over 40 cycloalkane[d]isoxazole derivatives. The most potent compound, 4-(3a,4,5,6,7,7a-hexahydrobenzo[d]isoxazol-3-yl)-2-(trifluoromethyl)benzonitrile (6a), exhibits antiandrogenic activity significantly greater than that of the most widely used antiandrogenic prostate cancer drugs bicalutamide (1) and hydroxyflutamide (2) in reporter gene assays measuring the transcriptional activity of AR (decreasing approximately 90% of the total AR activity) and in competitive AR ligand-binding assays (showing over four times higher potency to inhibit radioligand binding in comparison to bicalutamide). Notably, 6a maintains its antiandrogenic activity with AR mutants W741L and T877A commonly observed and activated by bicalutamide and hydroxyflutamide, respectively, in prostate cancer patients.",,O=[N+]([O-])c1ccc(C2=NOC3CCCCCCC23)cc1C(F)(F)F,C16H17F3N2O3,CHEMBL2159547,27.8,,,,,,,,
1426095,%,Activity,,"Entry 0: BAO_0001103, Entry 1: BAO_0001103, ",Activity,"Entry 0: 854885, Entry 1: 854885, ","Entry 0: Antagonist activity at wild type human androgen receptor expressed in COS-1 cells co-transfected with pSG5 assessed as testosterone induced luciferase activity at 10 uM after 18 hrs relative untreated control, Entry 1: Antagonist activity at wild type human androgen receptor expressed in COS-1 cells co-transfected with pSG5 assessed as testosterone induced luciferase activity at 10 uM after 18 hrs relative untreated control, ","Entry 0: F, Entry 1: F, ",,"Entry 0: CHEMBL2162622, Entry 1: CHEMBL2162622, ","Entry 0: 10.1021/jm300233k, Entry 1: 10.1021/jm300233k, ","Entry 0: 22746350, Entry 1: 22746350, ","Entry 0: CHEMBL2157978, Entry 1: CHEMBL2157978, ","Entry 0: Design, synthesis, and biological evaluation of nonsteroidal cycloalkane[d]isoxazole-containing androgen receptor modulators., Entry 1: Design, synthesis, and biological evaluation of nonsteroidal cycloalkane[d]isoxazole-containing androgen receptor modulators., ","Entry 0: PUBLICATION, Entry 1: PUBLICATION, ","Entry 0: We report here the design, preparation, and systematic evaluation of a novel cycloalkane[d]isoxazole pharmacophoric fragment-containing androgen receptor (AR) modulators. Cycloalkane[d]isoxazoles form new core structures that interact with the hydrophobic region of the AR ligand-binding domain. To systematize and rationalize the structure-activity relationship of the new fragment, we used molecular modeling to design a molecular library containing over 40 cycloalkane[d]isoxazole derivatives. The most potent compound, 4-(3a,4,5,6,7,7a-hexahydrobenzo[d]isoxazol-3-yl)-2-(trifluoromethyl)benzonitrile (6a), exhibits antiandrogenic activity significantly greater than that of the most widely used antiandrogenic prostate cancer drugs bicalutamide (1) and hydroxyflutamide (2) in reporter gene assays measuring the transcriptional activity of AR (decreasing approximately 90% of the total AR activity) and in competitive AR ligand-binding assays (showing over four times higher potency to inhibit radioligand binding in comparison to bicalutamide). Notably, 6a maintains its antiandrogenic activity with AR mutants W741L and T877A commonly observed and activated by bicalutamide and hydroxyflutamide, respectively, in prostate cancer patients., Entry 1: We report here the design, preparation, and systematic evaluation of a novel cycloalkane[d]isoxazole pharmacophoric fragment-containing androgen receptor (AR) modulators. Cycloalkane[d]isoxazoles form new core structures that interact with the hydrophobic region of the AR ligand-binding domain. To systematize and rationalize the structure-activity relationship of the new fragment, we used molecular modeling to design a molecular library containing over 40 cycloalkane[d]isoxazole derivatives. The most potent compound, 4-(3a,4,5,6,7,7a-hexahydrobenzo[d]isoxazol-3-yl)-2-(trifluoromethyl)benzonitrile (6a), exhibits antiandrogenic activity significantly greater than that of the most widely used antiandrogenic prostate cancer drugs bicalutamide (1) and hydroxyflutamide (2) in reporter gene assays measuring the transcriptional activity of AR (decreasing approximately 90% of the total AR activity) and in competitive AR ligand-binding assays (showing over four times higher potency to inhibit radioligand binding in comparison to bicalutamide). Notably, 6a maintains its antiandrogenic activity with AR mutants W741L and T877A commonly observed and activated by bicalutamide and hydroxyflutamide, respectively, in prostate cancer patients., ",,O=[N+]([O-])c1ccc(C2=NOC3CCCCCCC23)c(C(F)(F)F)c1,C16H17F3N2O3,CHEMBL2159548,2.2,3.1,,,,,,,
1426096,%,Activity,,"Entry 0: BAO_0001103, Entry 1: BAO_0001103, ",Activity,"Entry 0: 854885, Entry 1: 854885, ","Entry 0: Antagonist activity at wild type human androgen receptor expressed in COS-1 cells co-transfected with pSG5 assessed as testosterone induced luciferase activity at 10 uM after 18 hrs relative untreated control, Entry 1: Antagonist activity at wild type human androgen receptor expressed in COS-1 cells co-transfected with pSG5 assessed as testosterone induced luciferase activity at 10 uM after 18 hrs relative untreated control, ","Entry 0: F, Entry 1: F, ",,"Entry 0: CHEMBL2162622, Entry 1: CHEMBL2162622, ","Entry 0: 10.1021/jm300233k, Entry 1: 10.1021/jm300233k, ","Entry 0: 22746350, Entry 1: 22746350, ","Entry 0: CHEMBL2157978, Entry 1: CHEMBL2157978, ","Entry 0: Design, synthesis, and biological evaluation of nonsteroidal cycloalkane[d]isoxazole-containing androgen receptor modulators., Entry 1: Design, synthesis, and biological evaluation of nonsteroidal cycloalkane[d]isoxazole-containing androgen receptor modulators., ","Entry 0: PUBLICATION, Entry 1: PUBLICATION, ","Entry 0: We report here the design, preparation, and systematic evaluation of a novel cycloalkane[d]isoxazole pharmacophoric fragment-containing androgen receptor (AR) modulators. Cycloalkane[d]isoxazoles form new core structures that interact with the hydrophobic region of the AR ligand-binding domain. To systematize and rationalize the structure-activity relationship of the new fragment, we used molecular modeling to design a molecular library containing over 40 cycloalkane[d]isoxazole derivatives. The most potent compound, 4-(3a,4,5,6,7,7a-hexahydrobenzo[d]isoxazol-3-yl)-2-(trifluoromethyl)benzonitrile (6a), exhibits antiandrogenic activity significantly greater than that of the most widely used antiandrogenic prostate cancer drugs bicalutamide (1) and hydroxyflutamide (2) in reporter gene assays measuring the transcriptional activity of AR (decreasing approximately 90% of the total AR activity) and in competitive AR ligand-binding assays (showing over four times higher potency to inhibit radioligand binding in comparison to bicalutamide). Notably, 6a maintains its antiandrogenic activity with AR mutants W741L and T877A commonly observed and activated by bicalutamide and hydroxyflutamide, respectively, in prostate cancer patients., Entry 1: We report here the design, preparation, and systematic evaluation of a novel cycloalkane[d]isoxazole pharmacophoric fragment-containing androgen receptor (AR) modulators. Cycloalkane[d]isoxazoles form new core structures that interact with the hydrophobic region of the AR ligand-binding domain. To systematize and rationalize the structure-activity relationship of the new fragment, we used molecular modeling to design a molecular library containing over 40 cycloalkane[d]isoxazole derivatives. The most potent compound, 4-(3a,4,5,6,7,7a-hexahydrobenzo[d]isoxazol-3-yl)-2-(trifluoromethyl)benzonitrile (6a), exhibits antiandrogenic activity significantly greater than that of the most widely used antiandrogenic prostate cancer drugs bicalutamide (1) and hydroxyflutamide (2) in reporter gene assays measuring the transcriptional activity of AR (decreasing approximately 90% of the total AR activity) and in competitive AR ligand-binding assays (showing over four times higher potency to inhibit radioligand binding in comparison to bicalutamide). Notably, 6a maintains its antiandrogenic activity with AR mutants W741L and T877A commonly observed and activated by bicalutamide and hydroxyflutamide, respectively, in prostate cancer patients., ",,Fc1ccc(C2=NOC3CCCCCCC23)cc1C(F)(F)F,C16H17F4NO,CHEMBL2159549,56.6,57.7,,,,,,,
1426097,%,Activity,,"Entry 0: BAO_0001103, Entry 1: BAO_0001103, ",Activity,"Entry 0: 854885, Entry 1: 854885, ","Entry 0: Antagonist activity at wild type human androgen receptor expressed in COS-1 cells co-transfected with pSG5 assessed as testosterone induced luciferase activity at 10 uM after 18 hrs relative untreated control, Entry 1: Antagonist activity at wild type human androgen receptor expressed in COS-1 cells co-transfected with pSG5 assessed as testosterone induced luciferase activity at 10 uM after 18 hrs relative untreated control, ","Entry 0: F, Entry 1: F, ",,"Entry 0: CHEMBL2162622, Entry 1: CHEMBL2162622, ","Entry 0: 10.1021/jm300233k, Entry 1: 10.1021/jm300233k, ","Entry 0: 22746350, Entry 1: 22746350, ","Entry 0: CHEMBL2157978, Entry 1: CHEMBL2157978, ","Entry 0: Design, synthesis, and biological evaluation of nonsteroidal cycloalkane[d]isoxazole-containing androgen receptor modulators., Entry 1: Design, synthesis, and biological evaluation of nonsteroidal cycloalkane[d]isoxazole-containing androgen receptor modulators., ","Entry 0: PUBLICATION, Entry 1: PUBLICATION, ","Entry 0: We report here the design, preparation, and systematic evaluation of a novel cycloalkane[d]isoxazole pharmacophoric fragment-containing androgen receptor (AR) modulators. Cycloalkane[d]isoxazoles form new core structures that interact with the hydrophobic region of the AR ligand-binding domain. To systematize and rationalize the structure-activity relationship of the new fragment, we used molecular modeling to design a molecular library containing over 40 cycloalkane[d]isoxazole derivatives. The most potent compound, 4-(3a,4,5,6,7,7a-hexahydrobenzo[d]isoxazol-3-yl)-2-(trifluoromethyl)benzonitrile (6a), exhibits antiandrogenic activity significantly greater than that of the most widely used antiandrogenic prostate cancer drugs bicalutamide (1) and hydroxyflutamide (2) in reporter gene assays measuring the transcriptional activity of AR (decreasing approximately 90% of the total AR activity) and in competitive AR ligand-binding assays (showing over four times higher potency to inhibit radioligand binding in comparison to bicalutamide). Notably, 6a maintains its antiandrogenic activity with AR mutants W741L and T877A commonly observed and activated by bicalutamide and hydroxyflutamide, respectively, in prostate cancer patients., Entry 1: We report here the design, preparation, and systematic evaluation of a novel cycloalkane[d]isoxazole pharmacophoric fragment-containing androgen receptor (AR) modulators. Cycloalkane[d]isoxazoles form new core structures that interact with the hydrophobic region of the AR ligand-binding domain. To systematize and rationalize the structure-activity relationship of the new fragment, we used molecular modeling to design a molecular library containing over 40 cycloalkane[d]isoxazole derivatives. The most potent compound, 4-(3a,4,5,6,7,7a-hexahydrobenzo[d]isoxazol-3-yl)-2-(trifluoromethyl)benzonitrile (6a), exhibits antiandrogenic activity significantly greater than that of the most widely used antiandrogenic prostate cancer drugs bicalutamide (1) and hydroxyflutamide (2) in reporter gene assays measuring the transcriptional activity of AR (decreasing approximately 90% of the total AR activity) and in competitive AR ligand-binding assays (showing over four times higher potency to inhibit radioligand binding in comparison to bicalutamide). Notably, 6a maintains its antiandrogenic activity with AR mutants W741L and T877A commonly observed and activated by bicalutamide and hydroxyflutamide, respectively, in prostate cancer patients., ",,Fc1ccc(C2=NOC3CCCCCCC23)c(C(F)(F)F)c1,C16H17F4NO,CHEMBL2159550,19.8,35.6,,,,,,,
1426098,%,Activity,,"Entry 0: BAO_0001103, Entry 1: BAO_0001103, ",Activity,"Entry 0: 854885, Entry 1: 854885, ","Entry 0: Antagonist activity at wild type human androgen receptor expressed in COS-1 cells co-transfected with pSG5 assessed as testosterone induced luciferase activity at 10 uM after 18 hrs relative untreated control, Entry 1: Antagonist activity at wild type human androgen receptor expressed in COS-1 cells co-transfected with pSG5 assessed as testosterone induced luciferase activity at 10 uM after 18 hrs relative untreated control, ","Entry 0: F, Entry 1: F, ",,"Entry 0: CHEMBL2162622, Entry 1: CHEMBL2162622, ","Entry 0: 10.1021/jm300233k, Entry 1: 10.1021/jm300233k, ","Entry 0: 22746350, Entry 1: 22746350, ","Entry 0: CHEMBL2157978, Entry 1: CHEMBL2157978, ","Entry 0: Design, synthesis, and biological evaluation of nonsteroidal cycloalkane[d]isoxazole-containing androgen receptor modulators., Entry 1: Design, synthesis, and biological evaluation of nonsteroidal cycloalkane[d]isoxazole-containing androgen receptor modulators., ","Entry 0: PUBLICATION, Entry 1: PUBLICATION, ","Entry 0: We report here the design, preparation, and systematic evaluation of a novel cycloalkane[d]isoxazole pharmacophoric fragment-containing androgen receptor (AR) modulators. Cycloalkane[d]isoxazoles form new core structures that interact with the hydrophobic region of the AR ligand-binding domain. To systematize and rationalize the structure-activity relationship of the new fragment, we used molecular modeling to design a molecular library containing over 40 cycloalkane[d]isoxazole derivatives. The most potent compound, 4-(3a,4,5,6,7,7a-hexahydrobenzo[d]isoxazol-3-yl)-2-(trifluoromethyl)benzonitrile (6a), exhibits antiandrogenic activity significantly greater than that of the most widely used antiandrogenic prostate cancer drugs bicalutamide (1) and hydroxyflutamide (2) in reporter gene assays measuring the transcriptional activity of AR (decreasing approximately 90% of the total AR activity) and in competitive AR ligand-binding assays (showing over four times higher potency to inhibit radioligand binding in comparison to bicalutamide). Notably, 6a maintains its antiandrogenic activity with AR mutants W741L and T877A commonly observed and activated by bicalutamide and hydroxyflutamide, respectively, in prostate cancer patients., Entry 1: We report here the design, preparation, and systematic evaluation of a novel cycloalkane[d]isoxazole pharmacophoric fragment-containing androgen receptor (AR) modulators. Cycloalkane[d]isoxazoles form new core structures that interact with the hydrophobic region of the AR ligand-binding domain. To systematize and rationalize the structure-activity relationship of the new fragment, we used molecular modeling to design a molecular library containing over 40 cycloalkane[d]isoxazole derivatives. The most potent compound, 4-(3a,4,5,6,7,7a-hexahydrobenzo[d]isoxazol-3-yl)-2-(trifluoromethyl)benzonitrile (6a), exhibits antiandrogenic activity significantly greater than that of the most widely used antiandrogenic prostate cancer drugs bicalutamide (1) and hydroxyflutamide (2) in reporter gene assays measuring the transcriptional activity of AR (decreasing approximately 90% of the total AR activity) and in competitive AR ligand-binding assays (showing over four times higher potency to inhibit radioligand binding in comparison to bicalutamide). Notably, 6a maintains its antiandrogenic activity with AR mutants W741L and T877A commonly observed and activated by bicalutamide and hydroxyflutamide, respectively, in prostate cancer patients., ",,Fc1ccc(C2=NOC3CCCCC23)cc1,C13H14FNO,CHEMBL2159551,99.3,101.6,,,,,,,
1426099,%,Activity,,BAO_0001103,Activity,854885,Antagonist activity at wild type human androgen receptor expressed in COS-1 cells co-transfected with pSG5 assessed as testosterone induced luciferase activity at 10 uM after 18 hrs relative untreated control,F,,CHEMBL2162622,10.1021/jm300233k,22746350,CHEMBL2157978,"Design, synthesis, and biological evaluation of nonsteroidal cycloalkane[d]isoxazole-containing androgen receptor modulators.",PUBLICATION,"We report here the design, preparation, and systematic evaluation of a novel cycloalkane[d]isoxazole pharmacophoric fragment-containing androgen receptor (AR) modulators. Cycloalkane[d]isoxazoles form new core structures that interact with the hydrophobic region of the AR ligand-binding domain. To systematize and rationalize the structure-activity relationship of the new fragment, we used molecular modeling to design a molecular library containing over 40 cycloalkane[d]isoxazole derivatives. The most potent compound, 4-(3a,4,5,6,7,7a-hexahydrobenzo[d]isoxazol-3-yl)-2-(trifluoromethyl)benzonitrile (6a), exhibits antiandrogenic activity significantly greater than that of the most widely used antiandrogenic prostate cancer drugs bicalutamide (1) and hydroxyflutamide (2) in reporter gene assays measuring the transcriptional activity of AR (decreasing approximately 90% of the total AR activity) and in competitive AR ligand-binding assays (showing over four times higher potency to inhibit radioligand binding in comparison to bicalutamide). Notably, 6a maintains its antiandrogenic activity with AR mutants W741L and T877A commonly observed and activated by bicalutamide and hydroxyflutamide, respectively, in prostate cancer patients.",,Fc1cccc(C2=NOC3CCCCC23)c1,C13H14FNO,CHEMBL2159552,100.3,,,,,,,,
1426100,%,Activity,,"Entry 0: BAO_0001103, Entry 1: BAO_0001103, ",Activity,"Entry 0: 854885, Entry 1: 854885, ","Entry 0: Antagonist activity at wild type human androgen receptor expressed in COS-1 cells co-transfected with pSG5 assessed as testosterone induced luciferase activity at 10 uM after 18 hrs relative untreated control, Entry 1: Antagonist activity at wild type human androgen receptor expressed in COS-1 cells co-transfected with pSG5 assessed as testosterone induced luciferase activity at 10 uM after 18 hrs relative untreated control, ","Entry 0: F, Entry 1: F, ",,"Entry 0: CHEMBL2162622, Entry 1: CHEMBL2162622, ","Entry 0: 10.1021/jm300233k, Entry 1: 10.1021/jm300233k, ","Entry 0: 22746350, Entry 1: 22746350, ","Entry 0: CHEMBL2157978, Entry 1: CHEMBL2157978, ","Entry 0: Design, synthesis, and biological evaluation of nonsteroidal cycloalkane[d]isoxazole-containing androgen receptor modulators., Entry 1: Design, synthesis, and biological evaluation of nonsteroidal cycloalkane[d]isoxazole-containing androgen receptor modulators., ","Entry 0: PUBLICATION, Entry 1: PUBLICATION, ","Entry 0: We report here the design, preparation, and systematic evaluation of a novel cycloalkane[d]isoxazole pharmacophoric fragment-containing androgen receptor (AR) modulators. Cycloalkane[d]isoxazoles form new core structures that interact with the hydrophobic region of the AR ligand-binding domain. To systematize and rationalize the structure-activity relationship of the new fragment, we used molecular modeling to design a molecular library containing over 40 cycloalkane[d]isoxazole derivatives. The most potent compound, 4-(3a,4,5,6,7,7a-hexahydrobenzo[d]isoxazol-3-yl)-2-(trifluoromethyl)benzonitrile (6a), exhibits antiandrogenic activity significantly greater than that of the most widely used antiandrogenic prostate cancer drugs bicalutamide (1) and hydroxyflutamide (2) in reporter gene assays measuring the transcriptional activity of AR (decreasing approximately 90% of the total AR activity) and in competitive AR ligand-binding assays (showing over four times higher potency to inhibit radioligand binding in comparison to bicalutamide). Notably, 6a maintains its antiandrogenic activity with AR mutants W741L and T877A commonly observed and activated by bicalutamide and hydroxyflutamide, respectively, in prostate cancer patients., Entry 1: We report here the design, preparation, and systematic evaluation of a novel cycloalkane[d]isoxazole pharmacophoric fragment-containing androgen receptor (AR) modulators. Cycloalkane[d]isoxazoles form new core structures that interact with the hydrophobic region of the AR ligand-binding domain. To systematize and rationalize the structure-activity relationship of the new fragment, we used molecular modeling to design a molecular library containing over 40 cycloalkane[d]isoxazole derivatives. The most potent compound, 4-(3a,4,5,6,7,7a-hexahydrobenzo[d]isoxazol-3-yl)-2-(trifluoromethyl)benzonitrile (6a), exhibits antiandrogenic activity significantly greater than that of the most widely used antiandrogenic prostate cancer drugs bicalutamide (1) and hydroxyflutamide (2) in reporter gene assays measuring the transcriptional activity of AR (decreasing approximately 90% of the total AR activity) and in competitive AR ligand-binding assays (showing over four times higher potency to inhibit radioligand binding in comparison to bicalutamide). Notably, 6a maintains its antiandrogenic activity with AR mutants W741L and T877A commonly observed and activated by bicalutamide and hydroxyflutamide, respectively, in prostate cancer patients., ",,Fc1ccccc1C1=NOC2CCCCC12,C13H14FNO,CHEMBL2158018,101.2,103.6,,,,,,,
1426101,%,Activity,,"Entry 0: BAO_0001103, Entry 1: BAO_0001103, ",Activity,"Entry 0: 854885, Entry 1: 854885, ","Entry 0: Antagonist activity at wild type human androgen receptor expressed in COS-1 cells co-transfected with pSG5 assessed as testosterone induced luciferase activity at 10 uM after 18 hrs relative untreated control, Entry 1: Antagonist activity at wild type human androgen receptor expressed in COS-1 cells co-transfected with pSG5 assessed as testosterone induced luciferase activity at 10 uM after 18 hrs relative untreated control, ","Entry 0: F, Entry 1: F, ",,"Entry 0: CHEMBL2162622, Entry 1: CHEMBL2162622, ","Entry 0: 10.1021/jm300233k, Entry 1: 10.1021/jm300233k, ","Entry 0: 22746350, Entry 1: 22746350, ","Entry 0: CHEMBL2157978, Entry 1: CHEMBL2157978, ","Entry 0: Design, synthesis, and biological evaluation of nonsteroidal cycloalkane[d]isoxazole-containing androgen receptor modulators., Entry 1: Design, synthesis, and biological evaluation of nonsteroidal cycloalkane[d]isoxazole-containing androgen receptor modulators., ","Entry 0: PUBLICATION, Entry 1: PUBLICATION, ","Entry 0: We report here the design, preparation, and systematic evaluation of a novel cycloalkane[d]isoxazole pharmacophoric fragment-containing androgen receptor (AR) modulators. Cycloalkane[d]isoxazoles form new core structures that interact with the hydrophobic region of the AR ligand-binding domain. To systematize and rationalize the structure-activity relationship of the new fragment, we used molecular modeling to design a molecular library containing over 40 cycloalkane[d]isoxazole derivatives. The most potent compound, 4-(3a,4,5,6,7,7a-hexahydrobenzo[d]isoxazol-3-yl)-2-(trifluoromethyl)benzonitrile (6a), exhibits antiandrogenic activity significantly greater than that of the most widely used antiandrogenic prostate cancer drugs bicalutamide (1) and hydroxyflutamide (2) in reporter gene assays measuring the transcriptional activity of AR (decreasing approximately 90% of the total AR activity) and in competitive AR ligand-binding assays (showing over four times higher potency to inhibit radioligand binding in comparison to bicalutamide). Notably, 6a maintains its antiandrogenic activity with AR mutants W741L and T877A commonly observed and activated by bicalutamide and hydroxyflutamide, respectively, in prostate cancer patients., Entry 1: We report here the design, preparation, and systematic evaluation of a novel cycloalkane[d]isoxazole pharmacophoric fragment-containing androgen receptor (AR) modulators. Cycloalkane[d]isoxazoles form new core structures that interact with the hydrophobic region of the AR ligand-binding domain. To systematize and rationalize the structure-activity relationship of the new fragment, we used molecular modeling to design a molecular library containing over 40 cycloalkane[d]isoxazole derivatives. The most potent compound, 4-(3a,4,5,6,7,7a-hexahydrobenzo[d]isoxazol-3-yl)-2-(trifluoromethyl)benzonitrile (6a), exhibits antiandrogenic activity significantly greater than that of the most widely used antiandrogenic prostate cancer drugs bicalutamide (1) and hydroxyflutamide (2) in reporter gene assays measuring the transcriptional activity of AR (decreasing approximately 90% of the total AR activity) and in competitive AR ligand-binding assays (showing over four times higher potency to inhibit radioligand binding in comparison to bicalutamide). Notably, 6a maintains its antiandrogenic activity with AR mutants W741L and T877A commonly observed and activated by bicalutamide and hydroxyflutamide, respectively, in prostate cancer patients., ",,Clc1ccc(C2=NOC3CCCCC23)cc1,C13H14ClNO,CHEMBL2159553,40.9,91.4,,,,,,,
