molregno,standard_value_get_mean,standard_units_get_levels,standard_type_get_levels,chembl_id_compound_get_levels,canonical_smiles_get_levels,act_0,act_1
9495,4730.8,nM,Potency,CHEMBL503,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,4730.8,
10010,149.6,nM,Potency,CHEMBL11860,S=C1NCCN1,149.6,
10392,6682.4,nM,Potency,CHEMBL273386,O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,6682.4,
10661,595.6,nM,Potency,CHEMBL511,COc1ccc(CN(CCN(C)C)c2ccccn2)cc1,595.6,
11002,66824.2,nM,Potency,CHEMBL515,O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1,66824.2,
12428,33491.5,nM,Potency,CHEMBL529,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,33491.5,
12825,14772.2,nM,Potency,CHEMBL103,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,8412.7,21131.7
13329,10590.9,nM,Potency,CHEMBL537,Oc1ccc(O)cc1,10590.9,
13355,33491.5,nM,Potency,CHEMBL540,c1c[nH]cn1,33491.5,
13467,18833.6,nM,Potency,CHEMBL14282,Nc1ccc([N+](=O)[O-])cc1,18833.6,
13474,42163.2,nM,Potency,CHEMBL544,COc1ccc(O)cc1,42163.2,
13476,149.6,nM,Potency,CHEMBL13766,COc1ccccc1O,149.6,
13479,16785.5,nM,Potency,CHEMBL14173,Nc1ccccc1C(=O)O,16785.5,
13618,74978.0,nM,Potency,CHEMBL545,CCO,74978.0,
13795,1333.3,nM,Potency,CHEMBL14377,Clc1cc(Cl)c(-c2cc(Cl)c(Cl)cc2Cl)cc1Cl,1333.3,
14440,226.85,nM,Potency,CHEMBL107,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2,118.8,334.9
15217,66824.2,nM,Potency,CHEMBL109,CCCC(CCC)C(=O)O,66824.2,
16102,42163.2,nM,Potency,CHEMBL15712,CCCCCCCC/C=C\CCCCCCCC(=O)N(CCO)CCO,42163.2,
16303,1188.3,nM,Potency,CHEMBL562,COC1=CC(=O)C[C@@H](C)[C@]12Oc1c(Cl)c(OC)cc(OC)c1C2=O,1188.3,
16450,21131.7,nM,Potency,CHEMBL112,CC(=O)Nc1ccc(O)cc1,21131.7,
16512,943.9,nM,Potency,CHEMBL278980,c1ccoc1,943.9,
16530,74978.0,nM,Potency,CHEMBL416898,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,74978.0,
16544,2660.3,nM,Potency,CHEMBL15063,CCNc1nc(Cl)nc(NC(C)C)n1,2660.3,
16592,37578.0,nM,Potency,CHEMBL572,O=C1CN(/N=C/c2ccc([N+](=O)[O-])o2)C(=O)N1,37578.0,
16995,10590.9,nM,Potency,CHEMBL16645,Cc1ccc(O)cc1,10590.9,
17490,21131.7,nM,Potency,CHEMBL16300,O=C(NO)c1ccccc1,21131.7,
18145,1496.0,nM,Potency,CHEMBL275638,O=c1cc(-c2ccccc2)oc2ccccc12,1496.0,
18694,33491.5,nM,Potency,CHEMBL118,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,33491.5,
24418,59557.2,nM,Potency,CHEMBL282042,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1.CS(=O)(=O)O,59557.2,
25844,149.6,nM,Potency,CHEMBL20563,O=C(O)c1cccc(Cl)c1,149.6,
26590,9439.2,nM,Potency,CHEMBL625,c1ccc2[nH]c(-c3cscn3)nc2c1,9439.2,
27229,7497.8,nM,Potency,CHEMBL635,C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,7497.8,
27626,33491.5,nM,Potency,CHEMBL135,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,33491.5,
28609,2113.2,nM,Potency,CHEMBL278164,Nc1ccc2ccccc2c1,2113.2,
31312,33491.5,nM,Potency,CHEMBL140,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,33491.5,
32978,74978.0,nM,Potency,CHEMBL24147,Oc1cccc(O)c1,74978.0,
34608,16785.5,nM,Potency,CHEMBL717,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,16785.5,
34933,26603.2,nM,Potency,CHEMBL27769,C[C@]12CC[C@H]3[C@@H](CC[C@H]4CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,26603.2,
35130,37578.0,nM,Potency,CHEMBL28319,Nc1ccccc1O,37578.0,
35131,7497.8,nM,Potency,CHEMBL286727,Cc1cccc(C)c1,7497.8,
35158,5955.7,nM,Potency,CHEMBL280998,Oc1ccccc1O,5955.7,
35358,84126.7,nM,Potency,CHEMBL27577,NC(=O)c1ccccc1O,84126.7,
36604,16061.4,nM,Potency,CHEMBL26886,O=C=NC1CCCCC1,8412.7,23710.1
37579,66824.2,nM,Potency,CHEMBL30131,CC(=O)NNc1ccccc1,66824.2,
42569,4.7,nM,Potency,CHEMBL31596,CCOC(=O)C(C)C(C)=O,4.7,
42689,7497.8,nM,Potency,CHEMBL286398,CC(O)CO,7497.8,
42757,3757.8,nM,Potency,CHEMBL286013,CCC(C)(C)C(=O)O,3757.8,
43745,3349.1,nM,Potency,CHEMBL282731,O=C(/C=C/c1ccc(O)c(O)c1)O[C@@H](C(=O)O)[C@@H](OC(=O)/C=C/c1ccc(O)c(O)c1)C(=O)O,3349.1,
43952,37578.0,nM,Potency,CHEMBL772,COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC,37578.0,
44648,2660.3,nM,Potency,CHEMBL33720,CNCC(O)c1ccc(O)cc1,2660.3,
46591,26603.2,nM,Potency,CHEMBL33845,Oc1ccc(Cl)cc1Cc1cc(Cl)ccc1O,26603.2,
46656,4730.8,nM,Potency,CHEMBL290106,Oc1c(Cl)cc(Cl)cc1Sc1cc(Cl)cc(Cl)c1O,4730.8,
46884,74978.0,nM,Potency,CHEMBL150,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,74978.0,
46958,66824.2,nM,Potency,CHEMBL33864,O=C(O)CCCCC1CCSS1,66824.2,
47340,29849.3,nM,Potency,CHEMBL786,CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1.O=C(O)CC(O)(CC(=O)O)C(=O)O,29849.3,
47766,18833.6,nM,Potency,CHEMBL431701,COc1cc([C@H]2Oc3cc([C@H]4Oc5cc(O)cc(O)c5C(=O)[C@@H]4O)ccc3O[C@@H]2CO)ccc1O,18833.6,
47819,1188.3,nM,Potency,CHEMBL36296,CN(C)c1ccc(N)cc1,1188.3,
48849,26603.2,nM,Potency,CHEMBL790,N=C(NCCCCCCNC(=N)NC(=N)Nc1ccc(Cl)cc1)NC(=N)Nc1ccc(Cl)cc1,26603.2,
50637,841.3,nM,Potency,CHEMBL35479,O=C1C(c2[nH]c3ccccc3c2O)=Nc2ccccc21,841.3,
52087,23710.1,nM,Potency,CHEMBL806,CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,23710.1,
52252,2371.0,nM,Potency,CHEMBL291057,COC(C)(C)CCCC(C)C/C=C/C(C)=C/C(=O)OC(C)C,2371.0,
53803,37578.0,nM,Potency,CHEMBL440287,CN(N=O)C(=N)N[N+](=O)[O-],37578.0,
54715,2371.0,nM,Potency,CHEMBL415879,c1cnc2c(c1)ccc1cccnc12,2371.0,
58298,42163.2,nM,Potency,CHEMBL39763,CC(C)(C)CC(C)(C)c1ccc(OCCO)cc1,42163.2,
61174,42163.2,nM,Potency,CHEMBL289277,Cc1cc(O)c2c(c1)C(=O)c1cc(O)cc(O)c1C2=O,42163.2,
61469,6682.4,nM,Potency,CHEMBL41092,Cc1cc(O)c2c(c1)C(=O)c1cccc(O)c1C2=O,6682.4,
61715,37578.0,nM,Potency,CHEMBL418068,O=C(O)c1cc(O)c2c(c1)C(=O)c1cccc(O)c1C2=O,37578.0,
65415,26603.2,nM,Potency,CHEMBL852,N[C@@H](Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O,26603.2,
65416,13333.2,nM,Potency,CHEMBL44072,ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,13333.2,
66687,29849.3,nM,Potency,CHEMBL46469,O=C1c2c(O)cccc2Cc2cccc(O)c21,29849.3,
67103,5955.7,nM,Potency,CHEMBL46422,Clc1ccc(Cl)c(Cl)c1Cl,5955.7,
67275,94.4,nM,Potency,CHEMBL44011,Clc1cc(Cl)c(Cl)c(Cl)c1,94.4,
67276,29849.3,nM,Potency,CHEMBL44228,Clc1cc(Cl)cc(Cl)c1,29849.3,
67277,3757.8,nM,Potency,CHEMBL296348,Clc1ccc(Cl)c(Cl)c1,3757.8,
67627,334.9,nM,Potency,CHEMBL45235,Clc1cccc(Cl)c1,334.9,
67807,188.3,nM,Potency,CHEMBL47258,ClC(Cl)C(Cl)Cl,188.3,
67839,74978.0,nM,Potency,CHEMBL44618,ClC(Cl)Cl,74978.0,
67862,16785.5,nM,Potency,CHEMBL298461,Clc1ccccc1Cl,16785.5,
70239,42163.2,nM,Potency,CHEMBL869,NC(=O)N/N=C/c1ccc([N+](=O)[O-])o1,42163.2,
81858,37578.0,nM,Potency,CHEMBL293492,O=C/C=C/c1ccccc1,37578.0,
82895,37578.0,nM,Potency,CHEMBL53418,O=C1c2cccc(O)c2C(=O)c2c(O)cccc21,37578.0,
86409,18833.6,nM,Potency,CHEMBL935,N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1.O=S(=O)(O)CCO,18833.6,
88841,75.0,nM,Potency,CHEMBL942,CC(=O)Oc1ccc(C(c2ccc(OC(C)=O)cc2)c2ccccn2)cc1,75.0,
91783,33491.5,nM,Potency,CHEMBL294199,COc1cc(CNC(=O)CCCC/C=C/C(C)C)ccc1O,33491.5,
98346,2371.0,nM,Potency,CHEMBL64894,CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccc(N(C)C)cc2)cc1.[Cl-],2371.0,
103658,2371.0,nM,Potency,CHEMBL165,Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,2371.0,
104250,66824.2,nM,Potency,CHEMBL63857,O=C1OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21,66824.2,
104574,47307.9,nM,Potency,CHEMBL986,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/CO)C(C)(C)CCC1,47307.9,
105660,2984.9,nM,Potency,CHEMBL67450,Cc1cccc(C(=O)O)c1,2984.9,
107119,11.9,nM,Potency,CHEMBL991,Cc1cn([C@H]2C=C[C@@H](CO)O2)c(=O)[nH]c1=O,11.9,
107905,1059.1,nM,Potency,CHEMBL303004,NCCCCCCN,1059.1,
110049,2984.9,nM,Potency,CHEMBL70902,c1ccc(SCCSc2ccccc2)cc1,2984.9,
111490,188.3,nM,Potency,CHEMBL70582,Nc1ccccc1N,188.3,
111897,33491.5,nM,Potency,CHEMBL70141,Sc1nc2ccccc2[nH]1,33491.5,
124921,16785.5,nM,Potency,CHEMBL75967,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,16785.5,
125294,37578.0,nM,Potency,CHEMBL1042,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@@]2(C)[C@H]1CC[C@@H]2[C@H](C)CCCC(C)C,37578.0,
125458,29849.3,nM,Potency,CHEMBL309917,Oc1c(Cl)cc(Cl)cc1Cl,29849.3,
126356,33491.5,nM,Potency,CHEMBL1043,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,33491.5,
126915,16785.5,nM,Potency,CHEMBL1045,O=C(O)c1ccccc1C(=O)O,16785.5,
127941,29849.3,nM,Potency,CHEMBL81379,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=O)C(C)(C)CCC1,29849.3,
130007,3349.1,nM,Potency,CHEMBL310555,Oc1cccc2cccnc12,3349.1,
134187,8412.7,nM,Potency,CHEMBL85109,Cc1cc(-c2ccc(N)c(C)c2)ccc1N,8412.7,
134361,16785.5,nM,Potency,CHEMBL315348,CCN(CC)c1ccc2c(C)cc(=O)oc2c1,16785.5,
134378,29849.3,nM,Potency,CHEMBL82846,Nc1ccc(Cc2ccc(N)c(Cl)c2)cc1Cl,29849.3,
134383,6682.4,nM,Potency,CHEMBL83154,Nc1ccc2cc3ccccc3cc2c1,6682.4,
139683,84126.7,nM,Potency,CHEMBL87310,CCCCCCCCC/C=C/CC1CC(=O)OC1=O,84126.7,
142154,1188.3,nM,Potency,CHEMBL84685,Nc1ccc2c(c1)C(=O)c1ccccc1C2=O,1188.3,
145458,1188.3,nM,Potency,CHEMBL91732,CNC(=O)O/N=C/C(C)(C)SC,1188.3,
147656,74978.0,nM,Potency,CHEMBL90039,O=C(c1ccccc1)c1ccccc1,74978.0,
150887,23710.1,nM,Potency,CHEMBL327919,CCCCNC(=O)n1c(NC(=O)OC)nc2ccccc21,23710.1,
150941,47307.9,nM,Potency,CHEMBL93268,O=N[O-].[Na+],47307.9,
154496,13333.2,nM,Potency,CHEMBL329673,Cc1c2ccccc2c(C)c2c1ccc1ccccc12,13333.2,
155592,38578.6,nM,Potency,CHEMBL418971,CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,29849.3,47307.9
157107,29849.3,nM,Potency,CHEMBL329785,Nc1nc2ccccc2s1,29849.3,
157306,21131.7,nM,Potency,CHEMBL97797,COc1ccc2nc(N)sc2c1,21131.7,
169793,16785.5,nM,Potency,CHEMBL105712,O=C(CCl)c1ccccc1,16785.5,
174018,13333.2,nM,Potency,CHEMBL319398,COc1ccc([N+](=O)[O-])cc1N,13333.2,
174019,23710.1,nM,Potency,CHEMBL316992,Nc1cc([N+](=O)[O-])ccc1O,23710.1,
178297,13333.2,nM,Potency,CHEMBL419564,Cc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,13333.2,
178494,3349.1,nM,Potency,CHEMBL320358,CCCCCCC(=O)O,3349.1,
178547,53.1,nM,Potency,CHEMBL89295,[N-]=[N+]=[N-].[Na+],53.1,
178581,42163.2,nM,Potency,CHEMBL1142,Nc1ccc(O)cc1,42163.2,
178597,84126.7,nM,Potency,CHEMBL107498,CCCCCCCCCC(=O)O,84126.7,
178621,48336.75,nM,Potency,CHEMBL108766,CCCCCCCCCCCC(=O)O,29849.3,66824.2
178713,23710.1,nM,Potency,CHEMBL109095,Oc1cc(Cl)c(Cl)cc1Cl,23710.1,
179139,33491.5,nM,Potency,CHEMBL320361,Oc1c(Cl)cc(Cl)c(Cl)c1Cl,33491.5,
182165,23710.1,nM,Potency,CHEMBL110739,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2C(=O)CO,23710.1,
190522,66824.2,nM,Potency,CHEMBL114070,O=[N+]([O-])c1cccc([N+](=O)[O-])c1,66824.2,
195273,1188.3,nM,Potency,CHEMBL334255,CCCCCCCCCCCCCCCC[n+]1ccccc1.[Br-],1188.3,
195404,33491.5,nM,Potency,CHEMBL118765,CN(C)CCCCCCN(C)C,33491.5,
195479,943.9,nM,Potency,CHEMBL119604,OCCNCCO,943.9,
196838,59557.2,nM,Potency,CHEMBL118280,O=C(O)c1cc(Cl)cc(Cl)c1,59557.2,
198677,193.35,nM,Potency,CHEMBL123292,C[C@H]1C[C@H](C)C(=O)[C@H]([C@H](O)CC2CC(=O)NC(=O)C2)C1,149.6,237.1
198725,5308.0,nM,Potency,CHEMBL120563,CN(C)C(=S)SSC(=S)N(C)C,5308.0,
209964,1678.5,nM,Potency,CHEMBL127516,CCCCOC(=O)c1ccc(N)cc1,1678.5,
213505,8412.7,nM,Potency,CHEMBL1205,CS(=O)(=O)O.Cc1c(O)cccc1C(=O)N[C@@H](CSc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C,8412.7,
236019,37578.0,nM,Potency,CHEMBL139835,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C=C(Cl)C4=CC(=O)[C@@H]5C[C@@H]5[C@]4(C)[C@H]3CC[C@@]21C,37578.0,
241303,26603.2,nM,Potency,CHEMBL144530,O=[N+]([O-])c1cc(C(F)(F)F)cc([N+](=O)[O-])c1Cl,26603.2,
252564,66824.2,nM,Potency,CHEMBL153062,CCCCCCCCCc1ccc(O)cc1,66824.2,
253232,9439.2,nM,Potency,CHEMBL155625,OCc1c[nH]c2ccccc12,9439.2,
256830,26603.2,nM,Potency,CHEMBL152299,c1ccc(COCc2ccccc2)cc1,26603.2,
257413,266.0,nM,Potency,CHEMBL155320,Cc1ccc([N+](=O)[O-])cc1,266.0,
259273,26603.2,nM,Potency,CHEMBL154533,CCCCCc1cc(O)cc(O)c1,26603.2,
262231,943.9,nM,Potency,CHEMBL156455,C=C(Cl)Cl,943.9,
262353,6682.4,nM,Potency,CHEMBL160929,ClC(Cl)(Cl)C(Cl)(Cl)Cl,6682.4,
262425,211.3,nM,Potency,CHEMBL349587,CC(C)(Cl)Cl,211.3,
262631,33491.5,nM,Potency,CHEMBL350221,N[C@@H](Cc1c[nH]c2ccc(O)cc12)C(=O)O,33491.5,
262841,74978.0,nM,Potency,CHEMBL346918,ClCBr,74978.0,
263130,133331.9,nM,Potency,CHEMBL156378,CCBr,133331.9,
272538,18833.6,nM,Potency,CHEMBL162598,C(=NC1CCCCC1)=NC1CCCCC1,18833.6,
274889,16785.5,nM,Potency,CHEMBL164290,CCN(CC)N=O,16785.5,
276505,943.9,nM,Potency,CHEMBL354318,Nc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],943.9,
276679,5955.7,nM,Potency,CHEMBL353971,Nc1ccc(N)c([N+](=O)[O-])c1,5955.7,
276775,37578.0,nM,Potency,CHEMBL164921,O=[N+]([O-])c1ccc2[nH]cnc2c1,37578.0,
276800,33491.5,nM,Potency,CHEMBL167423,O=[N+]([O-])c1ccc(F)c([N+](=O)[O-])c1,33491.5,
277184,42163.2,nM,Potency,CHEMBL433721,Nc1ccc([N+](=O)[O-])cc1N,42163.2,
277279,84126.7,nM,Potency,CHEMBL166405,Nc1ccc(Cl)cc1[N+](=O)[O-],84126.7,
278091,47307.9,nM,Potency,CHEMBL167911,COP(=O)(OC)OC=C(Cl)Cl,47307.9,
282288,841.3,nM,Potency,CHEMBL354676,O=C(Nc1ccccc1)Nc1ccccc1,841.3,
291406,42163.2,nM,Potency,CHEMBL172064,CCOc1ccc2c(c1)C(C)=CC(C)(C)N2,42163.2,
291546,33491.5,nM,Potency,CHEMBL173521,O=C(O)COc1ccccc1,33491.5,
292910,42163.2,nM,Potency,CHEMBL175193,O=[N+]([O-])c1ccccc1CCl,42163.2,
312031,35534.75,nM,Potency,CHEMBL184450,CC(C)(c1cc(Br)c(O)c(Br)c1)c1cc(Br)c(O)c(Br)c1,33491.5,37578.0
312450,8412.7,nM,Potency,CHEMBL189362,O=Cc1ccco1,8412.7,
312516,33491.5,nM,Potency,CHEMBL185885,O=Cc1ccc(CO)o1,33491.5,
320990,7497.8,nM,Potency,CHEMBL192627,O=C1C(Cl)=C(Cl)C(=O)C(Cl)=C1Cl,7497.8,
322289,5955.7,nM,Potency,CHEMBL383808,Cc1cccc2ccccc12,5955.7,
327978,37578.0,nM,Potency,CHEMBL196590,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)Cl)cc1,37578.0,
328148,18833.6,nM,Potency,CHEMBL194121,Cc1cc(Cl)ccc1O,18833.6,
328162,37578.0,nM,Potency,CHEMBL196537,ClC1=C(Cl)C2(Cl)C3C(Cl)C(Cl)CC3C1(Cl)C2(Cl)Cl,37578.0,
328167,34383.2,nM,Potency,CHEMBL362919,COc1ccc(C(c2ccc(OC)cc2)C(Cl)(Cl)Cl)cc1,26603.2,42163.2
328171,23710.1,nM,Potency,CHEMBL195953,ClC1=C(Cl)C2(Cl)C3C4C=CC(C4)C3C1(Cl)C2(Cl)Cl,23710.1,
328176,84126.7,nM,Potency,CHEMBL364900,Clc1ccc(C(c2ccccc2Cl)C(Cl)(Cl)Cl)cc1,84126.7,
328189,35534.75,nM,Potency,CHEMBL363207,ClC(Cl)=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,33491.5,37578.0
328202,21131.7,nM,Potency,CHEMBL194399,O=S1OCC2C(CO1)C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,21131.7,
328203,749.8,nM,Potency,CHEMBL194400,ClC1=C(Cl)C2(Cl)C3C(Cl)C=CC3C1(Cl)C2(Cl)Cl,749.8,
328400,16785.5,nM,Potency,CHEMBL1395,C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,16785.5,
338934,4216.3,nM,Potency,CHEMBL1401,CC(=O)Oc1ccccc1C(=O)Nc1ncc([N+](=O)[O-])s1,4216.3,
364520,26603.2,nM,Potency,CHEMBL386630,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,26603.2,
364604,74978.0,nM,Potency,CHEMBL220087,Oc1c(Br)cc(Br)cc1Br,74978.0,
368083,42163.2,nM,Potency,CHEMBL221753,CC(C)(C)CC(C)(C)c1ccc(OCCOCC[N+](C)(C)Cc2ccccc2)cc1.[Cl-],42163.2,
369696,59557.2,nM,Potency,CHEMBL220845,CC(C)(C)c1ccc(O)c(O)c1,59557.2,
372552,7497.8,nM,Potency,CHEMBL222280,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1Br,7497.8,
374005,1188.3,nM,Potency,CHEMBL1441,CCc1cc(C(N)=S)ccn1,1188.3,
374988,74978.0,nM,Potency,CHEMBL224282,Cc1ccc(O)c(N)c1,74978.0,
375065,29849.3,nM,Potency,CHEMBL225257,CN(C)c1cccc(O)c1,29849.3,
377718,29849.3,nM,Potency,CHEMBL1445,C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,29849.3,
381508,66824.2,nM,Potency,CHEMBL228511,OC(c1ccc(Cl)cc1)(c1ccc(Cl)cc1)C(Cl)(Cl)Cl,66824.2,
381531,11883.2,nM,Potency,CHEMBL229760,Brc1ccc(Oc2ccc(Br)cc2Br)c(Br)c1,11883.2,
381532,54234.75,nM,Potency,CHEMBL374400,Brc1ccc(Oc2cc(Br)c(Br)cc2Br)c(Br)c1,33491.5,74978.0
381693,42163.2,nM,Potency,CHEMBL190,Cn1c(=O)c2nc[nH]c2n(C)c1=O,42163.2,
388389,5449.35,nM,Potency,CHEMBL388676,O=C1C2CC=CCC2C(=O)N1SC(Cl)(Cl)Cl,4216.3,6682.4
391133,26603.2,nM,Potency,CHEMBL243580,c1ccc2c(c1)[nH]c1ccccc12,26603.2,
391274,23317.4,nM,Potency,CHEMBL242080,CC(C)(C)c1cc(O)ccc1O,16785.5,29849.3
395613,66824.2,nM,Potency,CHEMBL233632,O=CC(=O)c1ccccc1,66824.2,
401211,53.1,nM,Potency,CHEMBL1474,O=Cc1ccc(Cl)cc1,53.1,
404688,74978.0,nM,Potency,CHEMBL1478,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,74978.0,
418310,18833.6,nM,Potency,CHEMBL398363,COc1cc(-c2ccc(N)c(OC)c2)ccc1N,18833.6,
