comp_molregno,act_standard_units,act_standard_type,act_activity_comment,act_bao_endpoint,act_type,ass_assay_id,ass_description,ass_assay_type,ass_assay_category,ass_chembl_id,doc_doi,doc_pubmed_id,doc_chembl_id,doc_title,doc_doc_type,doc_abstract,doc_patent_id,coms_canonical_smiles,comp_full_molformula,mold_chembl_id,act_0,act_1,act_2,act_3,act_4,act_5
2121952,nM,Kd,mix,"Entry 0: BAO_0000034, Entry 1: BAO_0000034, Entry 2: BAO_0000034, ",Kd,"Entry 0: 1641761, Entry 1: 1641761, Entry 2: 1641761, ","Entry 0: ThermoFluor® Assay: ThermoFluor® experiments were carried out using instruments owned by Janssen Research and Discovery, L.L.C. through its acquisition of 3-Dimensional Pharmaceuticals, Inc. 1,8-ANS (Invitrogen) was used as a fluorescent dye. Protein and compound solutions are dispensed into black 384-well polypropylene PCR microplates (Abgene) and overlayed with silicone oil (1 μL, Fluka, type DC 200) to prevent evaporation. Bar-coded assay plates are robotically loaded onto a thermostatically controlled PCR-type thermal block and then heated at a typical ramp-rate of 1° C./min for all experiments. Fluorescence was measured by continuous illumination with UV light (Hamamatsu LC6) supplied via fiber optic and filtered through a band-pass filter (380-400 nm; >6 OD cutoff). Fluorescence emission of the entire 384-well plate was detected by measuring light intensity using a CCD camera (Sensys, Roper Scientific) filtered to detect 500±25 nm, resulting in simultaneous and independent readings of all 384 wells.Â  Reference wells contained RORγt without compounds, and the assay conditions were as follows: 0.065 mg/mL RORγt, 60 μM 1,8-ANS, 100 mM Hepes, pH 7.0, 10 mM NaCl, 2.5 mM GSH, 0.002% Tween-20., Entry 1: ThermoFluor® Assay: ThermoFluor® experiments were carried out using instruments owned by Janssen Research and Discovery, L.L.C. through its acquisition of 3-Dimensional Pharmaceuticals, Inc. 1,8-ANS (Invitrogen) was used as a fluorescent dye. Protein and compound solutions are dispensed into black 384-well polypropylene PCR microplates (Abgene) and overlayed with silicone oil (1 μL, Fluka, type DC 200) to prevent evaporation. Bar-coded assay plates are robotically loaded onto a thermostatically controlled PCR-type thermal block and then heated at a typical ramp-rate of 1° C./min for all experiments. Fluorescence was measured by continuous illumination with UV light (Hamamatsu LC6) supplied via fiber optic and filtered through a band-pass filter (380-400 nm; >6 OD cutoff). Fluorescence emission of the entire 384-well plate was detected by measuring light intensity using a CCD camera (Sensys, Roper Scientific) filtered to detect 500±25 nm, resulting in simultaneous and independent readings of all 384 wells.Â  Reference wells contained RORγt without compounds, and the assay conditions were as follows: 0.065 mg/mL RORγt, 60 μM 1,8-ANS, 100 mM Hepes, pH 7.0, 10 mM NaCl, 2.5 mM GSH, 0.002% Tween-20., Entry 2: ThermoFluor® Assay: ThermoFluor® experiments were carried out using instruments owned by Janssen Research and Discovery, L.L.C. through its acquisition of 3-Dimensional Pharmaceuticals, Inc. 1,8-ANS (Invitrogen) was used as a fluorescent dye. Protein and compound solutions are dispensed into black 384-well polypropylene PCR microplates (Abgene) and overlayed with silicone oil (1 μL, Fluka, type DC 200) to prevent evaporation. Bar-coded assay plates are robotically loaded onto a thermostatically controlled PCR-type thermal block and then heated at a typical ramp-rate of 1° C./min for all experiments. Fluorescence was measured by continuous illumination with UV light (Hamamatsu LC6) supplied via fiber optic and filtered through a band-pass filter (380-400 nm; >6 OD cutoff). Fluorescence emission of the entire 384-well plate was detected by measuring light intensity using a CCD camera (Sensys, Roper Scientific) filtered to detect 500±25 nm, resulting in simultaneous and independent readings of all 384 wells.Â  Reference wells contained RORγt without compounds, and the assay conditions were as follows: 0.065 mg/mL RORγt, 60 μM 1,8-ANS, 100 mM Hepes, pH 7.0, 10 mM NaCl, 2.5 mM GSH, 0.002% Tween-20., ","Entry 0: B, Entry 1: B, Entry 2: B, ",,"Entry 0: CHEMBL3888484, Entry 1: CHEMBL3888484, Entry 2: CHEMBL3888484, ",,,"Entry 0: CHEMBL3886726, Entry 1: CHEMBL3886726, Entry 2: CHEMBL3886726, ","Entry 0: Alkyl linked quinolinyl modulators of RORγt, Entry 1: Alkyl linked quinolinyl modulators of RORγt, Entry 2: Alkyl linked quinolinyl modulators of RORγt, ","Entry 0: PATENT, Entry 1: PATENT, Entry 2: PATENT, ",,"Entry 0: US-9346782-B2, Entry 1: US-9346782-B2, Entry 2: US-9346782-B2, ",COc1nc2ccc(C(C)(O)c3ccc(C)nc3C)cc2c(Cl)c1Cc1ccc(C(F)(F)F)cc1,C27H24ClF3N2O2,CHEMBL3912581,21.0,59.0,71.0,,,
2121989,nM,Kd,mix,"Entry 0: BAO_0000034, Entry 1: BAO_0000034, Entry 2: BAO_0000034, ",Kd,"Entry 0: 1641535, Entry 1: 1641535, Entry 2: 1641535, ","Entry 0: ThermoFluor® Assay: Bar-coded assay plates are robotically loaded onto a thermostatically controlled PCR-type thermal block and then heated at a typical ramp-rate of 1 °C./min for all experiments. Fluorescence was measured by continuous illumination with UV light (Hamamatsu LC6) supplied via fiber optic and filtered through a band-pass filter (380-400 nm; >6 OD cutoff). Fluorescence emission of the entire 384-well plate was detected by measuring light intensity using a CCD camera (Sensys, Roper Scientific) filtered to detect 500±25 nm, resulting in simultaneous and independent readings of all 384 wells. Images were collected at each temperature, and the sum of the pixel intensity in a given area of the assay plate was recorded versus temperature. Reference wells contained RORγt without compounds, and the assay conditions were as follows: 0.065 mg/mL RORγt, 60 μM 1,8-ANS, 100 mM Hepes, pH 7.0, 10 mM NaCl, 2.5 mM GSH, 0.002% Tween-20. Project compounds were arranged in a pre-dosed mother plate (Greiner Bio-one) wherein compounds are serially diluted in 100% DMSO by 1:2 from a high concentration of 10 mM over 12 columns within a series (column 12 is a reference well containing DMSO, no compound). The compounds were robotically dispensed directly into assay plates (1×=46 nL) using a Hummingbird capillary liquid handling instrument (Digilab). Following compound dispense, protein and dye in buffer was added to achieve the final assay volume of 3 μL, followed by 1 μL of silicone oil., Entry 1: ThermoFluor® Assay: Bar-coded assay plates are robotically loaded onto a thermostatically controlled PCR-type thermal block and then heated at a typical ramp-rate of 1 °C./min for all experiments. Fluorescence was measured by continuous illumination with UV light (Hamamatsu LC6) supplied via fiber optic and filtered through a band-pass filter (380-400 nm; >6 OD cutoff). Fluorescence emission of the entire 384-well plate was detected by measuring light intensity using a CCD camera (Sensys, Roper Scientific) filtered to detect 500±25 nm, resulting in simultaneous and independent readings of all 384 wells. Images were collected at each temperature, and the sum of the pixel intensity in a given area of the assay plate was recorded versus temperature. Reference wells contained RORγt without compounds, and the assay conditions were as follows: 0.065 mg/mL RORγt, 60 μM 1,8-ANS, 100 mM Hepes, pH 7.0, 10 mM NaCl, 2.5 mM GSH, 0.002% Tween-20. Project compounds were arranged in a pre-dosed mother plate (Greiner Bio-one) wherein compounds are serially diluted in 100% DMSO by 1:2 from a high concentration of 10 mM over 12 columns within a series (column 12 is a reference well containing DMSO, no compound). The compounds were robotically dispensed directly into assay plates (1×=46 nL) using a Hummingbird capillary liquid handling instrument (Digilab). Following compound dispense, protein and dye in buffer was added to achieve the final assay volume of 3 μL, followed by 1 μL of silicone oil., Entry 2: ThermoFluor® Assay: Bar-coded assay plates are robotically loaded onto a thermostatically controlled PCR-type thermal block and then heated at a typical ramp-rate of 1 °C./min for all experiments. Fluorescence was measured by continuous illumination with UV light (Hamamatsu LC6) supplied via fiber optic and filtered through a band-pass filter (380-400 nm; >6 OD cutoff). Fluorescence emission of the entire 384-well plate was detected by measuring light intensity using a CCD camera (Sensys, Roper Scientific) filtered to detect 500±25 nm, resulting in simultaneous and independent readings of all 384 wells. Images were collected at each temperature, and the sum of the pixel intensity in a given area of the assay plate was recorded versus temperature. Reference wells contained RORγt without compounds, and the assay conditions were as follows: 0.065 mg/mL RORγt, 60 μM 1,8-ANS, 100 mM Hepes, pH 7.0, 10 mM NaCl, 2.5 mM GSH, 0.002% Tween-20. Project compounds were arranged in a pre-dosed mother plate (Greiner Bio-one) wherein compounds are serially diluted in 100% DMSO by 1:2 from a high concentration of 10 mM over 12 columns within a series (column 12 is a reference well containing DMSO, no compound). The compounds were robotically dispensed directly into assay plates (1×=46 nL) using a Hummingbird capillary liquid handling instrument (Digilab). Following compound dispense, protein and dye in buffer was added to achieve the final assay volume of 3 μL, followed by 1 μL of silicone oil., ","Entry 0: B, Entry 1: B, Entry 2: B, ",,"Entry 0: CHEMBL3888258, Entry 1: CHEMBL3888258, Entry 2: CHEMBL3888258, ",,,"Entry 0: CHEMBL3886629, Entry 1: CHEMBL3886629, Entry 2: CHEMBL3886629, ","Entry 0: Methylene linked quinolinyl modulators of RORγt, Entry 1: Methylene linked quinolinyl modulators of RORγt, Entry 2: Methylene linked quinolinyl modulators of RORγt, ","Entry 0: PATENT, Entry 1: PATENT, Entry 2: PATENT, ",,"Entry 0: US-9290476-B2, Entry 1: US-9290476-B2, Entry 2: US-9290476-B2, ",COc1nc2ccc(C(O)(c3cnnn3C)C3CN(C(C)=O)C3)cc2c(Cl)c1Cc1ccc(C(F)(F)F)cc1,C27H25ClF3N5O3,CHEMBL3912618,0.64,1.4,1.4,,,
2122790,nM,Kd,385320,BAO_0000034,Kd,1641535,"ThermoFluor® Assay: Bar-coded assay plates are robotically loaded onto a thermostatically controlled PCR-type thermal block and then heated at a typical ramp-rate of 1 °C./min for all experiments. Fluorescence was measured by continuous illumination with UV light (Hamamatsu LC6) supplied via fiber optic and filtered through a band-pass filter (380-400 nm; >6 OD cutoff). Fluorescence emission of the entire 384-well plate was detected by measuring light intensity using a CCD camera (Sensys, Roper Scientific) filtered to detect 500±25 nm, resulting in simultaneous and independent readings of all 384 wells. Images were collected at each temperature, and the sum of the pixel intensity in a given area of the assay plate was recorded versus temperature. Reference wells contained RORγt without compounds, and the assay conditions were as follows: 0.065 mg/mL RORγt, 60 μM 1,8-ANS, 100 mM Hepes, pH 7.0, 10 mM NaCl, 2.5 mM GSH, 0.002% Tween-20. Project compounds were arranged in a pre-dosed mother plate (Greiner Bio-one) wherein compounds are serially diluted in 100% DMSO by 1:2 from a high concentration of 10 mM over 12 columns within a series (column 12 is a reference well containing DMSO, no compound). The compounds were robotically dispensed directly into assay plates (1×=46 nL) using a Hummingbird capillary liquid handling instrument (Digilab). Following compound dispense, protein and dye in buffer was added to achieve the final assay volume of 3 μL, followed by 1 μL of silicone oil.",B,,CHEMBL3888258,,,CHEMBL3886629,Methylene linked quinolinyl modulators of RORγt,PATENT,,US-9290476-B2,OC(c1cccnc1)(c1cccc(Cl)c1)c1ccc2nc(Cl)c(Cc3ccc(F)cc3)c(Cl)c2c1,C28H18Cl3FN2O,CHEMBL3913419,32.0,,,,,
2123467,nM,Kd,385331,BAO_0000034,Kd,1641535,"ThermoFluor® Assay: Bar-coded assay plates are robotically loaded onto a thermostatically controlled PCR-type thermal block and then heated at a typical ramp-rate of 1 °C./min for all experiments. Fluorescence was measured by continuous illumination with UV light (Hamamatsu LC6) supplied via fiber optic and filtered through a band-pass filter (380-400 nm; >6 OD cutoff). Fluorescence emission of the entire 384-well plate was detected by measuring light intensity using a CCD camera (Sensys, Roper Scientific) filtered to detect 500±25 nm, resulting in simultaneous and independent readings of all 384 wells. Images were collected at each temperature, and the sum of the pixel intensity in a given area of the assay plate was recorded versus temperature. Reference wells contained RORγt without compounds, and the assay conditions were as follows: 0.065 mg/mL RORγt, 60 μM 1,8-ANS, 100 mM Hepes, pH 7.0, 10 mM NaCl, 2.5 mM GSH, 0.002% Tween-20. Project compounds were arranged in a pre-dosed mother plate (Greiner Bio-one) wherein compounds are serially diluted in 100% DMSO by 1:2 from a high concentration of 10 mM over 12 columns within a series (column 12 is a reference well containing DMSO, no compound). The compounds were robotically dispensed directly into assay plates (1×=46 nL) using a Hummingbird capillary liquid handling instrument (Digilab). Following compound dispense, protein and dye in buffer was added to achieve the final assay volume of 3 μL, followed by 1 μL of silicone oil.",B,,CHEMBL3888258,,,CHEMBL3886629,Methylene linked quinolinyl modulators of RORγt,PATENT,,US-9290476-B2,CCOc1nc2ccc(C(O)(c3ccc(Cl)cc3)c3cncn3C)cc2c(Cl)c1Cc1ccccc1,C29H25Cl2N3O2,CHEMBL3914096,91.0,,,,,
2126128,nM,Kd,385327,BAO_0000034,Kd,1641535,"ThermoFluor® Assay: Bar-coded assay plates are robotically loaded onto a thermostatically controlled PCR-type thermal block and then heated at a typical ramp-rate of 1 °C./min for all experiments. Fluorescence was measured by continuous illumination with UV light (Hamamatsu LC6) supplied via fiber optic and filtered through a band-pass filter (380-400 nm; >6 OD cutoff). Fluorescence emission of the entire 384-well plate was detected by measuring light intensity using a CCD camera (Sensys, Roper Scientific) filtered to detect 500±25 nm, resulting in simultaneous and independent readings of all 384 wells. Images were collected at each temperature, and the sum of the pixel intensity in a given area of the assay plate was recorded versus temperature. Reference wells contained RORγt without compounds, and the assay conditions were as follows: 0.065 mg/mL RORγt, 60 μM 1,8-ANS, 100 mM Hepes, pH 7.0, 10 mM NaCl, 2.5 mM GSH, 0.002% Tween-20. Project compounds were arranged in a pre-dosed mother plate (Greiner Bio-one) wherein compounds are serially diluted in 100% DMSO by 1:2 from a high concentration of 10 mM over 12 columns within a series (column 12 is a reference well containing DMSO, no compound). The compounds were robotically dispensed directly into assay plates (1×=46 nL) using a Hummingbird capillary liquid handling instrument (Digilab). Following compound dispense, protein and dye in buffer was added to achieve the final assay volume of 3 μL, followed by 1 μL of silicone oil.",B,,CHEMBL3888258,,,CHEMBL3886629,Methylene linked quinolinyl modulators of RORγt,PATENT,,US-9290476-B2,OC(c1cccnc1)(c1ccc2nc(Cl)c(Cc3cccc(Cl)c3)cc2c1)c1cncs1,C25H17Cl2N3OS,CHEMBL3916757,99.0,,,,,
2130534,nM,Kd,385343,BAO_0000034,Kd,1641535,"ThermoFluor® Assay: Bar-coded assay plates are robotically loaded onto a thermostatically controlled PCR-type thermal block and then heated at a typical ramp-rate of 1 °C./min for all experiments. Fluorescence was measured by continuous illumination with UV light (Hamamatsu LC6) supplied via fiber optic and filtered through a band-pass filter (380-400 nm; >6 OD cutoff). Fluorescence emission of the entire 384-well plate was detected by measuring light intensity using a CCD camera (Sensys, Roper Scientific) filtered to detect 500±25 nm, resulting in simultaneous and independent readings of all 384 wells. Images were collected at each temperature, and the sum of the pixel intensity in a given area of the assay plate was recorded versus temperature. Reference wells contained RORγt without compounds, and the assay conditions were as follows: 0.065 mg/mL RORγt, 60 μM 1,8-ANS, 100 mM Hepes, pH 7.0, 10 mM NaCl, 2.5 mM GSH, 0.002% Tween-20. Project compounds were arranged in a pre-dosed mother plate (Greiner Bio-one) wherein compounds are serially diluted in 100% DMSO by 1:2 from a high concentration of 10 mM over 12 columns within a series (column 12 is a reference well containing DMSO, no compound). The compounds were robotically dispensed directly into assay plates (1×=46 nL) using a Hummingbird capillary liquid handling instrument (Digilab). Following compound dispense, protein and dye in buffer was added to achieve the final assay volume of 3 μL, followed by 1 μL of silicone oil.",B,,CHEMBL3888258,,,CHEMBL3886629,Methylene linked quinolinyl modulators of RORγt,PATENT,,US-9290476-B2,CCOc1nc2ccc(C(O)(c3cncs3)c3cncn3C)cc2cc1Cc1ccc(OC)cc1,C27H26N4O3S,CHEMBL3921163,750.0,,,,,
2130765,nM,Kd,mix,"Entry 0: BAO_0000034, Entry 1: BAO_0000034, ",Kd,"Entry 0: 1641535, Entry 1: 1641535, ","Entry 0: ThermoFluor® Assay: Bar-coded assay plates are robotically loaded onto a thermostatically controlled PCR-type thermal block and then heated at a typical ramp-rate of 1 °C./min for all experiments. Fluorescence was measured by continuous illumination with UV light (Hamamatsu LC6) supplied via fiber optic and filtered through a band-pass filter (380-400 nm; >6 OD cutoff). Fluorescence emission of the entire 384-well plate was detected by measuring light intensity using a CCD camera (Sensys, Roper Scientific) filtered to detect 500±25 nm, resulting in simultaneous and independent readings of all 384 wells. Images were collected at each temperature, and the sum of the pixel intensity in a given area of the assay plate was recorded versus temperature. Reference wells contained RORγt without compounds, and the assay conditions were as follows: 0.065 mg/mL RORγt, 60 μM 1,8-ANS, 100 mM Hepes, pH 7.0, 10 mM NaCl, 2.5 mM GSH, 0.002% Tween-20. Project compounds were arranged in a pre-dosed mother plate (Greiner Bio-one) wherein compounds are serially diluted in 100% DMSO by 1:2 from a high concentration of 10 mM over 12 columns within a series (column 12 is a reference well containing DMSO, no compound). The compounds were robotically dispensed directly into assay plates (1×=46 nL) using a Hummingbird capillary liquid handling instrument (Digilab). Following compound dispense, protein and dye in buffer was added to achieve the final assay volume of 3 μL, followed by 1 μL of silicone oil., Entry 1: ThermoFluor® Assay: Bar-coded assay plates are robotically loaded onto a thermostatically controlled PCR-type thermal block and then heated at a typical ramp-rate of 1 °C./min for all experiments. Fluorescence was measured by continuous illumination with UV light (Hamamatsu LC6) supplied via fiber optic and filtered through a band-pass filter (380-400 nm; >6 OD cutoff). Fluorescence emission of the entire 384-well plate was detected by measuring light intensity using a CCD camera (Sensys, Roper Scientific) filtered to detect 500±25 nm, resulting in simultaneous and independent readings of all 384 wells. Images were collected at each temperature, and the sum of the pixel intensity in a given area of the assay plate was recorded versus temperature. Reference wells contained RORγt without compounds, and the assay conditions were as follows: 0.065 mg/mL RORγt, 60 μM 1,8-ANS, 100 mM Hepes, pH 7.0, 10 mM NaCl, 2.5 mM GSH, 0.002% Tween-20. Project compounds were arranged in a pre-dosed mother plate (Greiner Bio-one) wherein compounds are serially diluted in 100% DMSO by 1:2 from a high concentration of 10 mM over 12 columns within a series (column 12 is a reference well containing DMSO, no compound). The compounds were robotically dispensed directly into assay plates (1×=46 nL) using a Hummingbird capillary liquid handling instrument (Digilab). Following compound dispense, protein and dye in buffer was added to achieve the final assay volume of 3 μL, followed by 1 μL of silicone oil., ","Entry 0: B, Entry 1: B, ",,"Entry 0: CHEMBL3888258, Entry 1: CHEMBL3888258, ",,,"Entry 0: CHEMBL3886629, Entry 1: CHEMBL3886629, ","Entry 0: Methylene linked quinolinyl modulators of RORγt, Entry 1: Methylene linked quinolinyl modulators of RORγt, ","Entry 0: PATENT, Entry 1: PATENT, ",,"Entry 0: US-9290476-B2, Entry 1: US-9290476-B2, ",COc1ccc(C(O)(c2ccc3nc(OC)c(Cc4ccc(-n5cccn5)cc4)c(Cl)c3c2)c2cncs2)cn1,C30H24ClN5O3S,CHEMBL3921394,1.4,3.8,,,,
2130860,nM,Kd,385321,BAO_0000034,Kd,1641535,"ThermoFluor® Assay: Bar-coded assay plates are robotically loaded onto a thermostatically controlled PCR-type thermal block and then heated at a typical ramp-rate of 1 °C./min for all experiments. Fluorescence was measured by continuous illumination with UV light (Hamamatsu LC6) supplied via fiber optic and filtered through a band-pass filter (380-400 nm; >6 OD cutoff). Fluorescence emission of the entire 384-well plate was detected by measuring light intensity using a CCD camera (Sensys, Roper Scientific) filtered to detect 500±25 nm, resulting in simultaneous and independent readings of all 384 wells. Images were collected at each temperature, and the sum of the pixel intensity in a given area of the assay plate was recorded versus temperature. Reference wells contained RORγt without compounds, and the assay conditions were as follows: 0.065 mg/mL RORγt, 60 μM 1,8-ANS, 100 mM Hepes, pH 7.0, 10 mM NaCl, 2.5 mM GSH, 0.002% Tween-20. Project compounds were arranged in a pre-dosed mother plate (Greiner Bio-one) wherein compounds are serially diluted in 100% DMSO by 1:2 from a high concentration of 10 mM over 12 columns within a series (column 12 is a reference well containing DMSO, no compound). The compounds were robotically dispensed directly into assay plates (1×=46 nL) using a Hummingbird capillary liquid handling instrument (Digilab). Following compound dispense, protein and dye in buffer was added to achieve the final assay volume of 3 μL, followed by 1 μL of silicone oil.",B,,CHEMBL3888258,,,CHEMBL3886629,Methylene linked quinolinyl modulators of RORγt,PATENT,,US-9290476-B2,OC(c1cccnc1)(c1cccc(Cl)c1)c1ccc2nc(Cl)c(Cc3cccc(Cl)c3)c(Cl)c2c1,C28H18Cl4N2O,CHEMBL3921489,7.7,,,,,
2131458,nM,Kd,387209,BAO_0000034,Kd,1641557,"ThermoFluor® Assay: ThermoFluor® experiments were carried out using instruments owned by Janssen Research and Discovery, L.L.C. through its acquisition of 3-Dimensional Pharmaceuticals, Inc. 1,8-ANS (Invitrogen) was used as a fluorescent dye. Protein and compound solutions are dispensed into black 384-well polypropylene PCR microplates (Abgene) and overlayed with silicone oil (1 μL, Fluka, type DC 200) to prevent evaporation. Bar-coded assay plates are robotically loaded onto a thermostatically controlled PCR-type thermal block and then heated at a typical ramp-rate of 1 °C./min for all experiments. Fluorescence was measured by continuous illumination with UV light (Hamamatsu LC6) supplied via fiber optic and filtered through a band-pass filter (380-400 nm; >60D cutoff). Fluorescence emission of the entire 384-well plate was detected by measuring light intensity using a CCD camera (Sensys, Roper Scientific) filtered to detect 500±25 nm, resulting in simultaneous and independent readings of all 384 wells. Images were collected at each temperature, and the sum of the pixel intensity in a given area of the assay plate was recorded versus temperature. Reference wells contained RORγt without compounds, and the assay conditions were as follows: 0.065 mg/mL RORγt, 60 μM 1,8-ANS, 100 mM Hepes, pH 7.0, 10 mM NaCl, 2.5 mM GSH, 0.002% Tween-20. Project compounds were arranged in a pre-dosed mother plate (Greiner Bio-one) wherein compounds are serially diluted in 100% DMSO by 1:2 from a high concentration of 10 mM over 12 columns within a series (column 12 is a reference well containing DMSO, no compound). The compounds were robotically dispensed directly into assay plates (1x=46 mL) using a Hummingbird capillary liquid handling instrument (Digilab). Following compound dispense, protein and dye in buffer was added to achieve the final assay volume of 3 μL, followed by 1 μL of silicone oil.",B,,CHEMBL3888280,,,CHEMBL3886638,Heteroaryl linked quinolinyl modulators of RORγt,PATENT,,US-9303015-B2,COCCN(C)c1nc2ccc(C(O)(c3ccc(C(F)(F)F)nc3)c3cncn3C)cc2c(Cl)c1Oc1ccccc1,C30H27ClF3N5O3,CHEMBL3922087,18.0,,,,,
2132124,nM,Kd,385457,BAO_0000034,Kd,1641535,"ThermoFluor® Assay: Bar-coded assay plates are robotically loaded onto a thermostatically controlled PCR-type thermal block and then heated at a typical ramp-rate of 1 °C./min for all experiments. Fluorescence was measured by continuous illumination with UV light (Hamamatsu LC6) supplied via fiber optic and filtered through a band-pass filter (380-400 nm; >6 OD cutoff). Fluorescence emission of the entire 384-well plate was detected by measuring light intensity using a CCD camera (Sensys, Roper Scientific) filtered to detect 500±25 nm, resulting in simultaneous and independent readings of all 384 wells. Images were collected at each temperature, and the sum of the pixel intensity in a given area of the assay plate was recorded versus temperature. Reference wells contained RORγt without compounds, and the assay conditions were as follows: 0.065 mg/mL RORγt, 60 μM 1,8-ANS, 100 mM Hepes, pH 7.0, 10 mM NaCl, 2.5 mM GSH, 0.002% Tween-20. Project compounds were arranged in a pre-dosed mother plate (Greiner Bio-one) wherein compounds are serially diluted in 100% DMSO by 1:2 from a high concentration of 10 mM over 12 columns within a series (column 12 is a reference well containing DMSO, no compound). The compounds were robotically dispensed directly into assay plates (1×=46 nL) using a Hummingbird capillary liquid handling instrument (Digilab). Following compound dispense, protein and dye in buffer was added to achieve the final assay volume of 3 μL, followed by 1 μL of silicone oil.",B,,CHEMBL3888258,,,CHEMBL3886629,Methylene linked quinolinyl modulators of RORγt,PATENT,,US-9290476-B2,CCc1nc2ccc(C(O)(c3cnnn3C)C3CN(C(=O)OC(C)(C)C)C3)cc2c(Cl)c1Cc1ccc(C(F)(F)F)cc1,C31H33ClF3N5O3,CHEMBL3922753,0.77,,,,,
2132200,nM,Kd,385344,BAO_0000034,Kd,1641535,"ThermoFluor® Assay: Bar-coded assay plates are robotically loaded onto a thermostatically controlled PCR-type thermal block and then heated at a typical ramp-rate of 1 °C./min for all experiments. Fluorescence was measured by continuous illumination with UV light (Hamamatsu LC6) supplied via fiber optic and filtered through a band-pass filter (380-400 nm; >6 OD cutoff). Fluorescence emission of the entire 384-well plate was detected by measuring light intensity using a CCD camera (Sensys, Roper Scientific) filtered to detect 500±25 nm, resulting in simultaneous and independent readings of all 384 wells. Images were collected at each temperature, and the sum of the pixel intensity in a given area of the assay plate was recorded versus temperature. Reference wells contained RORγt without compounds, and the assay conditions were as follows: 0.065 mg/mL RORγt, 60 μM 1,8-ANS, 100 mM Hepes, pH 7.0, 10 mM NaCl, 2.5 mM GSH, 0.002% Tween-20. Project compounds were arranged in a pre-dosed mother plate (Greiner Bio-one) wherein compounds are serially diluted in 100% DMSO by 1:2 from a high concentration of 10 mM over 12 columns within a series (column 12 is a reference well containing DMSO, no compound). The compounds were robotically dispensed directly into assay plates (1×=46 nL) using a Hummingbird capillary liquid handling instrument (Digilab). Following compound dispense, protein and dye in buffer was added to achieve the final assay volume of 3 μL, followed by 1 μL of silicone oil.",B,,CHEMBL3888258,,,CHEMBL3886629,Methylene linked quinolinyl modulators of RORγt,PATENT,,US-9290476-B2,CN(C)c1ccc(C(O)(c2ccc3nc(Cl)c(Cc4ccc(-n5cccn5)cc4)c(Cl)c3c2)c2cncn2C)cc1,C32H28Cl2N6O,CHEMBL3922829,440.0,,,,,
2132798,nM,Kd,387167,BAO_0000034,Kd,1641557,"ThermoFluor® Assay: ThermoFluor® experiments were carried out using instruments owned by Janssen Research and Discovery, L.L.C. through its acquisition of 3-Dimensional Pharmaceuticals, Inc. 1,8-ANS (Invitrogen) was used as a fluorescent dye. Protein and compound solutions are dispensed into black 384-well polypropylene PCR microplates (Abgene) and overlayed with silicone oil (1 μL, Fluka, type DC 200) to prevent evaporation. Bar-coded assay plates are robotically loaded onto a thermostatically controlled PCR-type thermal block and then heated at a typical ramp-rate of 1 °C./min for all experiments. Fluorescence was measured by continuous illumination with UV light (Hamamatsu LC6) supplied via fiber optic and filtered through a band-pass filter (380-400 nm; >60D cutoff). Fluorescence emission of the entire 384-well plate was detected by measuring light intensity using a CCD camera (Sensys, Roper Scientific) filtered to detect 500±25 nm, resulting in simultaneous and independent readings of all 384 wells. Images were collected at each temperature, and the sum of the pixel intensity in a given area of the assay plate was recorded versus temperature. Reference wells contained RORγt without compounds, and the assay conditions were as follows: 0.065 mg/mL RORγt, 60 μM 1,8-ANS, 100 mM Hepes, pH 7.0, 10 mM NaCl, 2.5 mM GSH, 0.002% Tween-20. Project compounds were arranged in a pre-dosed mother plate (Greiner Bio-one) wherein compounds are serially diluted in 100% DMSO by 1:2 from a high concentration of 10 mM over 12 columns within a series (column 12 is a reference well containing DMSO, no compound). The compounds were robotically dispensed directly into assay plates (1x=46 mL) using a Hummingbird capillary liquid handling instrument (Digilab). Following compound dispense, protein and dye in buffer was added to achieve the final assay volume of 3 μL, followed by 1 μL of silicone oil.",B,,CHEMBL3888280,,,CHEMBL3886638,Heteroaryl linked quinolinyl modulators of RORγt,PATENT,,US-9303015-B2,CCN(CC)c1nc2ccc(C(O)(c3cccnc3)c3cccc(Cl)c3)cc2c(Cl)c1Oc1ccccc1,C31H27Cl2N3O2,CHEMBL3923427,34.0,,,,,
