comp_molregno,act_standard_units,act_standard_type,act_activity_comment,act_bao_endpoint,act_type,ass_assay_id,ass_description,ass_assay_type,ass_assay_category,ass_chembl_id,doc_doi,doc_pubmed_id,doc_chembl_id,doc_title,doc_doc_type,doc_abstract,doc_patent_id,coms_canonical_smiles,comp_full_molformula,mold_chembl_id,act_0,act_1,act_2,act_3
1608760,%,Efficacy,,BAO_0000656,Efficacy,1279575,Inverse agonist activity at N-terminal 6xHis-tagged human RORc ligand binding domain (241 to 486) expressed in bacterial expression system assessed as inhibition of SRC1 co-activator peptide recruitment after 3 hrs by TR-FRET analysis relative to apo-RORc ligand binding domain,B,,CHEMBL3097488,10.1016/j.bmcl.2013.10.054,24239186,CHEMBL3091433,Structure-based design of substituted hexafluoroisopropanol-arylsulfonamides as modulators of RORc.,PUBLICATION,"The structure-activity relationships of T0901317 analogs were explored as RORc inverse agonists using the principles of property- and structure-based drug design. An X-ray co-crystal structure of T0901317 and RORc was obtained and provided molecular insight into why T0901317 functioned as an inverse agonist of RORc; whereas, the same ligand functioned as an agonist of FXR, LXR, and PXR. The structural data was also used to design inhibitors with improved RORc biochemical and cellular activities. The improved inhibitors possessed enhanced selectivity profiles (rationalized using the X-ray crystallographic data) against other nuclear receptors.",,O=S(=O)(c1cccnc1)N(CC(F)(F)F)c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1,C16H11F9N2O3S,CHEMBL3094370,-88.0,,,
1608762,%,Efficacy,,BAO_0000656,Efficacy,1279575,Inverse agonist activity at N-terminal 6xHis-tagged human RORc ligand binding domain (241 to 486) expressed in bacterial expression system assessed as inhibition of SRC1 co-activator peptide recruitment after 3 hrs by TR-FRET analysis relative to apo-RORc ligand binding domain,B,,CHEMBL3097488,10.1016/j.bmcl.2013.10.054,24239186,CHEMBL3091433,Structure-based design of substituted hexafluoroisopropanol-arylsulfonamides as modulators of RORc.,PUBLICATION,"The structure-activity relationships of T0901317 analogs were explored as RORc inverse agonists using the principles of property- and structure-based drug design. An X-ray co-crystal structure of T0901317 and RORc was obtained and provided molecular insight into why T0901317 functioned as an inverse agonist of RORc; whereas, the same ligand functioned as an agonist of FXR, LXR, and PXR. The structural data was also used to design inhibitors with improved RORc biochemical and cellular activities. The improved inhibitors possessed enhanced selectivity profiles (rationalized using the X-ray crystallographic data) against other nuclear receptors.",,O=S(=O)(Cc1ccccc1)N(CC(F)(F)F)c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1,C18H14F9NO3S,CHEMBL3094372,-22.0,,,
1608763,%,Efficacy,,BAO_0000656,Efficacy,1279575,Inverse agonist activity at N-terminal 6xHis-tagged human RORc ligand binding domain (241 to 486) expressed in bacterial expression system assessed as inhibition of SRC1 co-activator peptide recruitment after 3 hrs by TR-FRET analysis relative to apo-RORc ligand binding domain,B,,CHEMBL3097488,10.1016/j.bmcl.2013.10.054,24239186,CHEMBL3091433,Structure-based design of substituted hexafluoroisopropanol-arylsulfonamides as modulators of RORc.,PUBLICATION,"The structure-activity relationships of T0901317 analogs were explored as RORc inverse agonists using the principles of property- and structure-based drug design. An X-ray co-crystal structure of T0901317 and RORc was obtained and provided molecular insight into why T0901317 functioned as an inverse agonist of RORc; whereas, the same ligand functioned as an agonist of FXR, LXR, and PXR. The structural data was also used to design inhibitors with improved RORc biochemical and cellular activities. The improved inhibitors possessed enhanced selectivity profiles (rationalized using the X-ray crystallographic data) against other nuclear receptors.",,O=S(=O)(c1ccccc1)N(CCO)c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1,C17H15F6NO4S,CHEMBL3094373,-80.0,,,
1608768,%,Efficacy,,BAO_0000656,Efficacy,1279575,Inverse agonist activity at N-terminal 6xHis-tagged human RORc ligand binding domain (241 to 486) expressed in bacterial expression system assessed as inhibition of SRC1 co-activator peptide recruitment after 3 hrs by TR-FRET analysis relative to apo-RORc ligand binding domain,B,,CHEMBL3097488,10.1016/j.bmcl.2013.10.054,24239186,CHEMBL3091433,Structure-based design of substituted hexafluoroisopropanol-arylsulfonamides as modulators of RORc.,PUBLICATION,"The structure-activity relationships of T0901317 analogs were explored as RORc inverse agonists using the principles of property- and structure-based drug design. An X-ray co-crystal structure of T0901317 and RORc was obtained and provided molecular insight into why T0901317 functioned as an inverse agonist of RORc; whereas, the same ligand functioned as an agonist of FXR, LXR, and PXR. The structural data was also used to design inhibitors with improved RORc biochemical and cellular activities. The improved inhibitors possessed enhanced selectivity profiles (rationalized using the X-ray crystallographic data) against other nuclear receptors.",,O=S(=O)(c1ccccc1)N(CCC(F)(F)F)c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1,C18H14F9NO3S,CHEMBL3094378,-70.0,,,
1608769,%,Efficacy,,BAO_0000656,Efficacy,1279575,Inverse agonist activity at N-terminal 6xHis-tagged human RORc ligand binding domain (241 to 486) expressed in bacterial expression system assessed as inhibition of SRC1 co-activator peptide recruitment after 3 hrs by TR-FRET analysis relative to apo-RORc ligand binding domain,B,,CHEMBL3097488,10.1016/j.bmcl.2013.10.054,24239186,CHEMBL3091433,Structure-based design of substituted hexafluoroisopropanol-arylsulfonamides as modulators of RORc.,PUBLICATION,"The structure-activity relationships of T0901317 analogs were explored as RORc inverse agonists using the principles of property- and structure-based drug design. An X-ray co-crystal structure of T0901317 and RORc was obtained and provided molecular insight into why T0901317 functioned as an inverse agonist of RORc; whereas, the same ligand functioned as an agonist of FXR, LXR, and PXR. The structural data was also used to design inhibitors with improved RORc biochemical and cellular activities. The improved inhibitors possessed enhanced selectivity profiles (rationalized using the X-ray crystallographic data) against other nuclear receptors.",,O=S(=O)(c1ccccc1)N(Cc1ccccc1)c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1,C22H17F6NO3S,CHEMBL3094379,-64.0,,,
1608770,%,Efficacy,,BAO_0000656,Efficacy,1279575,Inverse agonist activity at N-terminal 6xHis-tagged human RORc ligand binding domain (241 to 486) expressed in bacterial expression system assessed as inhibition of SRC1 co-activator peptide recruitment after 3 hrs by TR-FRET analysis relative to apo-RORc ligand binding domain,B,,CHEMBL3097488,10.1016/j.bmcl.2013.10.054,24239186,CHEMBL3091433,Structure-based design of substituted hexafluoroisopropanol-arylsulfonamides as modulators of RORc.,PUBLICATION,"The structure-activity relationships of T0901317 analogs were explored as RORc inverse agonists using the principles of property- and structure-based drug design. An X-ray co-crystal structure of T0901317 and RORc was obtained and provided molecular insight into why T0901317 functioned as an inverse agonist of RORc; whereas, the same ligand functioned as an agonist of FXR, LXR, and PXR. The structural data was also used to design inhibitors with improved RORc biochemical and cellular activities. The improved inhibitors possessed enhanced selectivity profiles (rationalized using the X-ray crystallographic data) against other nuclear receptors.",,COC(c1ccc(N(CC(F)(F)F)S(=O)(=O)c2ccccc2)cc1)(C(F)(F)F)C(F)(F)F,C18H14F9NO3S,CHEMBL3094380,-45.0,,,
1608774,%,Efficacy,,BAO_0000656,Efficacy,1279575,Inverse agonist activity at N-terminal 6xHis-tagged human RORc ligand binding domain (241 to 486) expressed in bacterial expression system assessed as inhibition of SRC1 co-activator peptide recruitment after 3 hrs by TR-FRET analysis relative to apo-RORc ligand binding domain,B,,CHEMBL3097488,10.1016/j.bmcl.2013.10.054,24239186,CHEMBL3091433,Structure-based design of substituted hexafluoroisopropanol-arylsulfonamides as modulators of RORc.,PUBLICATION,"The structure-activity relationships of T0901317 analogs were explored as RORc inverse agonists using the principles of property- and structure-based drug design. An X-ray co-crystal structure of T0901317 and RORc was obtained and provided molecular insight into why T0901317 functioned as an inverse agonist of RORc; whereas, the same ligand functioned as an agonist of FXR, LXR, and PXR. The structural data was also used to design inhibitors with improved RORc biochemical and cellular activities. The improved inhibitors possessed enhanced selectivity profiles (rationalized using the X-ray crystallographic data) against other nuclear receptors.",,CCN(c1cccc(C(O)(C(F)(F)F)C(F)(F)F)c1)S(=O)(=O)c1ccccc1,C17H15F6NO3S,CHEMBL3094384,-94.0,,,
1608775,%,Efficacy,,BAO_0000656,Efficacy,1279575,Inverse agonist activity at N-terminal 6xHis-tagged human RORc ligand binding domain (241 to 486) expressed in bacterial expression system assessed as inhibition of SRC1 co-activator peptide recruitment after 3 hrs by TR-FRET analysis relative to apo-RORc ligand binding domain,B,,CHEMBL3097488,10.1016/j.bmcl.2013.10.054,24239186,CHEMBL3091433,Structure-based design of substituted hexafluoroisopropanol-arylsulfonamides as modulators of RORc.,PUBLICATION,"The structure-activity relationships of T0901317 analogs were explored as RORc inverse agonists using the principles of property- and structure-based drug design. An X-ray co-crystal structure of T0901317 and RORc was obtained and provided molecular insight into why T0901317 functioned as an inverse agonist of RORc; whereas, the same ligand functioned as an agonist of FXR, LXR, and PXR. The structural data was also used to design inhibitors with improved RORc biochemical and cellular activities. The improved inhibitors possessed enhanced selectivity profiles (rationalized using the X-ray crystallographic data) against other nuclear receptors.",,O=C(c1ccccc1)N(CC(F)(F)F)c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1,C18H12F9NO2,CHEMBL3094385,-79.0,,,
1608778,%,Efficacy,,BAO_0000656,Efficacy,1279575,Inverse agonist activity at N-terminal 6xHis-tagged human RORc ligand binding domain (241 to 486) expressed in bacterial expression system assessed as inhibition of SRC1 co-activator peptide recruitment after 3 hrs by TR-FRET analysis relative to apo-RORc ligand binding domain,B,,CHEMBL3097488,10.1016/j.bmcl.2013.10.054,24239186,CHEMBL3091433,Structure-based design of substituted hexafluoroisopropanol-arylsulfonamides as modulators of RORc.,PUBLICATION,"The structure-activity relationships of T0901317 analogs were explored as RORc inverse agonists using the principles of property- and structure-based drug design. An X-ray co-crystal structure of T0901317 and RORc was obtained and provided molecular insight into why T0901317 functioned as an inverse agonist of RORc; whereas, the same ligand functioned as an agonist of FXR, LXR, and PXR. The structural data was also used to design inhibitors with improved RORc biochemical and cellular activities. The improved inhibitors possessed enhanced selectivity profiles (rationalized using the X-ray crystallographic data) against other nuclear receptors.",,CC(=O)Nc1nc(C)c(S(=O)(=O)Nc2ccc(C(O)(C(F)(F)F)C(F)(F)F)cc2)s1,C15H13F6N3O4S2,CHEMBL3094388,-88.0,,,
1613768,%,Efficacy,,"Entry 0: BAO_0000656, Entry 1: BAO_0000656, ",Efficacy,"Entry 0: 1434912, Entry 1: 1434916, ","Entry 0: Inverse agonist activity at recombinant N-terminally 6xHis-tagged RORgamma ligand binding domain (unknown origin) expressed in Escherichia coli incubated for 1 hr by FRET assay relative to control, Entry 1: Inverse agonist activity at RORgammaT (unknown origin) by M1H assay relative to control, ","Entry 0: B, Entry 1: B, ",,"Entry 0: CHEMBL3385306, Entry 1: CHEMBL3385310, ","Entry 0: 10.1016/j.bmcl.2014.09.053, Entry 1: 10.1016/j.bmcl.2014.09.053, ","Entry 0: 25305688, Entry 1: 25305688, ","Entry 0: CHEMBL3352412, Entry 1: CHEMBL3352412, ","Entry 0: Identification of the first inverse agonist of retinoid-related orphan receptor (ROR) with dual selectivity for RORβ and RORγt., Entry 1: Identification of the first inverse agonist of retinoid-related orphan receptor (ROR) with dual selectivity for RORβ and RORγt., ","Entry 0: PUBLICATION, Entry 1: PUBLICATION, ","Entry 0: Retinoic acid receptor-related orphan nuclear receptor gamma t (RORγt) is a key transcription factor for the development of Th17 cells. Inhibiting RORγt activity is thought to be beneficial in targeting a variety of inflammatory and autoimmune disorders. Recently N-(5-(arylcarbonyl)thiazol-2-yl)amides were described as RORγt antagonists with in vivo efficacy in experimental autoimmune encephalomyelitis (EAE) and collagen-induced arthritis (CIA) via oral administration. So far no selective small molecule ligands have been revealed for RORβ. We show, that one compound of this class, namely N-[5-(2-chloro-benzoyl)-4-(3-chlorophenyl)-thiazol-2-yl]-2-(4-ethanesulfonyl-phenyl)-acetamide (4) is a potent dual inverse agonist towards RORγt and RORβ devoid of activity to 18 other human nuclear receptors and thus can serve as chemical probe to deepen our understanding about RORβ and its biology., Entry 1: Retinoic acid receptor-related orphan nuclear receptor gamma t (RORγt) is a key transcription factor for the development of Th17 cells. Inhibiting RORγt activity is thought to be beneficial in targeting a variety of inflammatory and autoimmune disorders. Recently N-(5-(arylcarbonyl)thiazol-2-yl)amides were described as RORγt antagonists with in vivo efficacy in experimental autoimmune encephalomyelitis (EAE) and collagen-induced arthritis (CIA) via oral administration. So far no selective small molecule ligands have been revealed for RORβ. We show, that one compound of this class, namely N-[5-(2-chloro-benzoyl)-4-(3-chlorophenyl)-thiazol-2-yl]-2-(4-ethanesulfonyl-phenyl)-acetamide (4) is a potent dual inverse agonist towards RORγt and RORβ devoid of activity to 18 other human nuclear receptors and thus can serve as chemical probe to deepen our understanding about RORβ and its biology., ",,CCS(=O)(=O)c1ccc(CC(=O)Nc2nc(-c3ccccc3)c(C(=O)c3ccccc3)s2)cc1,C26H22N2O4S2,CHEMBL3105674,60.0,90.0,,
