,index,SMILES,target_0
17,17,CN1CCN(c2ccc3nc(-c4ccc(CN5CCC(c6nnc(-c7ccccn7)[nH]6)CC5)cc4)c(-c4ccccc4)nc3n2)CC1,1
18,18,Fc1ccc(Cn2c3ccccc3nc2N2CCC(n3cccn3)CC2)cc1,1
19,19,c1ccc(C(Cc2ccccc2OCC2CC2)N2CCNCC2)cc1,1
20,20,Cc1cc(-c2nc3cc4c(cc3o2)CCN(CCCSc2nnc(-c3ocnc3C)n2C)CC4)n(C)n1,1
21,21,CN1CC2CC1CN2c1ccc(-c2ccc3[nH]c(C(F)(F)F)cc3c2)nn1,1
22,22,CC(=O)Nc1cccc(Nc2ncnc(N3CCC(OCc4ccc(C(C)C)cc4)CC3)n2)c1C,1
23,23,COc1cccc2cc3n(c21)CCN(CCCCN1CCn2c(cc4ccccc42)C1=O)C3,1
24,24,CN(C(=O)Cc1ccc(S(C)(=O)=O)cc1)C1CCN(Cc2ccc(C(F)(F)F)cc2)CC1F,1
25,25,COc1cc(-n2ccnc(CCCc3ccccc3)c2=O)ccc1OCCN1CCCC1,1
26,26,CNCc1cc(N2CCCS2(=O)=O)ccc1Oc1ccc(Cl)cc1C,1
27,27,O=S(=O)(c1ccc(C=Cc2ccc(F)cc2O)nc1)c1ccccc1F,1
28,28,COC(=O)N1CCC(C2NC(c3nc(-c4ccccc4)c[nH]3)Cc3c4ccccc4[nH]c32)CC1,1
29,29,O=C(NC1CC1)c1ccc(OCC2CC2CC2CCN(c3ncc(Cl)cn3)CC2)cc1F,1
30,30,COc1cc(N2CCN(CCO)CC2)ccc1Nc1ncc(Cl)c(-c2cnc3ccccn32)n1,1
31,31,Cc1nc2ccccc2c(=O)n1-c1ccc(OC2CCCN(C3CCC3)CC2)cc1,1
32,32,Cc1nc2cccc(C(F)(F)F)c2c(=O)n1-c1ccc(OCCCN2CCCC2)cc1,1
33,33,CCc1nc2cc3c(c(C)c2o1)CCN(C(C)CCSc1nnc(-c2cccc4nc(C)ccc42)n1C)CC3,1
34,34,CN(C)C(=O)N1CC(c2cc(F)ccc2F)=CC1(CCCN)c1ccccc1,1
35,35,CN1CCN(c2ncc3cc(-c4ccccc4)c(-c4ccc(CN5CCC(c6nnc(-c7cc[n+]([O-])cc7)[nH]6)CC5)cc4)nc3n2)CC1,1
36,36,O=C(C1CCOC1)N1CC2C(CNc3nc(-c4ccccn4)cs3)C2C1,1
37,37,COCCCc1cccc2cccc(CN(C(=O)C3CNCCC34OCc3cc(F)c(F)cc34)C3CC3)c21,1
38,38,CN(C)C(=O)CN1CCCC(c2nc3ccccc3n2CCOc2ccccc2)C1,1
39,39,CNC(=O)c1c(NCC2CCC3(CCC3)CC2)nc(C#N)nc1OCC1CCN(C)CC1,1
40,40,O=c1cc(OCc2ccccc2)ccn1-c1ccc2c(cnn2CC2CCCN2)c1,1
41,41,O=C1N(CCN2Cc3ccccc3C2)CCN1Cc1ccccc1Cl,1
42,42,O=C1N(CCN2CCC(C(F)(F)F)CC2)CCN1c1cccc(I)c1,1
43,43,COCCCc1cc(CN(C(=O)C2CNCCC2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)cc(OCC(C)(C)O)c1,1
44,44,Fc1ccc(Cn2c3ccccc3nc2C2CNCCS2)cc1,1
45,45,CC(C)COc1ccc(S(C)(=O)=O)cc1C(=O)N1CCN(c2ccc(C#N)cc2F)CC1,1
46,46,OC1(c2ccc(F)c(F)c2)CCNCC1c1onc(-c2ccccc2Cl)c1Br,1
47,47,COc1cccc(F)c1CC(c1ccccc1)N1CCNCC1,1
48,48,O=C(NC1CC1)c1ccc(OCCC2CC2C2CCN(c3ncc(Cl)cn3)CC2)cc1F,1
49,49,Fc1cccc(CN(C2CCNC2)C2CCOCC2)c1C(F)(F)F,1
50,50,N#Cc1ccc(-c2cnc3nc(N4CCC(N5CCCCC5)CC4)sc3c2)cc1,1
51,51,CCN1CC2CC(N(Cc3cccc(OC(F)(F)F)c3)C(=O)c3cn(C)cn3)CC2C1,1
52,52,CNC(=O)c1c(NCCC2CCCC2)nc(C#N)nc1OCC1CCN(C)CC1,1
53,53,Cc1c2n(c3c1C(=O)CC(C)(C)C3)-c1ccc(C(N)=O)c(c1)NCC1CCCN1CCC2,1
54,54,O=C(O)C1CCC(NC(=O)C(C2CCCCC2)n2c3cc(F)c(F)cc3nc2-c2ccc(Cl)cc2)CC1,1
55,55,COc1cc(F)ccc1-c1cncc(NCc2ccccc2)c1,1
56,56,c1ccc(C(Cc2ccccc2OC2CC2)N2CCNCC2)cc1,1
57,57,COc1cc(C=Cc2nc3ccccc3[nH]2)ccc1-n1cnc(C)c1,1
58,58,COc1ccc(Cc2nccc3cc(OC)c(OC)cc32)cc1OC,1
59,59,CCc1nc2cc3c(cc2s1)CCN(CCCSc1nnc(-c2ocnc2C)n1C)CC3,1
60,60,CNC(=O)c1c(NCC2CCC3(CCC3)CC2)nc(C#N)nc1OCCC1CCN(C)CC1,1
61,61,CN(C)CCN1CCN(c2ncc3cc(-c4ccccc4)c(-c4ccc(CN5CCC(c6nnc(-c7ncccn7)[nH]6)CC5)cc4)nc3n2)CC1,1
62,62,CC1CC(N2CCN(C3CCc4ccc(OCc5noc(-c6ccc(Cl)cc6)n5)cc43)CC2)CC1C,1
63,63,CC(C)N(CCO)Cc1nc(-c2cn(CC3CCOCC3)c3c2cccc3Cl)sc1Cl,1
64,64,CC(C)(C)c1cc(C(=O)Nc2nc(CN)cs2)n(Cc2ccccc2)n1,1
65,65,Cc1cn2c(n1)COc1c(CCN3CCN(c4cccc5nc(C)ccc54)CC3)cccc1-2,1
66,66,Cc1c(C(=O)NCCCN2CCN(c3cccc(Cl)c3Cl)CC2)cc(-c2cccnc2)n1C,1
67,67,FC(F)(F)c1ccc(C2=CC3(CCNCC3)Oc3ccccc32)cc1,1
68,68,O=C1N(CCN2Cc3ccccc3C2)CCN1c1ccc2sccc2c1,1
69,69,CC(C)(N)C(=O)N1CCn2c(nc(-c3ccc(F)cc3)c2Nc2ccc(Cl)cc2)C1,1
70,70,CS(=O)(=O)c1ccc(-c2noc(C(CC3CC3)C(N)C(F)=C3CCCC3)n2)c(Cl)c1,1
71,71,CC#CCn1c2c(c(C#N)c1N1CCCC(N)C1)n(C)c(=O)n(CC(=O)c1cccc(OC)c1)c2=O,1
72,72,CS(=O)(=O)Nc1ccc(OCC(O)CN(CCc2ccc(Cl)c(Cl)c2)Cc2ccccc2F)cc1,1
73,73,CCOC(=O)NCCc1ccccc1-c1ccc(C2CNCCC2c2ccn(C)c(=O)c2)c(Cl)c1,1
74,74,CCN1CC(NS(=O)(=O)C(C)C)C(c2ccc(-c3cccc(NS(C)(=O)=O)c3)cc2)C1,1
75,75,CC1c2c([nH]c3ccc(C(F)(F)F)cc32)CC2CCN(CCCC3(C(=O)O)CCOCC3)CC12,1
76,76,COc1ccc2c(c1)nccc2-c1cnn(-c2ccccc2)c1,1
77,77,Oc1ccc(C2=CC3(CCNCC3)Oc3ccccc32)cc1,1
78,78,Cc1c(CNC(C)C)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1,1
79,79,CCN1CCN(c2cc3[nH]c(SC4(C)CCC(c5nc(C)no5)CC4)nc3cc2Cl)CC1,1
80,80,CC(C)(C)c1ccc(NC(=O)N2CCN(c3ncccc3Cl)CC2)cc1,1
81,81,CNCc1ccc(C(F)(F)F)cc1Oc1ccc(Cl)c(Cl)c1,1
82,82,Cc1ccc2c(cc(F)cc2N2CCN(CCc3cccc4c3OCC(=O)N4C)CC2)n1,1
83,83,CCN(CC)C(=O)c1ccc(C(c2cccc(F)c2)=C2CCNCC2)cc1,1
84,84,COc1ccc(C2CN(CCCN(C)S(C)(=O)=O)CC2CC(=O)Nc2cccc(Cl)c2)cc1,1
85,85,CCC(CC(=O)NCC1CCCCC1)n1c(N)nc2cc(Cl)ccc21,1
86,86,COCCCc1cc(CN(C(=O)C2CN(C(=O)OCc3oc(=O)oc3C)CCC2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)cc(OCC2CC2C(=O)O)c1,1
87,87,NC(=O)c1cccc(SC2CC3CCC(C2)N3Cc2ccccc2)c1,1
88,88,O=C(c1cccc(Cl)c1Cl)N(CCC1CC1)C1CCNC1,1
89,89,CNCc1ccc(Cl)cc1Oc1ccc(C)c(C)c1,1
90,90,CC(C)(C)CCN1CCC(CNC(=O)Cc2ccc(C(C)(C)C)cc2)CC1,1
91,91,Cn1c(=O)nc(NC2CCN(Cc3ccc4ccccc4c3)CC2)c2cc(Cl)ccc21,1
92,92,CCNC(=O)c1ccc(-c2ccc3c(c2)CCN(CCN2CCCC2C)C3=O)cc1,1
93,93,Cc1nc2c(F)cccc2c(=O)n1-c1ccc(OCCCN2CCCC2)cc1,1
94,94,CC(NC(=O)c1ccc(-c2ccc(Cl)cc2)o1)C(=O)N1CCN(CCCOc2ccc(C(=O)C3CC3)cc2)CC1,1
95,95,N#Cc1ccc(S(=O)(=O)C2(F)CCN(CCc3ccc(F)cc3F)CC2)cc1,1
96,96,COc1ccc(CNC2CCC(C(=O)N3CCC(C(=O)N4CCCC4)(c4ccccc4)CC3)C(C)(C)C2)cc1,1
97,97,Nc1cncc(Nc2ccc(Oc3ccc(F)cc3)cc2)n1,1
98,98,O=C(NC1CCN(Cc2ccc3c(c2)OCO3)CC1)c1cc(=O)c2ccc(Cl)cc2o1,1
99,99,NC(=O)c1cncc(OC2CC3CCC(C2)N3Cc2ccccc2)c1,1
100,100,O=C(C1CC1c1ccc(C(F)(F)F)cc1)N1CCN(S(=O)(=O)c2cc(C3=NC(=O)CS3)cc(C(F)(F)F)c2)CC1,1
101,101,Cc1cc(C)n(CC(NC(=O)NC2CCN(Cc3ccn(-c4ccc(C(F)(F)F)cc4)c3)CC2)c2ccccc2)n1,1
102,102,Cc1cccc(C)c1C(=O)N1CCC(N2CCC(N(Cc3ccccc3)C(=O)C3CCC3)CC2)CC1,1
103,103,Cc1oc(-c2cccc(Cl)c2)nc1COc1cccc(CN(CC(=O)O)C(=O)Oc2ccc(C)cc2)c1,1
104,104,Cc1cc(NC(CCCCNCc2ccc(F)cc2)C(=O)NO)cc(C)c1F,1
105,105,Cc1ccc(N2CCN(CC(O)COc3ccccc3C(=O)CCc3ccccc3)CC2)cc1,1
106,106,CNCc1ccc(Cl)cc1Oc1ccc(F)c(C(F)(F)F)c1,1
107,107,NC(=O)c1cccc(OC2CC3CCC(C2)N3CCc2ccccc2)c1,1
108,108,COc1cc(N2C(=O)N(c3ccc(-c4ccc(C(N)=O)cc4)cc3)C(=O)C23CCN(Cc2ncccc2C)CC3)ncn1,1
109,109,Nc1ccnc(N2CCC(C(=O)N3CCc4ccccc4C3)(c3ccccc3)CC2)c1,1
110,110,COc1ccc(CCN2C(=O)N(NS(C)(=O)=O)CC2c2ccc(C3CC3)cc2)cc1,1
111,111,Fc1ccc2cccc(N3CCN(CCCCOc4ccc5c(c4)CNC5)CC3)c2c1,1
112,112,N#Cc1ccc2ccc(OCC3CCNCC3)cc2c1,1
113,113,Cc1cc(C)n(-c2cc(NC(=O)CCN(C)C)nc(-c3ccc(C)o3)n2)n1,1
114,114,Fc1ccc(CN2CCC(Oc3ncnc4c3ccn4Cc3ccccc3)CC2)nc1,1
115,115,CC(C)C(=O)NC1CCc2cc(CCN3CCN(c4nsc5ccccc54)CC3)ccc21,1
116,116,Nc1ccc(-c2cccs2)cc1NC(=O)c1ccc(N2CCC3(CCN(CCO)C3)CC2)nc1,1
117,117,N#Cc1ccc(C(=O)N2CCC3(CC2)N=C(N)c2c(F)ccc(F)c2N3)cn1,1
118,118,CCON=C(c1ccc(F)c(F)c1)c1ccc(CN2CCC3(CC2)OCc2cc(F)ncc23)cn1,1
119,119,CNC(=O)N1CCC(C2NC(c3nc(-c4ccccc4)c[nH]3)Cc3c4ccccc4[nH]c32)CC1,1
120,120,COc1ccc(OC(F)(F)F)cc1CNC1CCC2CCC1(c1ccccc1)N2,1
121,121,NC1(c2ccccc2)CCC(N2CC(NC(=O)CNC(=O)c3cccc(C(F)(F)F)c3)C2)CC1,1
122,122,CCN(C(=O)Cc1ccc(S(C)(=O)=O)cc1)C1CCN(CCC(c2ccccc2)N2CCN(S(=O)(=O)CC(F)(F)F)CC2)CC1,1
123,123,CC(=O)C1=NN2c3cc(F)ccc3OCC2C1(CCCN(C)C)c1ccccc1,1
124,124,CC(C)(N)C(=O)N1CCn2c(nc(-c3ccc(F)cc3)c2Nc2ccc(F)c(F)c2)C1,1
125,125,Clc1ccc(C23CC2CNC3)cc1Cl,1
126,126,CCN(CC)C(=O)c1ccc(C(c2ccccn2)=C2CCN(Cc3ccc(F)cc3)CC2)cc1,1
127,127,COc1cc(C=Cc2nc3cc(C(F)(F)F)ccc3c(=O)[nH]2)ccc1-n1cnc(C)c1,1
128,128,CCCCOc1ccc(C(=O)NC2COc3cccc(N4CCN(C)CC4)c3C2)cc1,1
129,129,Nc1cncc(Nc2ccc(Oc3ccc(Cl)cc3)cc2)c1,1
130,130,COCC#Cc1cc(-c2n[nH]c3c2Cc2cc(CN4CCN(C)CC4)ccc2-3)cs1,1
131,131,CC(C)N1CCN(CCN2CCN(c3cccc(Cl)c3)C2=O)CC1,1
132,132,O=C(c1ccncc1)N1CCC2(CCN(Cc3cccc4c3OCC4)CC2)CC1,1
133,133,O=C1NCc2ccc(OCCCN3CCN(c4cccc5cc(F)c(F)cc54)CC3)cc21,1
134,134,O=C(NCCCCN1CCCCC1)Nc1ccc(-c2ccc(F)cc2)nc1,1
135,135,CC(c1c2ccccc2oc1CCN(C)C)c1ccccn1,1
136,136,CCc1nc2cc3c(cc2o1)CCN(CCCSc1nnc(-c2cccc4nc(C)ccc42)n1C)CC3,1
137,137,CN(C(=O)Cc1ccc(S(C)(=O)=O)cc1)C1CCN(Cc2nc3cc(F)ccc3s2)CC1F,1
138,138,CCn1nc(Cc2ccc(OC(F)(F)F)cc2)cc1C1CCN(CC2CN(C(C(=O)O)C(C)(C)C)CC2c2cccc(F)c2)CC1,1
139,139,Cc1cccnc1CN1CCC2(CC1)C(=O)N(c1ccc(-c3ccc(-c4ccn[nH]4)cc3)cc1)C(=O)N2c1cc(O)ncn1,1
140,140,CSc1nn2c(nc(C)c3c2CCCC3)c1S(=O)(=O)c1ccccc1,1
141,141,O=c1cc(OCc2ccccc2)ccn1-c1ccc(OCCN2CCCC2)cc1,1
142,142,COC(=O)N(NC(=O)c1c2ccccc2nc(-c2ccccc2)c1CN1CCN(C2CCOCC2)CC1)c1ccccc1,1
143,143,CN(C)CCN1CCN(c2ncc3cc(-c4ccccc4)c(-c4ccc(CN5CCC(c6nnc(-c7ccc(N)nc7)[nH]6)CC5)cc4)nc3n2)CC1,1
144,144,CN1CC2CC1CN2c1ccc(-c2ccc3[nH]c(C(F)(F)F)cc3c2)cn1,1
145,145,Fc1ccc(CC2(c3ccc4[nH]ccc4c3)CCNC2)cc1,1
146,146,O=C(NC1CCN(Cc2cc3c(cc2Cl)OCO3)CC1)c1cc(=O)c2ccc(F)cc2o1,1
147,147,CNC(C)c1ccc(OC)cc1Oc1ccc(Cl)c(Cl)c1,1
148,148,Cc1cccc(N2CCN(CCCCCCN3CCN(c4ccnc5ccccc54)CC3)CC2)c1,1
149,149,CC1CCCN1CCc1ccc(-c2ccc(S(=O)(=O)N3CCS(=O)(=O)CC3)cc2)cc1,1
150,150,CCOc1cc(CN2CCC(NC(=O)c3cccc(S(C)(=O)=O)c3)CC2)ccc1Cl,1
151,151,CC(CC(NC(=O)C1CCC1)c1ccccc1)N1CCC(c2nnc(CN(C)C)o2)CC1,1
152,152,O=C(CNC(=O)c1ccccc1)NC1CN(C2CCC(c3ccc4c(c3)OCO4)CC2)C1,1
153,153,O=C(C1CNCCC1(O)c1ccc(F)c(F)c1)N(Cc1cn(Cc2ccccc2OC(F)F)c2cccc(F)c12)C1CC1,1
154,154,CC(CC(CS(=O)(=O)N1CCC(OCc2ccc(Cl)cc2Cl)CC1)N(O)C=O)c1ncc(F)cn1,1
155,155,Clc1cccc2c(-c3nc(CN4CCOCC4)cs3)cn(CC3CCOCC3)c21,1
156,156,O=C(NC1CCc2ccc(CCN3CCN(c4nsc5ccccc54)CC3)cc21)c1ccno1,1
157,157,CN1CCN(Cc2ccc3c(c2)Cc2c(-c4csc(C#CCNc5ccccc5)c4)n[nH]c2-3)CC1,1
158,158,CC(C)(C)C(O)C(=O)N1CC(c2cc(F)ccc2F)=CC1c1cccc(O)c1,1
159,159,CCn1nc(Cc2ccc(C#N)cc2)cc1C1CCN(CC2CN(C(C(=O)O)C(C)(C)C)CC2c2cccc(F)c2)CC1,1
160,160,COc1cccc(C(=O)N2CCCC2)c1OCc1csc(-c2ccc(Cl)cc2)n1,1
161,161,CNC(=O)c1ccc(-c2ccc(N3C(=O)N(c4cc(OC)ncn4)C4(CCN(Cc5ncccc5C)CC4)C3=O)cc2)cc1,1
162,162,COCCCc1cc(CN(C(=O)C2CNCCC2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)cc(OCC2CC2C(=O)OCC(=O)N(C)C)c1,1
163,163,CN1CCN(c2cccc3c2CC(NC(=O)c2ccc(OCC(F)(F)F)nc2)CO3)CC1,1
164,164,CNCc1cc(C(N)=O)ccc1Oc1ccc(Cl)cc1C,1
165,165,c1ccc(C2=CC3(CCNCC3)Oc3ccccc32)cc1,1
166,166,COc1ccccc1Oc1cccc(CN2CCC(NC(=O)C3(c4ccccc4)CCNCC3)CC2)c1,1
167,167,CCc1ccc2c(=O)cc(C(=O)NC3CCN(Cc4ccc5c(c4)OCO5)CC3)oc2c1,1
168,168,CC(=O)N1CCC2(C1)CCN(c1ccc(C(=O)Nc3cc(-c4cccs4)ccc3N)cn1)CC2,1
169,169,CCN(CC)C(=O)c1ccccc1C1=CC2(CCNCC2)Oc2ccccc21,1
170,170,O=C(Cc1ccc(Cl)cc1)NC(Cc1ccc(Cl)cc1)C(=O)NC1CC2CCC(C1)N2,1
171,171,NC(=O)c1cccc(OC2CC3CCC(C2)N3Cc2ccc3c(c2)OCO3)c1,1
172,172,Cc1ncoc1-c1nnc(SCCCN2CCC3(c4ccccc4)CC3C2)n1C,1
173,173,OCC1CC2(c3ccccc3)NC1CCC2NCc1cc(OC(F)(F)F)ccc1OC1CC1,1
174,174,O=C(c1ccccc1-c1ccc(OCCCN2CCCCC2)cc1)N1CCCCC1,1
175,175,CNC(=O)c1ncn2c1COc1c(CCN3CCN(c4cccc5nc(C)ccc54)CC3)cccc1-2,1
176,176,CN1CCN(Cc2ccc3c(c2)Cc2c(-c4csc(C#CCNS(=O)(=O)c5ccccc5)c4)n[nH]c2-3)CC1,1
177,177,CN1CCCC(CN2CCN(C(=O)Nc3ccc(Cl)c(Cl)c3)CC2)C1,1
178,178,Cc1ccc(CN2C3CCC2CC(Oc2cccc(C(N)=O)c2)C3)cc1,1
179,179,CNCCC(c1c[nH]c2ccccc21)c1ccccc1,1
180,180,Clc1cccc(OC(c2ccccn2)C2CCNC2)c1Cl,1
181,181,O=c1[nH]c2ccccc2n1C1CCN(CCCN2C(=O)CCc3cc(F)ccc32)CC1,1
182,182,CN(C)C1CCC(c2ccc(OCCCN3CCCCC3)cc2)CC1,1
183,183,O=C1N(CCN2Cc3ccccc3C2)CCN1c1cc(F)cc(Cl)c1,1
184,184,CC(O)(C(=O)NC1CC(C)(C)Oc2nc(-c3ccc(Cl)cc3Cl)c(-c3ccc(Cl)cc3)cc21)C(F)(F)F,1
185,185,CCCCC1(c2ccc3[nH]ccc3c2)CCNC1,1
186,186,COc1cc(-n2ccnc(NCCc3ccccc3)c2=O)ccc1OCCN1CCCC1,1
187,187,N#Cc1cc(N2CCN(CCN3CCC(C(F)(F)F)CC3)C2=O)ccc1F,1
188,188,COCC(C)COCc1ccc(C2(O)CCNCC2c2ccc(-c3ccccc3CCNC(C)=O)cc2C)cc1,1
189,189,Cc1cccnc1C(C)c1c2ccccc2sc1CCN(C)C,1
190,190,CCOC(=O)N1CCC(C)(Sc2nc3cc(Cl)c(N4CCN(CC)CC4)cc3[nH]2)CC1,1
191,191,CCN1CC2CC2(c2ccc(NS(=O)(=O)c3ccc(C(C)C)cc3)cc2)C1,1
192,192,CCOC(=O)CCc1ccc(OCC(O)CNC(C)(C)Cc2ccc3ccccc3c2)c(C#N)c1,1
193,193,CCCC#Cc1cc(-c2n[nH]c3c2Cc2cc(CN4CCN(C)CC4)ccc2-3)cs1,1
194,194,O=S1(=O)c2ccccc2-c2ccc(N3CCN4CCC3CC4)cc21,1
195,195,Cc1nc2ccc(Oc3ccc(F)c4cccnc34)nc2c(=O)n1CC1CCCN(C(C)C)C1,1
196,196,Clc1cccc(N2CCN(CCCCOc3cc4ccccc4cn3)CC2)c1Cl,1
197,197,Cc1cccc(N2CCN(CCCCCCN3CCN(c4ccccc4)CC3)CC2)c1,1
198,198,NC1CN(c2cnc3nccnc3n2)CCC1c1cc(F)c(F)cc1F,1
199,199,CCOC(=O)C1CN(S(=O)(=O)c2cc3cc(Cl)ccc3[nH]2)CC(=O)N1Cc1ccc(C(=N)N(C)C)cc1,1
200,200,O=C(NC1CC1c1ccccc1)N1CCC(c2nc(-c3ccccc3C(F)(F)F)no2)CC1,1
201,201,O=C(c1ccc(C2=CC3(CCNCC3)Oc3ccccc32)cc1)N1CCCCC1,1
202,202,CN1CCN(c2cccc3c2CC(NC(=O)c2ccc(OC(F)(F)F)cc2)CO3)CC1,1
203,203,CN(C)CCN(C)C(=O)c1ccc(C2=NN(c3ccc(C#N)cc3)C(c3ccc(F)cc3)C2)cc1,1
204,204,Cc1sc(-c2ccc(Cl)cc2)nc1COc1cccc(CN(CC(=O)O)C(=O)Oc2ccc(C)cc2)c1,1
205,205,CC1(C)c2cc(CC(=O)NCCCCCN(CCOc3ccc(NS(C)(=O)=O)cc3)CCc3ccc(NS(C)(=O)=O)cc3)ccc2N2CCC3OC4CC[N+]5=C(C4=CC3=C21)C(C)(C)c1cc(S(=O)(=O)[O-])ccc15,1
206,206,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,1
207,207,O=C(NC1CCN(Cc2ccn(-c3ccc(C(F)(F)F)cc3)c2)CC1)N1CC(N2CCCOCC2)C1,1
208,208,Cc1cnc(N2CCC(C3CC3CCOc3nc(C)cc(C#N)n3)CC2)nc1,1
209,209,Cc1ccc(CN2CCC(Oc3ncnc4c3ccn4Cc3ccccc3)CC2)nc1,1
210,210,COc1ccc(-n2c3cccnc3n(C3CCN(c4cc(N)ccn4)CC3)c2=O)cc1,1
211,211,COc1cc(C=Cc2nc(N)nc(Nc3ccccc3)n2)ccc1-n1cnc(C)c1,1
212,212,COc1nccnc1C(C)C1=C(CCN(C)C)Cc2ccccc21,1
213,213,Cc1ccc(NC(=O)N2CCN(CC3CCCN(C4CC4)C3)CC2)cc1Cl,1
214,214,Cc1nc2ccccc2n1C1CC2CCC(C1)N2CCC1(c2ccccc2)CCN(C(=O)c2cccc(S(=O)(=O)N(C)C)c2)CC1,1
215,215,CCc1nc2cc3c(cc2s1)CCN(CCCSc1nnc(-c2cccc4nc(C)ccc42)n1C)CC3,1
216,216,C=CCOCC1CCC(N2CC(NC(=O)CNc3nn(C)c4ccc(C(F)(F)F)cc43)C2)CC1,1
217,217,Cc1nc2ccccc2n1-c1ccc(C(=O)N(C)C2CCN(C3CCCC3)C2)cc1,1
218,218,CNCc1ccccc1Oc1ccc(Cl)cc1F,1
219,219,COc1cc(C=C2CCCN3C2=NOCC3c2cc(F)c(F)c(F)c2)ccc1-n1cnc(C)c1,1
220,220,O=C(NCc1cccc(F)c1)NC1CCN(Cc2ccn(-c3ccc(C(F)(F)F)cc3)c2)CC1,1
221,221,CNCc1cc(F)ccc1Oc1ccc(F)c(Cl)c1,1
222,222,Cc1[nH]c2ccccc2c1CCN(CCF)Cc1ccc(C=CC(=O)NO)cc1,1
223,223,O=C1NCc2c(-c3ccc(F)cc3F)cc(N3CCNCC3)cc2N1c1c(Cl)cccc1Cl,1
224,224,CC(C)Oc1ccc(-c2nc(-c3cccc4c3OCCN(C(CO)CO)C4)no2)cc1C#N,1
225,225,CC(C(O)c1ccc2c(c1)CNC(=O)N2)N1CCC(O)(c2ccc(F)cc2)CC1,1
226,226,c1ccc(N2CCN(CCCCCCN3CCN(c4ccnc5ccccc54)CC3)CC2)cc1,1
227,227,O=S(=O)(c1ccc(F)cc1)c1ccc(CCc2ccc(F)cc2)nc1,1
228,228,Clc1cccc(N2CCN(CCCCCOc3cc4ccccc4cn3)CC2)c1Cl,1
229,229,Oc1nnc2c3cc(-c4ccccc4)c(-c4ccc(CN5CCC(c6n[nH]c(-c7ccccn7)n6)CC5)cc4)nc3ccn12,1
230,230,Cc1nc2cc3c(cc2o1)CCN(CCCSc1nnc(-c2ccc(C(F)(F)F)cc2)n1C)CC3,1
231,231,O=C(Nc1ccc(C(F)(F)F)c(Cl)c1)N1CCN(CC2CCCN(C3CC3)C2)CC1,1
232,232,COC(=O)C1(CNC(=O)c2cc(OC)cc(OC)c2)CCN(Cc2ccccc2C(F)(F)F)CC1,1
233,233,Cc1ccc2c(cccc2-c2nnc(SCCCN3CCc4cc5nc(C(C)(F)F)oc5cc4CC3)n2C)n1,1
234,234,Cc1ncoc1-c1nnc(SCCCN2CCC3(CCc4ccc(Br)cc43)C2)n1C,1
235,235,CN(C)C(=N)c1ccc(C(=O)Nc2ccc(Sc3ccc(C(=O)N(C)C)cc3)cc2C(=O)Nc2ccc(Cl)cn2)cc1,1
