./download/l858r.txtEGFRINdb ID	IC50 (l858r)	PMID	Journal	Vol & Page	Smiles
EGIN0002461	53.7 nM	20817523	Bioorganic & Medicinal Chemistry Letters	20 (2010) 6067–6071	c1(ncnc2c1c(nn2[C@@H]1CC[C@H](CC1)N1CCN(CC1)C(C)C)c1ccc(cc1)Nc1oc2c(n1)cccc2Cl)N
EGIN0002473	530 nM	20817523	Bioorganic & Medicinal Chemistry Letters	20 (2010) 6067–6071	c1(ncnc2c1c(nn2[C@@H]1CC[C@H](CC1)N1CCN(CC1)C)c1c(cc(cc1)Nc1oc2c(n1)cccc2Cl)C)N
EGIN0002384	55 nM	20346655	Bioorganic & Medicinal Chemistry Letters	20 (2010) 2452–2455	n1c(c(n2c1scc2)c1ccnc(n1)Nc1ccccc1)c1cc(ccc1)NC(=O)c1ccccc1
EGIN0002397	56 nM	20346655	Bioorganic & Medicinal Chemistry Letters	20 (2010) 2452–2455	c1ccc(cc1NC(=O)Cc1ccccc1)c1c(n2c(n1)scc2)c1ccnc(n1)Nc1cccc(c1)N1CCOCC1
EGIN0002398	57 nM	20346655	Bioorganic & Medicinal Chemistry Letters	20 (2010) 2452–2455	c12nc(c(n1ccs2)c1ccnc(n1)Nc1ccc2c(c1)CN(CC2)C)c1cc(ccc1)NC(=O)Cc1ccccc1
EGIN0004767	58 nM	19217287	Bioorganic & Medicinal Chemistry Letters	19 (2009) 1718–1721	c1(ncnc2c1c(nn2[C@H]1CC[C@@H](CC1)N1CCN(CC1)CCCOC)c1cc2c(cc1)nc([nH]2)Cc1ccccc1OC)N
EGIN0004813	58 nM	19217287	Bioorganic & Medicinal Chemistry Letters	19 (2009) 1718–1721	c1(ncnc2c1c(nn2[C@H]1CC[C@@H](CC1)N1CCOCC1)c1cc2c(cc1)nc([nH]2)Cc1ccccc1OC)N
EGIN0002393	6.2 nM	20346655	Bioorganic & Medicinal Chemistry Letters	20 (2010) 2452–2455	c12nc(c(n1ccs2)c1ccnc(n1)Nc1cccc(c1)N1CCOCC1)c1cc(ccc1)NC(=O)c1c(cccc1F)F
EGIN0002401	6.4 nM	20346655	Bioorganic & Medicinal Chemistry Letters	20 (2010) 2452–2455	N(C(=O)Cc1ccccc1)c1cccc(c1)c1c(n2c(n1)scc2)c1ccnc(n1)Nc1ccc2c(c1)CCNC2
EGIN0002392	63 nM	20346655	Bioorganic & Medicinal Chemistry Letters	20 (2010) 2452–2455	c12nc(c(n1ccs2)c1ccnc(n1)Nc1ccc(cc1)N1CCOCC1)c1cc(ccc1)NC(=O)Cc1ccccc1
EGIN0002470	63 nM	20817523	Bioorganic & Medicinal Chemistry Letters	20 (2010) 6067–6071	c1(ncnc2c1c(nn2[C@@H]1CC[C@H](CC1)N1CCN(CC1)C)c1ccc(c(c1)Cl)Nc1oc2c(n1)cccc2Cl)N
EGIN0002458	639 nM	20817523	Bioorganic & Medicinal Chemistry Letters	20 (2010) 6067–6071	c1(ncnc2c1c(nn2[C@@H]1CC[C@@H](CC1)N1CCN(CC1)C)c1ccc(cc1)Nc1oc2c(n1)cc(cc2Cl)Cl)N
EGIN0004821	65 nM	19217287	Bioorganic & Medicinal Chemistry Letters	19 (2009) 1718–1721	c1(ncnc2c1c(nn2[C@H]1CC[C@@H](CC1)N1CCOCC1)c1cc2c(cc1)nc([nH]2)Cc1ccccc1Cl)N
EGIN0002389	660 nM	20346655	Bioorganic & Medicinal Chemistry Letters	20 (2010) 2452–2455	c12nc(c(n1ccs2)c1ccnc(n1)Nc1ccc(cc1)N1CCOCC1)c1cc(ccc1)NC(=O)CC1CCCC1
EGIN0002386	7.9 nM	20346655	Bioorganic & Medicinal Chemistry Letters	20 (2010) 2452–2455	n1c(c(n2c1scc2)NC(=O)c1ccccc1)c1cc(ccc1)c1nc(ncc1)Nc1ccc(cc1)N1CCOCC1
EGIN0002383	83 nM	20346655	Bioorganic & Medicinal Chemistry Letters	20 (2010) 2452–2455	n1c(c(n2c1scc2)c1ccnc(n1)Nc1ccccc1)c1cc(ccc1)NC(=O)c1ccccc1Cl
EGIN0002455	852 nM	20817523	Bioorganic & Medicinal Chemistry Letters	20 (2010) 6067–6071	c1(ncnc2c1c(nn2[C@@H]1CC[C@@H](CC1)N1CCN(CC1)C)c1ccc(c(c1)F)Nc1oc2c(n1)cccc2Cl)N
EGIN0002472	86 nM	20817523	Bioorganic & Medicinal Chemistry Letters	20 (2010) 6067–6071	c1(ncnc2c1c(nn2[C@@H]1CC[C@H](CC1)N1CCN(CC1)C)c1c(cc(cc1)Nc1oc2c(n1)cccc2Cl)Cl)N
EGIN0002388	870 nM	20346655	Bioorganic & Medicinal Chemistry Letters	20 (2010) 2452–2455	c12nc(c(n1ccs2)c1ccnc(n1)Nc1ccc(cc1)N1CCOCC1)c1cc(ccc1)NC(=O)CC1CCCCC1
EGIN0002464	874 nM	20817523	Bioorganic & Medicinal Chemistry Letters	20 (2010) 6067–6071	c1(ncnc2c1c(nn2[C@@H]1CC[C@@H](CC1)N1CCN(CC1)CCCOC)c1ccc(cc1)Nc1oc2c(n1)cccc2Cl)N
EGIN0000003	8nM   	16475937	Curr Med Chem. 	2006;13(3):277-87.	CS(=O)(=O)CCNCc1ccc(o1)c1cc2c(cc1)ncnc2Nc1cc(c(cc1)OCc1cc(ccc1)F)Cl
EGIN0002467	97 nM	20817523	Bioorganic & Medicinal Chemistry Letters	20 (2010) 6067–6071	c1(ncnc2c1c(nn2[C@@H]1CCN(CC1)C1CCN(CC1)C(C)C)c1ccc(cc1)Nc1oc2c(n1)cccc2Cl)N
EGIN0002466	99 nM	20817523	Bioorganic & Medicinal Chemistry Letters	20 (2010) 6067–6071	c1(ncnc2c1c(nn2[C@@H]1CCN(CC1)C1CCN(CC1)C)c1ccc(cc1)
