./download/egfr.txtEGFRINdb ID	EGFR-IC50	PMID	Journal	Vol & Page	Smiles
EGIN0000003	0.01 µM	16483772	Bioorg Med Chem Lett.	2006 May 1;16(9):2419-22	CS(=O)(=O)CCNCc1ccc(o1)c1cc2c(cc1)ncnc2Nc1cc(c(cc1)OCc1cc(ccc1)F)Cl
EGIN0000003	0.01 µM	22101132	Bioorganic & Medicinal Chemistry Letters	22 (2012) 456–460	CS(=O)(=O)CCNCc1ccc(o1)c1cc2c(cc1)ncnc2Nc1cc(c(cc1)OCc1cc(ccc1)F)Cl
EGIN0000003	0.010  µM 	21334203	Bioorganic & Medicinal Chemistry Letters	21 (2011) 1601–1606	CS(=O)(=O)CCNCc1ccc(o1)c1cc2c(cc1)ncnc2Nc1cc(c(cc1)OCc1cc(ccc1)F)Cl
EGIN0000003	0.012 µM	16777410	Bioorganic & Medicinal Chemistry Letters	16 (2006) 4686–4691	CS(=O)(=O)CCNCc1ccc(o1)c1cc2c(cc1)ncnc2Nc1cc(c(cc1)OCc1cc(ccc1)F)Cl
EGIN0000003	0.017µM	19170633	J. Med. Chem	2009, 52, 964–975	CS(=O)(=O)CCNCc1ccc(o1)c1cc2c(cc1)ncnc2Nc1cc(c(cc1)OCc1cc(ccc1)F)Cl
EGIN0000003	0.019 µM	19815412	Bioorganic & Medicinal Chemistry Letters	19 (2009) 6437–6440	CS(=O)(=O)CCNCc1ccc(o1)c1cc2c(cc1)ncnc2Nc1cc(c(cc1)OCc1cc(ccc1)F)Cl
EGIN0000003	11 nM 	18287036	Proc Natl Acad Sci U S A. 	2008 Feb 26;105(8):2773-8	CS(=O)(=O)CCNCc1ccc(o1)c1cc2c(cc1)ncnc2Nc1cc(c(cc1)OCc1cc(ccc1)F)Cl
EGIN0000003	11.2 nM	20143778	J. Med. Chem	2010, 53, 2000–2009	CS(=O)(=O)CCNCc1ccc(o1)c1cc2c(cc1)ncnc2Nc1cc(c(cc1)OCc1cc(ccc1)F)Cl
EGIN0000003	2 nM	20166671	J. Med. Chem	2010, 53, 1413–1437	CS(=O)(=O)CCNCc1ccc(o1)c1cc2c(cc1)ncnc2Nc1cc(c(cc1)OCc1cc(ccc1)F)Cl
EGIN0000003	3 nM   	16475937	Curr Med Chem. 	2006;13(3):277-87.	CS(=O)(=O)CCNCc1ccc(o1)c1cc2c(cc1)ncnc2Nc1cc(c(cc1)OCc1cc(ccc1)F)Cl
EGIN0000003	52.2nM	21732342	Int. J. Cancer	130, 2445–2454 (2012) 	CS(=O)(=O)CCNCc1ccc(o1)c1cc2c(cc1)ncnc2Nc1cc(c(cc1)OCc1cc(ccc1)F)Cl
EGIN0000003	52.2nM	22372864	J. Med. Chem.	2012, 55, 2846-2857	CS(=O)(=O)CCNCc1ccc(o1)c1cc2c(cc1)ncnc2Nc1cc(c(cc1)OCc1cc(ccc1)F)Cl
EGIN0000003	8.90 nM	22169601	Bioorganic & Medicinal Chemistry	20 (2012) 125–136	CS(=O)(=O)CCNCc1ccc(o1)c1cc2c(cc1)ncnc2Nc1cc(c(cc1)OCc1cc(ccc1)F)Cl
EGIN0000005	<0.001 µM	18849971	Nat Chem Biol	2008 November ; 4(11): 691–699	COc1c(cc2c(c1)ncnc2Nc1cc(c(cc1)F)Cl)OCCCN1CCOCC1
EGIN0000005	>1 µM	21306821	Cancer Letters	302 (2011) 155–165	COc1c(cc2c(c1)ncnc2Nc1cc(c(cc1)F)Cl)OCCCN1CCOCC1
EGIN0000005	0.001 µM	22101132	Bioorganic & Medicinal Chemistry Letters	22 (2012) 456–460	COc1c(cc2c(c1)ncnc2Nc1cc(c(cc1)F)Cl)OCCCN1CCOCC1
EGIN0000005	0.0018 µM	15711537	Nat Biotechnol.	2005 Mar;23(3):329-36	COc1c(cc2c(c1)ncnc2Nc1cc(c(cc1)F)Cl)OCCCN1CCOCC1
EGIN0000005	0.02 µM	20961149	J. Med. Chem.	2010, 53, 7316–7326	COc1c(cc2c(c1)ncnc2Nc1cc(c(cc1)F)Cl)OCCCN1CCOCC1
EGIN0000005	0.021µM   	22901387	Bioorg. Med. Chem. Lett	22 (2012) 5870–5875	COc1c(cc2c(c1)ncnc2Nc1cc(c(cc1)F)Cl)OCCCN1CCOCC1
EGIN0000005	0.022 µM	19170633	J. Med. Chem	2009, 52, 964–975	COc1c(cc2c(c1)ncnc2Nc1cc(c(cc1)F)Cl)OCCCN1CCOCC1
EGIN0000005	0.023µM	11459659	Bioorganic & Medicinal Chemistry Letters	11 (2001) 1911–1914	COc1c(cc2c(c1)ncnc2Nc1cc(c(cc1)F)Cl)OCCCN1CCOCC1
EGIN0000005	0.033 ± 0.001  µM	20056425	Bioorg Med Chem.	2010 Feb;18(3):1117-23	COc1c(cc2c(c1)ncnc2Nc1cc(c(cc1)F)Cl)OCCCN1CCOCC1
EGIN0000005	0.033 ± 0.001 µM	20304535	European Journal of Medicinal Chemistry	45 (2010) 3184e3190	COc1c(cc2c(c1)ncnc2Nc1cc(c(cc1)F)Cl)OCCCN1CCOCC1
EGIN0000005	0.033 µM	12384534	Cancer Res.	2002 Oct 15;62(20):5749-54	COc1c(cc2c(c1)ncnc2Nc1cc(c(cc1)F)Cl)OCCCN1CCOCC1
EGIN0000005	0.033 µM	16516473	Bioorg Med Chem Lett.	2006 May 15;16(10):2672-6.	COc1c(cc2c(c1)ncnc2Nc1cc(c(cc1)F)Cl)OCCCN1CCOCC1
EGIN0000005	0.033µM	19665377	Bioorganic & Medicinal Chemistry Letters	19 (2009) 5505–5509	COc1c(cc2c(c1)ncnc2Nc1cc(c(cc1)F)Cl)OCCCN1CCOCC1
EGIN0000005	0.072µM  	22818848	European Journal of Medicinal Chemistry	55 (2012) 39e48	COc1c(cc2c(c1)ncnc2Nc1cc(c(cc1)F)Cl)OCCCN1CCOCC1
EGIN0000005	0.515 µM	12270171	Bioorganic & Medicinal Chemistry Letters	12 (2002) 2893–2897	COc1c(cc2c(c1)ncnc2Nc1cc(c(cc1)F)Cl)OCCCN1CCOCC1
EGIN0000005	1 nM	20166671	J. Med. Chem	2010, 53, 1413–1437	COc1c(cc2c(c1)ncnc2Nc1cc(c(cc1)F)Cl)OCCCN1CCOCC1
EGIN0000005	1.4 nM	17869510	Bioorganic & Medicinal Chemistry Letters	17 (2007) 5863–5867	COc1c(cc2c(c1)ncnc2Nc1cc(c(cc1)F)Cl)OCCCN1CCOCC1
EGIN0000005	20 nM	20550212	Journal of Medicinal Chemistry	2010, 53, 4980–4988	COc1c(cc2c(c1)ncnc2Nc1cc(c(cc1)F)Cl)OCCCN1CCOCC1
EGIN0000005	20 nM 	16279804	J. Med. Chem	2005, 48, 7445-7456	COc1c(cc2c(c1)ncnc2Nc1cc(c(cc1)F)Cl)OCCCN1CCOCC1
EGIN0000005	21.0 ± 0.01 nM 	19969465	Bioorganic & Medicinal Chemistry	18 (2010) 870–879	COc1c(cc2c(c1)ncnc2Nc1cc(c(cc1)F)Cl)OCCCN1CCOCC1
EGIN0000005	23 nM	16806916	Bioorg Med Chem Lett. 	2006 Sep 15;16(18):4908-12. 	COc1c(cc2c(c1)ncnc2Nc1cc(c(cc1)F)Cl)OCCCN1CCOCC1
EGIN0000005	3 nM   	16475937	Curr Med Chem. 	2006;13(3):277-87.	COc1c(cc2c(c1)ncnc2Nc1cc(c(cc1)F)Cl)OCCCN1CCOCC1
EGIN0000005	39.0 ± 0.02 nM 	17889528	Bioorg Med Chem Lett. 	2007 Nov 15;17(22):6373-7	COc1c(cc2c(c1)ncnc2Nc1cc(c(cc1)F)Cl)OCCCN1CCOCC1
EGIN0000005	5.4 nM	17416531	Bioorganic & Medicinal Chemistry	15 (2007) 3635–3648	COc1c(cc2c(c1)ncnc2Nc1cc(c(cc1)F)Cl)OCCCN1CCOCC1
EGIN0000005	56 nM	21732342	Int J Cancer	2011 Jul 5. doi: 10.1002/ijc.26276	COc1c(cc2c(c1)ncnc2Nc1cc(c(cc1)F)Cl)OCCCN1CCOCC1
EGIN0000005	56 nM 	-	Bull. Korean Chem. Soc	2005, Vol. 26, No.6	COc1c(cc2c(c1)ncnc2Nc1cc(c(cc1)F)Cl)OCCCN1CCOCC1
EGIN0000005	7.3 ± 0.2 nM 	22309911	European Journal of Medicinal Chemistry	49 (2012) 271e278	COc1c(cc2c(c1)ncnc2Nc1cc(c(cc1)F)Cl)OCCCN1CCOCC1
EGIN0000006	0.0014 µM	15711537	Nat Biotechnol.	2005 Mar;23(3):329-36	c12c(cc(c(c1)NC(=O)C=C)OCCCN1CCOCC1)ncnc2Nc1cc(c(cc1)F)Cl
EGIN0000006	0.0023 µM	18667312	Bioorg Med Chem Lett.	2008 November 15; 18(22): 5916–5919	c12c(cc(c(c1)NC(=O)C=C)OCCCN1CCOCC1)ncnc2Nc1cc(c(cc1)F)Cl
EGIN0000006	0.074 µM	12270171	Bioorganic & Medicinal Chemistry Letters	12 (2002) 2893–2897	c12c(cc(c(c1)NC(=O)C=C)OCCCN1CCOCC1)ncnc2Nc1cc(c(cc1)F)Cl
EGIN0000006	0.3 nM 	16475937	Curr Med Chem. 	2006;13(3):277-87.	c12c(cc(c(c1)NC(=O)C=C)OCCCN1CCOCC1)ncnc2Nc1cc(c(cc1)F)Cl
EGIN0000006	1.5 nM	11462982	J Med Chem. 	2001 Feb 1;44(3):429-40	c12c(cc(c(c1)NC(=O)C=C)OCCCN1CCOCC1)ncnc2Nc1cc(c(cc1)F)Cl
EGIN0000006	3.0 nM  	16480284	J Med Chem	2006 Feb 23;49(4):1475-85.	c12c(cc(c(c1)NC(=O)C=C)OCCCN1CCOCC1)ncnc2Nc1cc(c(cc1)F)Cl
EGIN0000006	30 ± 20 nM	15374980	Cancer Res.	2004 Sep 15;64(18):6652-9.	c12c(cc(c(c1)NC(=O)C=C)OCCCN1CCOCC1)ncnc2Nc1cc(c(cc1)F)Cl
EGIN0000007	10.08 nM	16211656	Arch Pharm (Weinheim).	2005 Oct;338(10):502-5	c12c(ncnc1Cc1cccc(c1)Cl)cc1c(c2)O[C@@H]([C@H](O1)COC)COC
EGIN0000008	28.89 nM	16211656	Arch Pharm (Weinheim).	2005 Oct;338(10):502-5	c12c(ncnc1Cc1cccc(c1)Br)cc1c(c2)O[C@@H]([C@H](O1)COC)COC
EGIN0000009	1.66 nM	16211656	Arch Pharm (Weinheim).	2005 Oct;338(10):502-5	c12c(ncnc1Cc1cccc(c1)I)cc1c(c2)O[C@@H]([C@H](O1)COC)COC
EGIN0000010	0.000025 µM	22901387	Bioorg. Med. Chem. Lett	22 (2012) 5870–5875	c1(cc2c(cc1OC)ncnc2Nc1cccc(c1)Br)OC
EGIN0000010	0.004 µM	8691423	J Med Chem. 	1996 Jun 7;39(12):2285-92.	c1(cc2c(cc1OC)ncnc2Nc1cccc(c1)Br)OC
EGIN0000010	0.0053 µM	18588282	J. Med. Chem.	2008, 51, 4150–4169	c1(cc2c(cc1OC)ncnc2Nc1cccc(c1)Br)OC
EGIN0000010	0.006 µM	9357527	J. Med. Chem.	1997, 40, 3601-3616	c1(cc2c(cc1OC)ncnc2Nc1cccc(c1)Br)OC
EGIN0000010	0.025 nM  	8632415	J Med Chem. 	1996 Feb 16;39(4):918-28.	c1(cc2c(cc1OC)ncnc2Nc1cccc(c1)Br)OC
EGIN0000010	0.025 nM  	9154973	J Med Chem	1997 May 9;40(10):1519-29.	c1(cc2c(cc1OC)ncnc2Nc1cccc(c1)Br)OC
EGIN0000010	0.025 nM      	10639288	J. Med. Chem	1999, 42, 5464-5474	c1(cc2c(cc1OC)ncnc2Nc1cccc(c1)Br)OC
EGIN0000010	0.025 nM       	8568816	J Med Chem	1996 Jan 5;39(1):267-76	c1(cc2c(cc1OC)ncnc2Nc1cccc(c1)Br)OC
EGIN0000010	0.028 ± 0.004 nM  	17154492	J Med Chem. 	2006 Nov 16;49(23):6642-5.	c1(cc2c(cc1OC)ncnc2Nc1cccc(c1)Br)OC
EGIN0000010	0.029 nM   	7658435	J Med Chem	1995 Sep 1;38(18):3482-7.	c1(cc2c(cc1OC)ncnc2Nc1cccc(c1)Br)OC
EGIN0000010	0.07 µM	10966743	J Med Chem	2000 Aug 24;43(17):3244-56.	c1(cc2c(cc1OC)ncnc2Nc1cccc(c1)Br)OC
EGIN0000010	0.2 ± 0.04 µM    	20403700	Bioorg Med Chem.	2010 May 15; 18(10): 3575–3587	c1(cc2c(cc1OC)ncnc2Nc1cccc(c1)Br)OC
EGIN0000010	0.2 ±0.04 µM	20403693	Bioorg Med Chem Lett	2010 May 15; 20(10): 3177–3181	c1(cc2c(cc1OC)ncnc2Nc1cccc(c1)Br)OC
EGIN0000010	0.2±0.03 µM	19748785	Bioorg Med Chem.	2009 October 15; 17(20): 7324–7336	c1(cc2c(cc1OC)ncnc2Nc1cccc(c1)Br)OC
EGIN0000010	0.2±0.04 nM	18467105	Bioorg Med Chem.	2008 May 15; 16(10): 5514–5528.	c1(cc2c(cc1OC)ncnc2Nc1cccc(c1)Br)OC
EGIN0000010	0.23 ± 0.05  µM	20092323	J Med Chem.	2010 February 25; 53(4): 1563–1578	c1(cc2c(cc1OC)ncnc2Nc1cccc(c1)Br)OC
EGIN0000010	0.66 ± 0.12 nM	16279804	J. Med. Chem	2005, 48, 7445-7456	c1(cc2c(cc1OC)ncnc2Nc1cccc(c1)Br)OC
EGIN0000010	152 nM         	8568816	J Med Chem	1996 Jan 5;39(1):267-76	c1(cc2c(cc1OC)ncnc2Nc1cccc(c1)Br)OC
EGIN0000010	2.6 nM	17416531	Bioorganic & Medicinal Chemistry	15 (2007) 3635–3648	c1(cc2c(cc1OC)ncnc2Nc1cccc(c1)Br)OC
EGIN0000010	29pM 	16279804	J. Med. Chem	2005, 48, 7445-7456	c1(cc2c(cc1OC)ncnc2Nc1cccc(c1)Br)OC
EGIN0000010	6.10 nM	16211656	Arch Pharm (Weinheim).	2005 Oct;338(10):502-5	c1(cc2c(cc1OC)ncnc2Nc1cccc(c1)Br)OC
EGIN0000013	0.36 µM	16516473	Bioorg Med Chem Lett.	2006 May 15;16(10):2672-6.	c12c(cc(c(c1)CN1CCCC1)OC)ncnc2Nc1cccc(c1F)Cl
EGIN0000014	0.006 µM	16516473	Bioorg Med Chem Lett.	2006 May 15;16(10):2672-6.	c12c(cc(c(c1)CN1CCC[C@@H]1C(=O)N)OC)ncnc2Nc1cc(c(cc1)F)Cl
EGIN0000015	0.02 µM	16516473	Bioorg Med Chem Lett.	2006 May 15;16(10):2672-6.	c12c(cc(c(c1)CN1CCC[C@@H]1C(=O)N)OC)ncnc2Nc1cc(c(cc1)F)Cl
EGIN0000016	0.03 µM	16516473	Bioorg Med Chem Lett.	2006 May 15;16(10):2672-6.	c12c(cc(c(c1)CN1CCC[C@@H]1C(=O)N)OC)ncnc2Nc1c(c(ccc1)Cl)F
EGIN0000017	0.01 µM	16516473	Bioorg Med Chem Lett.	2006 May 15;16(10):2672-6.	c12c(cc(c(c1)CN1CCC[C@@H]1C(=O)N)OC)ncnc2Nc1c(c(ccc1)Cl)F
EGIN0000018	0.01 µM	16516473	Bioorg Med Chem Lett.	2006 May 15;16(10):2672-6.	c12cc(c(cc1ncnc2Nc1cccc(c1F)Cl)OC)CN1[C@H](C[C@H](C1)OC)C(=O)N
EGIN0000019	0.05 µM	16516473	Bioorg Med Chem Lett.	2006 May 15;16(10):2672-6.	c12cc(c(cc1ncnc2Nc1cccc(c1F)Cl)OC)CN1[C@H](CCC1)C(=O)NC
EGIN0000020	0.45 µM	16516473	Bioorg Med Chem Lett.	2006 May 15;16(10):2672-6.	c12cc(c(cc1ncnc2Nc1cccc(c1F)Cl)OC)CN1[C@H](CCC1)C(=O)NC
EGIN0000021	0.08 µM	16516473	Bioorg Med Chem Lett.	2006 May 15;16(10):2672-6.	c12cc(c(cc1ncnc2Nc1cccc(c1F)Cl)OC)CN1C[C@H](CC1)C(=O)N
EGIN0000022	0.17 µM	16516473	Bioorg Med Chem Lett.	2006 May 15;16(10):2672-6.	c12cc(c(cc1ncnc2Nc1cccc(c1F)Cl)OC)CN1[C@@H](CCC1)CC(=O)N
EGIN0000023	0.03 µM	16516473	Bioorg Med Chem Lett.	2006 May 15;16(10):2672-6.	c12cc(c(cc1ncnc2Nc1cccc(c1F)Cl)OC)CN1[C@H](CN(CC1)C)C(=O)N
EGIN0000024	0.008 µM	16516473	Bioorg Med Chem Lett.	2006 May 15;16(10):2672-6.	c12cc(c(cc1ncnc2Nc1cccc(c1F)Cl)OC)CN1[C@H](CCCC1)C(=O)N
EGIN0000025	0.05 µM	16516473	Bioorg Med Chem Lett.	2006 May 15;16(10):2672-6.	c12cc(c(cc1ncnc2Nc1cccc(c1F)Cl)OC)CN1[C@H](COCC1)C(=O)N
EGIN0000026	0.07 µM	16516473	Bioorg Med Chem Lett.	2006 May 15;16(10):2672-6.	c12cc(c(cc1ncnc2Nc1cccc(c1F)Cl)OC)CN1[C@H](C(=O)N)CC1
EGIN0000027	0.05 µM	16516473	Bioorg Med Chem Lett.	2006 May 15;16(10):2672-6.	c12cc(c(cc1ncnc2Nc1cccc(c1F)Cl)OC)CN1C[C@@H](C1)C(=O)N
EGIN0000028	0.15 µM	16516473	Bioorg Med Chem Lett.	2006 May 15;16(10):2672-6.	c12cc(c(cc1ncnc2Nc1cccc(c1F)Cl)OC)CN[C@H](C)C(=O)N
EGIN0000029	0.02 µM	16516473	Bioorg Med Chem Lett.	2006 May 15;16(10):2672-6.	c12cc(c(cc1ncnc2Nc1cccc(c1F)Cl)OC)CNCC(=O)N
EGIN0000030	0.009 µM	16516473	Bioorg Med Chem Lett.	2006 May 15;16(10):2672-6.	c12cc(c(cc1ncnc2Nc1cccc(c1F)Cl)OC)CN([C@H](C)C(=O)N)C
EGIN0000031	0.008 µM	16516473	Bioorg Med Chem Lett.	2006 May 15;16(10):2672-6.	c1(c(cc2c(c1)c(ncn2)Nc1cccc(c1F)Cl)OC)CN([C@@H](C)C(=O)N)C
EGIN0000032	0.03 µM	16516473	Bioorg Med Chem Lett.	2006 May 15;16(10):2672-6.	c1(c(cc2c(c1)c(ncn2)Nc1cccc(c1F)Cl)OC)CN([C@H](C)C(=O)NC)C
EGIN0000033	0.04 µM	16516473	Bioorg Med Chem Lett.	2006 May 15;16(10):2672-6.	c1(c(cc2c(c1)c(ncn2)Nc1cccc(c1F)Cl)OC)CN([C@H](C)C(=O)N(C)C)C
EGIN0000034	0.02 µM	16516473	Bioorg Med Chem Lett.	2006 May 15;16(10):2672-6.	c1(c(cc2c(c1)c(ncn2)Nc1cccc(c1F)Cl)OC)CN([C@H]1C(=O)NCC1)C
EGIN0000036	<0.001 µM	16516473	Bioorg Med Chem Lett.	2006 May 15;16(10):2672-6.	c1(c(cc2c(c1)c(ncn2)Nc1cccc(c1F)Cl)OC)CN([C@@H](C)C(=O)N)C(C)C
EGIN0000037	0.01 µM	16516473	Bioorg Med Chem Lett.	2006 May 15;16(10):2672-6.	c1(c(cc2c(c1)c(ncn2)Nc1cccc(c1F)Cl)OC)CN([C@@H](C)C(=O)N)CCOC
EGIN0000038	0.12 µM	16516473	Bioorg Med Chem Lett.	2006 May 15;16(10):2672-6.	c1(c(cc2c(c1)c(ncn2)Nc1cccc(c1F)Cl)OC)CN([C@@H](C)C(=O)N)CCN(C)C
EGIN0000039	0.02 µM	16516473	Bioorg Med Chem Lett.	2006 May 15;16(10):2672-6.	c1(c(cc2c(c1)c(ncn2)Nc1cccc(c1F)Cl)OC)CN([C@@H](CO)C(=O)N)C
EGIN0000040	0.03 µM	16516473	Bioorg Med Chem Lett.	2006 May 15;16(10):2672-6.	c1(c(cc2c(c1)c(ncn2)Nc1cccc(c1F)Cl)OC)CN([C@@H](COC)C(=O)N)C
EGIN0000041	0.01 µM	16516473	Bioorg Med Chem Lett.	2006 May 15;16(10):2672-6.	c1(c(cc2c(c1)c(ncn2)Nc1cccc(c1F)Cl)OC)CN([C@@H](CCOC)C(=O)N)C
EGIN0000042	0.05 µM	16516473	Bioorg Med Chem Lett.	2006 May 15;16(10):2672-6.	c1(c(cc2c(c1)c(ncn2)Nc1cccc(c1F)Cl)OC)CN([C@@H](CN(C)C)C(=O)N)C
EGIN0000043	0.009 µM	16516473	Bioorg Med Chem Lett.	2006 May 15;16(10):2672-6.	C1(CCN(CC1)C)(N(Cc1c(cc2c(c1)c(ncn2)Nc1cccc(c1F)Cl)OC)C)C(=O)N
