./download/her2.txtEGFRINdb ID	ErbB2-IC50	PMID	Journal	Vol & Page	Smiles
EGIN0000003	36.3nM	22372864	J. Med. Chem.	2012, 55, 2846-2857	CS(=O)(=O)CCNCc1ccc(o1)c1cc2c(cc1)ncnc2Nc1cc(c(cc1)OCc1cc(ccc1)F)Cl
EGIN0000003	60.0 nM	22169601	Bioorganic & Medicinal Chemistry	20 (2012) 125–136	CS(=O)(=O)CCNCc1ccc(o1)c1cc2c(cc1)ncnc2Nc1cc(c(cc1)OCc1cc(ccc1)F)Cl
EGIN0000003	9 nM 	18287036	Proc Natl Acad Sci U S A. 	2008 Feb 26;105(8):2773-8	CS(=O)(=O)CCNCc1ccc(o1)c1cc2c(cc1)ncnc2Nc1cc(c(cc1)OCc1cc(ccc1)F)Cl
EGIN0000005	>10 µM	21306821	Cancer Letters	302 (2011) 155–165	COc1c(cc2c(c1)ncnc2Nc1cc(c(cc1)F)Cl)OCCCN1CCOCC1
EGIN0000005	0.24 µM 	22101132	Bioorganic & Medicinal Chemistry Letters	22 (2012) 456–460	COc1c(cc2c(c1)ncnc2Nc1cc(c(cc1)F)Cl)OCCCN1CCOCC1
EGIN0000005	1.1 µM    	15711537	Nat Biotechnol.	2005 Mar;23(3):329-36	COc1c(cc2c(c1)ncnc2Nc1cc(c(cc1)F)Cl)OCCCN1CCOCC1
EGIN0000005	1.604 µM	12270171	Bioorganic & Medicinal Chemistry Letters	12 (2002) 2893–2897	COc1c(cc2c(c1)ncnc2Nc1cc(c(cc1)F)Cl)OCCCN1CCOCC1
EGIN0000005	1830 nM	16475937	Curr Med Chem. 	2006;13(3):277-87.	COc1c(cc2c(c1)ncnc2Nc1cc(c(cc1)F)Cl)OCCCN1CCOCC1
EGIN0000005	240 nM 	20166671	J. Med. Chem	2010, 53, 1413–1437	COc1c(cc2c(c1)ncnc2Nc1cc(c(cc1)F)Cl)OCCCN1CCOCC1
EGIN0000005	3.7–10  µM	12384534	Cancer Res.	2002 Oct 15;62(20):5749-54	COc1c(cc2c(c1)ncnc2Nc1cc(c(cc1)F)Cl)OCCCN1CCOCC1
EGIN0000006	0.0084 µM 	15711537	Nat Biotechnol.	2005 Mar;23(3):329-36	c12c(cc(c(c1)NC(=O)C=C)OCCCN1CCOCC1)ncnc2Nc1cc(c(cc1)F)Cl
EGIN0000006	0.048 µM	18667312	Bioorg Med Chem Lett.	2008 November 15; 18(22): 5916–5919	c12c(cc(c(c1)NC(=O)C=C)OCCCN1CCOCC1)ncnc2Nc1cc(c(cc1)F)Cl
EGIN0000006	0.529 µM	12270171	Bioorganic & Medicinal Chemistry Letters	12 (2002) 2893–2897	c12c(cc(c(c1)NC(=O)C=C)OCCCN1CCOCC1)ncnc2Nc1cc(c(cc1)F)Cl
EGIN0000006	127 ± 42 nM	15374980	Cancer Res.	2004 Sep 15;64(18):6652-9.	c12c(cc(c(c1)NC(=O)C=C)OCCCN1CCOCC1)ncnc2Nc1cc(c(cc1)F)Cl
EGIN0000006	20 nM    	16480284	J Med Chem	2006 Feb 23;49(4):1475-85.	c12c(cc(c(c1)NC(=O)C=C)OCCCN1CCOCC1)ncnc2Nc1cc(c(cc1)F)Cl
EGIN0000006	30 nM  	16475937	Curr Med Chem. 	2006;13(3):277-87.	c12c(cc(c(c1)NC(=O)C=C)OCCCN1CCOCC1)ncnc2Nc1cc(c(cc1)F)Cl
EGIN0000010	143 ± 52nM	16279804	J. Med. Chem	2005, 48, 7445-7456	c1(cc2c(cc1OC)ncnc2Nc1cccc(c1)Br)OC
EGIN0000208	0.024 µM	18667312	Bioorg Med Chem Lett.	2008 November 15; 18(22): 5916–5919	c12c(ccc(c1)NC(=O)C=C)ncnc2Nc1cc(ccc1)Br
EGIN0000208	0.114 µM    	11495584	J Med Chem. 	2001 Aug 16;44(17):2719-34.	c12c(ccc(c1)NC(=O)C=C)ncnc2Nc1cc(ccc1)Br
EGIN0000256	215 ± 87 nM	16279804	J. Med. Chem	2005, 48, 7445-7456	c12c(cc(c(c1)OCC)OCC)ncnc2Nc1cccc(c1)Br
EGIN0000293	1.9 nM   	16480284	J Med Chem	2006 Feb 23;49(4):1475-85.	c1(cc(Nc2c3cc(NC(=O)C#C)ccc3ncn2)ccc1)Br
EGIN0000294	0.378 µM    	11495584	J Med Chem. 	2001 Aug 16;44(17):2719-34.	c12c(ccc(c1)NC(=O)C#CC)ncnc2Nc1cc(ccc1)Br
EGIN0000294	17 nM    	16480284	J Med Chem	2006 Feb 23;49(4):1475-85.	c12c(ccc(c1)NC(=O)C#CC)ncnc2Nc1cc(ccc1)Br
EGIN0000295	2.1 nM   	16480284	J Med Chem	2006 Feb 23;49(4):1475-85.	c12c(ccc(c1)NC(=O)C#CCO)ncnc2Nc1cc(c(cc1)F)Cl
EGIN0000296	46 nM    	16480284	J Med Chem	2006 Feb 23;49(4):1475-85.	N(CC)(CC)CC#CC(=O)Nc1cc2c(cc1)ncnc2Nc1ccc(c(c1)Cl)F
EGIN0000297	2.8 nM   	16480284	J Med Chem	2006 Feb 23;49(4):1475-85.	N(C(C)C)(C(C)C)CC#CC(=O)Nc1cc2c(cc1)ncnc2Nc1ccc(c(c1)Cl)F
EGIN0000298	464 nM   	16480284	J Med Chem	2006 Feb 23;49(4):1475-85.	N(CCCC)(CCCC)CC#CC(=O)Nc1cc2c(cc1)ncnc2Nc1ccc(c(c1)Cl)F
EGIN0000299	300 nM   	16480284	J Med Chem	2006 Feb 23;49(4):1475-85.	N1(CCOCC1)CC#CC(=O)Nc1cc2c(cc1)ncnc2Nc1ccc(c(c1)Cl)F
EGIN0000300	2.6 nM   	16480284	J Med Chem	2006 Feb 23;49(4):1475-85.	N(CC)(CC)CCC#CC(=O)Nc1cc2c(cc1)ncnc2Nc1ccc(c(c1)Cl)F
EGIN0000301	2.3 nM   	16480284	J Med Chem	2006 Feb 23;49(4):1475-85.	C(N1CCOCC1)CC#CC(=O)Nc1cc2c(cc1)ncnc2Nc1ccc(c(c1)Cl)F
EGIN0000302	2.4 nM   	16480284	J Med Chem	2006 Feb 23;49(4):1475-85.	c12c(cnc(c1)NC(=O)C#C)ncnc2Nc1cc(ccc1)Br
EGIN0000303	1.1 nM   	16480284	J Med Chem	2006 Feb 23;49(4):1475-85.	c12c(cnc(c1)NC(=O)C#CC)ncnc2Nc1cc(c(cc1)F)Cl
EGIN0000304	3.8 nM   	16480284	J Med Chem	2006 Feb 23;49(4):1475-85.	c12c(cnc(c1)NC(=O)C#CCCC)ncnc2Nc1cc(c(cc1)F)Cl
EGIN0000305	5.4 nM   	16480284	J Med Chem	2006 Feb 23;49(4):1475-85.	c12c(cnc(c1)NC(=O)C#CCCCC)ncnc2Nc1cc(c(cc1)F)Cl
EGIN0000306	597 nM   	16480284	J Med Chem	2006 Feb 23;49(4):1475-85.	N(CC)(CC)CC#CC(=O)Nc1cc2c(cn1)ncnc2Nc1ccc(c(c1)Cl)F
EGIN0000307	>103 nM  	16480284	J Med Chem	2006 Feb 23;49(4):1475-85.	N(C(C)C)(C(C)C)CC#CC(=O)Nc1cc2c(cn1)ncnc2Nc1ccc(c(c1)Cl)F
EGIN0000308	67 nM    	16480284	J Med Chem	2006 Feb 23;49(4):1475-85.	N(CCCC)(CCCC)CC#CC(=O)Nc1cc2c(cn1)ncnc2Nc1ccc(c(c1)Cl)F
EGIN0000309	26 nM    	16480284	J Med Chem	2006 Feb 23;49(4):1475-85.	N1(CCOCC1)CC#CC(=O)Nc1cc2c(cn1)ncnc2Nc1ccc(c(c1)Cl)F
EGIN0000310	0.8 nM   	16480284	J Med Chem	2006 Feb 23;49(4):1475-85.	N1(CCOCC1)CCC#CC(=O)Nc1cc2c(cn1)ncnc2Nc1ccc(c(c1)Cl)F
EGIN0000311	0.7 nM   	16480284	J Med Chem	2006 Feb 23;49(4):1475-85.	N1(CCOCC1)CCC#CC(=O)Nc1cc2c(cn1)ncnc2Nc1ccc(c(c1)Br)F
EGIN0000312	2.1 nM   	16480284	J Med Chem	2006 Feb 23;49(4):1475-85.	N1(CCCCC1)CCC#CC(=O)Nc1cc2c(cn1)ncnc2Nc1ccc(c(c1)Cl)F
EGIN0000313	0.7 nM   	16480284	J Med Chem	2006 Feb 23;49(4):1475-85.	N1(CCN(CC1)C)CCC#CC(=O)Nc1cc2c(cn1)ncnc2Nc1ccc(c(c1)Cl)F
EGIN0000314	0.5 nM   	16480284	J Med Chem	2006 Feb 23;49(4):1475-85.	N1(CCN(CC1)C)CCC#CC(=O)Nc1cc2c(cn1)ncnc2Nc1ccc(c(c1)Br)F
EGIN0000376	0.077 µM  	15711537	Nat Biotechnol.	2005 Mar;23(3):329-36	c12c(cc(c(c1)NC(=O)/C=C/CN(C)C)OCC)ncc(c2Nc1ccc(c(c1)Cl)F)C#N
EGIN0000376	1.229 µM	12270171	Bioorganic & Medicinal Chemistry Letters	12 (2002) 2893–2897	c12c(cc(c(c1)NC(=O)/C=C/CN(C)C)OCC)ncc(c2Nc1ccc(c(c1)Cl)F)C#N
EGIN0000376	1.23  µM	15715478	J. Med. Chem.	2005, 48, 1107-1131	c12c(cc(c(c1)NC(=O)/C=C/CN(C)C)OCC)ncc(c2Nc1ccc(c(c1)Cl)F)C#N
EGIN0000376	1.23 µM   	12502359	J. Med. Chem.	2003, 46 (1), pp 49–63	c12c(cc(c(c1)NC(=O)/C=C/CN(C)C)OCC)ncc(c2Nc1ccc(c(c1)Cl)F)C#N
EGIN0000377	3.87 µM   	12502359	J. Med. Chem.	2003, 46 (1), pp 49–63	c12c(ccc(c1)NC(=O)C#CC)ncc(c2Nc1cccc(c1)Br)C#N
EGIN0000378	0.30 µM   	12502359	J. Med. Chem.	2003, 46 (1), pp 49–63	c12c(ccc(c1)NC(=O)C#CCOC)ncc(c2Nc1cccc(c1)Br)C#N
EGIN0000379	0.45 µM   	12502359	J. Med. Chem.	2003, 46 (1), pp 49–63	c12c(ccc(c1)NC(=O)C#CCOCCOC)ncc(c2Nc1cccc(c1)Br)C#N
EGIN0000380	0.38 µM   	12502359	J. Med. Chem.	2003, 46 (1), pp 49–63	c12c(ccc(c1)NC(=O)C#CCOCOC)ncc(c2Nc1cccc(c1)Br)C#N
EGIN0000381	1.04 µM   	12502359	J. Med. Chem.	2003, 46 (1), pp 49–63	c12c(ccc(c1)NC(=O)C#CCN1CCSCC1)ncc(c2Nc1cccc(c1)Br)C#N
EGIN0000382	1.22 µM   	12502359	J. Med. Chem.	2003, 46 (1), pp 49–63	c12c(ccc(c1)NC(=O)C#CCN1[C@H](CCC1)COC)ncc(c2Nc1cccc(c1)Br)C#N
EGIN0000383	0.37 µM   	12502359	J. Med. Chem.	2003, 46 (1), pp 49–63	c12c(ccc(c1)NC(=O)C#CCN(CCC)CCC)ncc(c2Nc1cccc(c1)Br)C#N
EGIN0000384	0.32 µM   	12502359	J. Med. Chem.	2003, 46 (1), pp 49–63	c12c(ccc(c1)NC(=O)C#CCN(C(C)C)C(C)C)ncc(c2Nc1cccc(c1)Br)C#N
EGIN0000385	2.12 µM   	12502359	J. Med. Chem.	2003, 46 (1), pp 49–63	c12c(cc(c(c1)NC(=O)C#CC)OC)ncc(c2Nc1cccc(c1)Br)C#N
EGIN0000386	0.38 µM   	12502359	J. Med. Chem.	2003, 46 (1), pp 49–63	c12c(cc(c(c1)NC(=O)C#CCOC)OC)ncc(c2Nc1cccc(c1)Br)C#N
EGIN0000387	0.18 µM   	12502359	J. Med. Chem.	2003, 46 (1), pp 49–63	c12c(cc(c(c1)NC(=O)C#CCN(C)C)OC)ncc(c2Nc1cccc(c1)Br)C#N
EGIN0000388	4.16 µM   	12502359	J. Med. Chem.	2003, 46 (1), pp 49–63	c12c(ccc(c1)NC(=O)/C=C/CN(C)C)ncc(c2Nc1cccc(c1)Br)C#N
EGIN0000389	5.66 µM   	12502359	J. Med. Chem.	2003, 46 (1), pp 49–63	c12c(cc(c(c1)NC(=O)/C=C/CN(C)C)OC)ncc(c2Nc1cccc(c1)Br)C#N
EGIN0000390	34.13 µM  	12502359	J. Med. Chem.	2003, 46 (1), pp 49–63	c12c(cc(c(c1)NC(=O)/C=C/CN1CCOCC1)OC)ncc(c2Nc1cccc(c1)Br)C#N
EGIN0000391	2.97 µM   	12502359	J. Med. Chem.	2003, 46 (1), pp 49–63	c12c(cc(c(c1)NC(=O)/C=C/CN(C)C)OCC)ncc(c2Nc1cccc(c1)Br)C#N
EGIN0000392	33.95 µM  	12502359	J. Med. Chem.	2003, 46 (1), pp 49–63	c12c(cc(c(c1)NC(=O)/C=C/CN1CCOCC1)OCC)ncc(c2Nc1cccc(c1)Br)C#N
EGIN0000393	9.35 µM   	12502359	J. Med. Chem.	2003, 46 (1), pp 49–63	c12c(c(cc(c1)NC(=O)/C=C/CN(C)C)OC)ncc(c2Nc1cccc(c1)Br)C#N
EGIN0000394	23.59 µM  	12502359	J. Med. Chem.	2003, 46 (1), pp 49–63	c12c(c(cc(c1)NC(=O)/C=C/CN1CCOCC1)OC)ncc(c2Nc1cccc(c1)Br)C#N
EGIN0000395	1.95 µM   	12502359	J. Med. Chem.	2003, 46 (1), pp 49–63	c12c(ccc(c1)NC(=O)/C=C/CN(C)C)ncc(c2Nc1ccc(c(c1)Cl)F)C#N
EGIN0000396	8.74 µM   	12502359	J. Med. Chem.	2003, 46 (1), pp 49–63	c12c(ccc(c1)NC(=O)/C=C/CN1CCOCC1)ncc(c2Nc1ccc(c(c1)Cl)F)C#N
EGIN0000397	4.49 µM   	12502359	J. Med. Chem.	2003, 46 (1), pp 49–63	c12c(cc(c(c1)NC(=O)/C=C/CN(C)C)OC)ncc(c2Nc1ccc(c(c1)Cl)F)C#N
EGIN0000398	7.80 µM   	12502359	J. Med. Chem.	2003, 46 (1), pp 49–63	c12c(cc(c(c1)NC(=O)/C=C/CN(CC)CC)OC)ncc(c2Nc1ccc(c(c1)Cl)F)C#N
EGIN0000399	31.43 µM  	12502359	J. Med. Chem.	2003, 46 (1), pp 49–63	c12c(cc(c(c1)NC(=O)/C=C/CN1CCOCC1)OC)ncc(c2Nc1ccc(c(c1)Cl)F)C#N
EGIN0000400	4.13 µM   	12502359	J. Med. Chem.	2003, 46 (1), pp 49–63	c12c(cc(c(c1)NC(=O)/C=C/CN(C)C)OC(F)(F)F)ncc(c2Nc1ccc(c(c1)Cl)F)C#N
EGIN0000401	11.82 µM  	12502359	J. Med. Chem.	2003, 46 (1), pp 49–63	c12c(cc(c(c1)NC(=O)/C=C/[C@H](N(C)C)C)OC)ncc(c2Nc1ccc(c(c1)Cl)F)C#N
EGIN0000402	9.58 µM   	12502359	J. Med. Chem.	2003, 46 (1), pp 49–63	c12c(cc(c(c1)NC(=O)/C=C/[C@H](N(CC)CC)C)OC)ncc(c2Nc1ccc(c(c1)Cl)F)C#N
EGIN0000403	33.95 µM  	12502359	J. Med. Chem.	2003, 46 (1), pp 49–63	c12c(cc(c(c1)NC(=O)/C=C/[C@H](N1CCOCC1)C)OC)ncc(c2Nc1ccc(c(c1)Cl)F)C#N
EGIN0000404	1.63 µM   	12502359	J. Med. Chem.	2003, 46 (1), pp 49–63	c12c(ccc(c1)NC(=O)C=C)ncc(c2Nc1cccc(c1)Br)C#N
EGIN0000405	4.68 µM   	12502359	J. Med. Chem.	2003, 46 (1), pp 49–63	c12c(cc(c(c1)NC(=O)C=C)OC)ncc(c2Nc1cccc(c1)Br)C#N
EGIN0000406	4.50 µM   	12502359	J. Med. Chem.	2003, 46 (1), pp 49–63	c12c(ccc(c1)NC(=O)/C=C/C)ncc(c2Nc1cccc(c1)Br)C#N
EGIN0000407	21.51 µM  	12502359	J. Med. Chem.	2003, 46 (1), pp 49–63	c12c(cc(c(c1)NC(=O)/C=C/C)OCC)ncc(c2Nc1ccc(c(c1)Cl)F)C#N
EGIN0000408	4.39 µM   	12502359	J. Med. Chem.	2003, 46 (1), pp 49–63	c12c(c(cc(c1)NC(=O)C=C)CN1CCOCC1)ncc(c2Nc1ccc(c(c1)Cl)F)C#N
EGIN0000409	1.21 µM   	12502359	J. Med. Chem.	2003, 46 (1), pp 49–63	c12c(c(c(c(c1)NC(=O)C=C)OCC)CN(C)C)ncc(c2Nc1ccc(c(c1)Cl)F)C#N
EGIN0000413	5.84 µM    	20594859	Bioorg Med Chem	2010 Jul 15;18(14):4991-6	c1cc(ccc1/C=C/C(=O)OCCn1c(ncc1N(=O)=O)C)F
EGIN0000414	4.77 µM    	20594859	Bioorg Med Chem	2010 Jul 15;18(14):4991-6	c1cc(ccc1/C=C/C(=O)OCCn1c(ncc1N(=O)=O)C)Cl
EGIN0000415	4.65 µM    	20594859	Bioorg Med Chem	2010 Jul 15;18(14):4991-6	c1cc(ccc1/C=C/C(=O)OCCn1c(ncc1N(=O)=O)C)Br
EGIN0000416	10.78 µM   	20594859	Bioorg Med Chem	2010 Jul 15;18(14):4991-6	c1ccccc1/C=C/C(=O)OCCn1c(ncc1N(=O)=O)C
EGIN0000417	9.65 µM    	20594859	Bioorg Med Chem	2010 Jul 15;18(14):4991-6	c1cc(ccc1/C=C/C(=O)OCCn1c(ncc1N(=O)=O)C)C
EGIN0000418	14.32 µM   	20594859	Bioorg Med Chem	2010 Jul 15;18(14):4991-6	c1cc(ccc1/C=C/C(=O)OCCn1c(ncc1N(=O)=O)C)OC
EGIN0000419	9.97 µM    	20594859	Bioorg Med Chem	2010 Jul 15;18(14):4991-6	c1cc(ccc1/C=C/C(=O)OCCn1c(ncc1N(=O)=O)C)C(C)C
EGIN0000420	2.15 µM    	20594859	Bioorg Med Chem	2010 Jul 15;18(14):4991-6	c1cc(ccc1/C=C/C(=O)OCCn1c(ncc1N(=O)=O)C)c1ccccc1
EGIN0000421	3.46 µM    	20594859	Bioorg Med Chem	2010 Jul 15;18(14):4991-6	c1cc(ccc1/C=C/C(=O)OCCn1c(ncc1N(=O)=O)C)OCc1ccccc1
EGIN0000422	41.26 µM   	20594859	Bioorg Med Chem	2010 Jul 15;18(14):4991-6	c1(ccccc1/C=C/C(=O)OCCn1c(ncc1N(=O)=O)C)F
EGIN0000423	36.45 µM   	20594859	Bioorg Med Chem	2010 Jul 15;18(14):4991-6	c1(ccccc1/C=C/C(=O)OCCn1c(ncc1N(=O)=O)C)Cl
EGIN0000424	44.85 µM   	20594859	Bioorg Med Chem	2010 Jul 15;18(14):4991-6	c1(ccccc1/C=C/C(=O)OCCn1c(ncc1N(=O)=O)C)Br
EGIN0000425	40 µM      	20594859	Bioorg Med Chem	2010 Jul 15;18(14):4991-6	c1(ccccc1/C=C/C(=O)OCCn1c(ncc1N(=O)=O)C)N(=O)=O
EGIN0000426	>50 µM     	20594859	Bioorg Med Chem	2010 Jul 15;18(14):4991-6	c1(ccccc1/C=C/C(=O)OCCn1c(ncc1N(=O)=O)C)OC
EGIN0000427	19.34 µM   	20594859	Bioorg Med Chem	2010 Jul 15;18(14):4991-6	c1c(cccc1/C=C/C(=O)OCCn1c(ncc1N(=O)=O)C)N(=O)=O
EGIN0000428	16.75 µM   	20594859	Bioorg Med Chem	2010 Jul 15;18(14):4991-6	c1c(cccc1/C=C/C(=O)OCCn1c(ncc1N(=O)=O)C)F
EGIN0000429	18.82 µM   	20594859	Bioorg Med Chem	2010 Jul 15;18(14):4991-6	c1c(cccc1/C=C/C(=O)OCCn1c(ncc1N(=O)=O)C)OC
EGIN0000430	5.03 µM    	20594859	Bioorg Med Chem	2010 Jul 15;18(14):4991-6	c12c(cccc1/C=C/C(=O)OCCn1c(ncc1N(=O)=O)C)cccc2
EGIN0000431	9.24 µM    	20594859	Bioorg Med Chem	2010 Jul 15;18(14):4991-6	c1c2c(ccc1/C=C/C(=O)OCCn1c(ncc1N(=O)=O)C)cccc2
EGIN0000447	1.88 µM     	20005116	Bioorg Med Chem.	2010 Jan 15;18(2):880-6	c1cc(ccc1N(CCCl)CCCl)C(=O)Nc1ccc(cc1)C
EGIN0000448	0.41 µM     	20005116	Bioorg Med Chem.	2010 Jan 15;18(2):880-6	c1cc(ccc1N(CCCl)CCCl)C(=O)Nc1ccc(cc1)OC
EGIN0000449	2.32 µM     	20005116	Bioorg Med Chem.	2010 Jan 15;18(2):880-6	c1cc(ccc1N(CCCl)CCCl)C(=O)Nc1ccc(cc1)C(C)C
EGIN0000450	15.39 µM    	20005116	Bioorg Med Chem.	2010 Jan 15;18(2):880-6	c1cc(ccc1N(CCCl)CCCl)C(=O)Nc1ccccc1F
EGIN0000451	12.87 µM    	20005116	Bioorg Med Chem.	2010 Jan 15;18(2):880-6	c1cc(ccc1N(CCCl)CCCl)C(=O)Nc1ccccc1Cl
EGIN0000452	9.95 µM     	20005116	Bioorg Med Chem.	2010 Jan 15;18(2):880-6	c1cc(ccc1N(CCCl)CCCl)C(=O)Nc1ccccc1Br
EGIN0000453	3.89 µM     	20005116	Bioorg Med Chem.	2010 Jan 15;18(2):880-6	c1cc(ccc1N(CCCl)CCCl)C(=O)Nc1ccc(cc1)F
EGIN0000454	3.33 µM     	20005116	Bioorg Med Chem.	2010 Jan 15;18(2):880-6	c1cc(ccc1N(CCCl)CCCl)C(=O)Nc1ccc(cc1)Cl
EGIN0000455	2.58 µM     	20005116	Bioorg Med Chem.	2010 Jan 15;18(2):880-6	c1cc(ccc1N(CCCl)CCCl)C(=O)Nc1ccc(cc1)Br
EGIN0000456	27.19 µM    	20005116	Bioorg Med Chem.	2010 Jan 15;18(2):880-6	c1cc(ccc1N(CCCl)CCCl)C(=O)Nc1ccc(cc1)N(=O)=O
